Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2021-08-11 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0
