Date,PM10 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,32.84,825.26,0.0,0.0,0.0
2022-03-23 17:00:56,34.87,889.18,0.0,0.0,0.0
2022-03-23 18:00:56,0.0,879.11,0.0,0.0,0.0
2022-03-23 19:00:56,42.91,836.22,0.0,0.0,0.0
2022-03-23 20:00:56,38.53,919.53,0.0,0.0,0.0
2022-03-23 21:00:56,0.0,917.54,0.0,0.0,0.0
2022-03-23 22:00:56,35.39,935.87,0.0,0.0,0.0
2022-03-23 23:00:56,33.57,796.98,0.0,0.0,0.0
2022-03-24 00:00:56,31.93,1093.3,0.0,0.0,0.0
2022-03-24 01:00:56,30.44,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,22.16,946.31,0.0,0.0,0.0
2022-03-24 03:00:56,31.37,968.97,0.0,0.0,0.0
2022-03-24 04:00:56,31.87,929.74,0.0,0.0,0.0
2022-03-24 05:00:56,28.51,962.78,0.0,0.0,0.0
2022-03-24 06:00:56,28.49,972.7,0.0,0.0,0.0
2022-03-24 07:00:56,44.02,934.88,0.0,0.0,0.0
2022-03-24 08:00:56,58.82,1310.72,0.0,0.0,0.0
2022-03-24 09:00:56,76.59,0.0,0.0,0.0,0.0
2022-03-24 10:00:56,50.68,1038.68,0.0,0.0,0.0
2022-03-24 11:00:56,28.74,832.47,0.0,0.0,0.0
2022-03-24 12:00:56,25.24,832.42,0.0,0.0,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
