Date,PM10 ( - ),PM 2.5 ( - ),SO2 ( - ),CO ( - ),NO2 ( - ),NOX ( - ),PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),O3 ( - )
2018-03-29 00:00:56,,,,,,,142.195,,4.325,0.0,12.785,12.915,0.0,
2018-03-29 01:00:56,,,,,,,155.19,,4.875,0.0,6.27,6.285,0.0,
2018-03-29 02:00:56,,,,,,,123.54,,4.654999999999999,0.0,0.0,0.0,0.0,
2018-03-29 03:00:56,,,,,,,93.975,,4.825,0.0,12.005,12.18,0.0,
2018-03-29 04:00:56,,,,,,,74.805,,4.765,0.0,14.465,14.58,0.0,
2018-03-29 05:00:56,,,,,,,56.825,,4.4,0.0,9.325,9.435,0.0,
2018-03-29 06:00:56,,,,,,,41.714999999999996,,4.1850000000000005,0.0,8.85,8.855,0.0,
2018-03-29 07:00:56,,,,,,,40.464999999999996,,4.02,0.0,20.965,22.785,0.0,
2018-03-29 08:00:56,,,,,,,35.86,,4.055,0.0,44.66,58.145,0.0,
2018-03-29 09:00:56,,,,,,,35.51,,4.12,0.0,59.86,95.25,0.0,
2018-03-29 10:00:56,,,,,,,37.114999999999995,,4.2,0.0,72.67,123.79,0.0,
2018-03-29 11:00:56,,,,,,,45.26,,4.085,0.0,62.925,104.565,0.0,
2018-03-29 12:00:56,,,,,,,54.22,,3.995,0.0,50.07,79.205,0.0,
2018-03-29 13:00:56,,,,,,,66.47,,3.8499999999999996,0.0,37.32,49.53,0.0,
2018-03-29 14:00:56,,,,,,,74.75,,4.15,0.0,31.32,39.825,0.0,
2018-03-29 15:00:56,,,,,,,60.805,,4.1899999999999995,0.0,31.555,41.855,0.0,
2018-03-29 16:00:56,,,,,,,51.625,,4.19,0.0,32.56,43.74,0.0,
2018-03-29 17:00:56,,,,,,,49.61,,4.28,0.0,32.985,44.355,0.0,
2018-03-29 18:00:56,,,,,,,37.605,,4.36,0.0,40.445,54.145,0.0,
2018-03-29 19:00:56,,,,,,,36.449999999999996,,4.47,0.0,49.725,68.135,0.0,
