Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,50.43,38.74,7.67,473.53,23.62,30.35,19.08
2022-03-23 17:00:56,42.92,30.26,7.54,481.02,23.61,30.52,16.83
2022-03-23 18:00:56,46.18,21.65,7.55,466.29,21.74,28.22,21.28
2022-03-23 19:00:56,36.23,17.65,7.52,489.03,20.45,26.48,23.18
2022-03-23 20:00:56,39.56,13.02,8.49,581.09,29.53,37.07,21.68
2022-03-23 21:00:56,52.08,19.41,35.77,1854.05,111.93,164.89,2.77
2022-03-23 22:00:56,75.13,50.58,23.98,1408.29,89.92,121.25,2.48
2022-03-23 23:00:56,89.9,53.14,18.93,1230.18,107.3,158.9,1.86
2022-03-24 00:00:56,100.37,60.39,12.28,685.91,63.43,72.25,9.33
2022-03-24 01:00:56,96.92,49.25,9.56,708.82,46.91,53.41,11.85
2022-03-24 02:00:56,86.14,44.33,7.76,575.31,31.33,36.93,15.01
2022-03-24 03:00:56,75.82,37.68,9.18,906.91,60.42,73.75,5.06
2022-03-24 04:00:56,78.89,45.41,9.78,657.8,50.15,57.91,9.71
2022-03-24 05:00:56,76.88,43.28,10.68,514.57,36.16,41.49,13.74
2022-03-24 06:00:56,66.65,38.2,10.56,507.24,43.99,51.89,9.71
2022-03-24 07:00:56,60.22,35.61,9.51,534.07,59.54,74.0,5.91
2022-03-24 08:00:56,59.93,30.94,7.76,590.49,57.85,73.17,8.04
2022-03-24 09:00:56,55.27,31.98,14.3,803.56,79.11,112.82,6.01
2022-03-24 10:00:56,79.2,48.3,14.37,625.67,46.48,60.24,7.07
2022-03-24 11:00:56,74.92,51.55,12.11,538.76,37.55,48.18,0.42
2022-03-24 12:00:56,67.58,47.94,8.84,461.58,21.5,28.05,3.22
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
