Date,PM10 ( - ),PM 2.5 ( - ),CO ( - ),NO2 ( - ),NOX ( - ),O3 ( - )
2022-03-23 16:00:56,49.98,34.7,618.38,69.48,104.89,18.71
2022-03-23 17:00:56,44.38,26.83,600.98,73.78,108.9,18.01
2022-03-23 18:00:56,28.68,30.36,680.35,77.27,107.17,15.96
2022-03-23 19:00:56,37.41,24.74,818.28,81.77,112.1,13.64
2022-03-23 20:00:56,40.31,32.85,799.83,72.38,89.59,14.67
2022-03-23 21:00:56,38.83,33.76,1244.1,58.97,67.96,16.19
2022-03-23 22:00:56,64.54,45.5,1416.74,63.01,72.02,12.46
2022-03-23 23:00:56,79.41,65.41,1549.62,65.7,76.47,8.83
2022-03-24 00:00:56,89.73,74.58,1427.15,57.55,65.85,8.91
2022-03-24 01:00:56,88.48,75.79,1337.23,51.61,59.81,9.35
2022-03-24 02:00:56,89.54,79.77,1285.29,54.11,62.92,7.97
2022-03-24 03:00:56,91.78,73.37,836.38,65.2,79.26,6.13
2022-03-24 04:00:56,82.89,64.13,805.14,54.92,64.58,7.39
2022-03-24 05:00:56,78.65,57.55,714.06,33.98,39.33,10.47
2022-03-24 06:00:56,74.63,59.1,792.83,39.62,46.74,9.89
2022-03-24 07:00:56,69.49,56.33,547.54,48.47,60.01,8.41
2022-03-24 08:00:56,51.5,49.53,857.44,77.41,113.51,5.91
2022-03-24 09:00:56,65.08,47.03,1163.86,117.9,195.82,4.06
2022-03-24 10:00:56,78.38,53.61,831.32,104.3,165.83,8.39
2022-03-24 11:00:56,72.25,57.34,874.81,90.78,141.55,13.15
2022-03-24 12:00:56,70.61,45.52,694.1,71.39,114.6,17.35
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
