Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,35.72,25.35,10.59,398.86,25.69,29.28
2022-03-23 17:00:56,39.66,20.69,11.08,392.87,28.61,32.63
2022-03-23 18:00:56,37.21,27.53,11.37,399.37,31.45,35.47
2022-03-23 19:00:56,47.28,22.06,11.66,455.95,40.1,44.19
2022-03-23 20:00:56,43.38,17.4,14.87,789.25,56.86,61.57
2022-03-23 21:00:56,55.11,31.32,11.4,729.87,46.37,50.49
2022-03-23 22:00:56,65.32,34.92,15.62,1127.96,66.61,71.54
2022-03-23 23:00:56,78.98,45.85,21.04,2613.64,80.48,107.68
2022-03-24 00:00:56,134.73,92.15,14.69,1709.68,59.67,68.09
2022-03-24 01:00:56,120.67,89.42,11.16,1354.26,56.57,63.53
2022-03-24 02:00:56,112.63,83.7,9.43,792.51,37.63,42.87
2022-03-24 03:00:56,84.44,65.86,8.17,703.59,42.76,48.82
2022-03-24 04:00:56,79.14,61.1,8.49,752.33,39.29,44.35
2022-03-24 05:00:56,65.68,56.29,8.9,668.82,48.25,55.95
2022-03-24 06:00:56,61.71,60.29,8.42,546.11,46.87,54.42
2022-03-24 07:00:56,55.47,41.56,8.03,561.64,42.84,48.96
2022-03-24 08:00:56,54.72,37.41,8.75,716.47,44.43,53.34
2022-03-24 09:00:56,54.95,46.37,11.98,733.74,45.22,60.87
2022-03-24 10:00:56,62.58,47.59,15.51,576.63,32.37,39.85
2022-03-24 11:00:56,61.63,48.31,17.74,543.12,31.8,38.88
2022-03-24 12:00:56,62.94,42.11,13.22,463.35,23.95,30.08
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
