Date,PM10 ( - ),SO2 ( - ),NO2 ( - ),NOX ( - ),O3 ( - )
2022-03-23 16:00:56,33.6,7.58,15.85,18.68,15.82
2022-03-23 17:00:56,34.43,7.79,17.23,20.13,16.35
2022-03-23 18:00:56,30.75,11.58,23.76,27.15,15.53
2022-03-23 19:00:56,33.5,13.67,42.24,48.0,14.7
2022-03-23 20:00:56,32.08,12.86,43.09,46.38,14.27
2022-03-23 21:00:56,51.17,9.04,33.67,35.42,13.39
2022-03-23 22:00:56,45.17,8.9,32.37,34.11,12.22
2022-03-23 23:00:56,43.95,10.07,58.52,61.88,9.94
2022-03-24 00:00:56,48.08,8.13,42.65,45.24,12.01
2022-03-24 01:00:56,50.66,7.56,28.25,29.95,12.73
2022-03-24 02:00:56,37.36,7.47,18.92,20.17,13.7
2022-03-24 03:00:56,42.94,8.53,17.95,19.54,12.57
2022-03-24 04:00:56,43.2,13.69,25.79,27.8,10.18
2022-03-24 05:00:56,43.73,7.69,20.06,21.42,10.79
2022-03-24 06:00:56,41.02,6.77,21.59,22.81,10.31
2022-03-24 07:00:56,40.28,5.22,76.91,117.11,6.86
2022-03-24 08:00:56,47.15,5.56,79.91,101.98,4.94
2022-03-24 09:00:56,51.79,9.9,55.23,72.32,9.93
2022-03-24 10:00:56,61.84,12.41,36.34,46.76,12.29
2022-03-24 11:00:56,63.17,16.81,47.59,59.71,12.35
2022-03-24 12:00:56,64.75,11.2,24.95,30.3,15.01
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
