Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,86.16,6.54,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,96.09,6.57,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,100.93,6.43,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,96.78,6.61,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,84.78,6.64,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,72.73,6.59,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,58.94,6.74,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,55.94,6.76,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,53.0,6.78,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,52.96,6.8,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,50.98,6.91,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,50.26,6.87,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,64.68,6.74,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,101.2,6.26,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,111.71,6.45,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,95.85,6.42,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,87.93,6.41,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,83.61,6.32,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,62.9,6.49,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,57.8,6.5,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,47.98,6.63,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,47.11,6.87,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,51.92,6.89,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,48.26,6.86,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,60.73,6.68,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,44.96,6.81,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,42.84,6.53,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,34.94,6.52,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,32.16,6.46,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,39.9,6.68,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,35.04,6.51,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,37.42,6.56,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,57.96,7.11,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,56.24,10.73,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,68.32,14.72,0.0,0.0,0.0,0.0
2018-03-30 11:00:56,82.25,10.46,0.0,0.0,0.0,0.0
2018-03-30 12:00:56,45.93,9.27,0.0,0.0,0.0,0.0
2018-03-30 13:00:56,43.0,8.88,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,42.76,7.94,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,31.16,7.76,0.0,0.0,0.0,0.0
2018-03-30 16:00:56,38.86,7.4,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,32.1,6.92,0.0,0.0,0.0,0.0
2018-03-30 18:00:56,36.98,6.78,0.0,0.0,0.0,0.0
2018-03-30 19:00:56,36.22,7.08,0.0,0.0,0.0,0.0
2018-03-30 20:00:56,47.0,6.78,0.0,0.0,0.0,0.0
2018-03-30 21:00:56,47.18,6.78,0.0,0.0,0.0,0.0
2018-03-30 22:00:56,56.18,6.7,0.0,0.0,0.0,0.0
2018-03-30 23:00:56,64.82,6.7,0.0,0.0,0.0,0.0
2018-03-31 00:00:56,56.05,6.75,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,58.62,6.67,0.0,0.0,0.0,0.0
2018-03-31 02:00:56,39.88,6.66,0.0,0.0,0.0,0.0
2018-03-31 03:00:56,34.1,6.36,0.0,0.0,0.0,0.0
2018-03-31 04:00:56,38.76,6.6,0.0,0.0,0.0,0.0
2018-03-31 05:00:56,27.06,6.73,0.0,0.0,0.0,0.0
2018-03-31 06:00:56,29.96,6.82,0.0,0.0,0.0,0.0
2018-03-31 07:00:56,28.06,6.86,0.0,0.0,0.0,0.0
2018-03-31 08:00:56,31.12,7.09,0.0,0.0,0.0,0.0
2018-03-31 09:00:56,37.42,7.55,0.0,0.0,0.0,0.0
2018-03-31 10:00:56,58.31,8.75,0.0,0.0,0.0,0.0
2018-03-31 11:00:56,73.31,22.0,0.0,0.0,0.0,0.0
2018-03-31 12:00:56,88.26,12.6,0.0,0.0,0.0,0.0
2018-03-31 13:00:56,53.89,9.68,0.0,0.0,0.0,0.0
2018-03-31 14:00:56,48.88,8.79,0.0,0.0,0.0,0.0
2018-03-31 15:00:56,42.69,8.25,0.0,0.0,0.0,0.0
2018-03-31 16:00:56,28.16,7.91,0.0,0.0,0.0,0.0
2018-03-31 17:00:56,35.88,7.31,0.0,0.0,0.0,0.0
2018-03-31 18:00:56,30.1,7.1,0.0,0.0,0.0,0.0
2018-03-31 19:00:56,35.18,7.16,0.0,0.0,0.0,0.0
2018-03-31 20:00:56,44.22,7.13,0.0,0.0,0.0,0.0
2018-03-31 21:00:56,55.26,6.84,0.0,0.0,0.0,0.0
2018-03-31 22:00:56,67.96,7.0,0.0,0.0,0.0,0.0
2018-03-31 23:00:56,65.8,6.79,0.0,0.0,0.0,0.0
2018-04-01 00:00:56,56.09,6.75,0.0,0.0,0.0,0.0
2018-04-01 01:00:56,60.84,6.85,0.0,0.0,0.0,0.0
2018-04-01 02:00:56,53.02,6.71,0.0,0.0,0.0,0.0
2018-04-01 03:00:56,53.92,7.05,0.0,0.0,0.0,0.0
2018-04-01 04:00:56,50.04,6.94,0.0,0.0,0.0,0.0
2018-04-01 05:00:56,51.8,6.69,0.0,0.0,0.0,0.0
2018-04-01 06:00:56,42.0,6.8,0.0,0.0,0.0,0.0
2018-04-01 07:00:56,42.06,6.84,0.0,0.0,0.0,0.0
2018-04-01 08:00:56,45.26,6.87,0.0,0.0,0.0,0.0
2018-04-01 09:00:56,57.88,7.17,0.0,0.0,0.0,0.0
2018-04-01 10:00:56,52.38,7.35,0.0,0.0,0.0,0.0
2018-04-01 11:00:56,71.08,11.43,0.0,0.0,0.0,0.0
2018-04-01 12:00:56,74.92,10.37,0.0,0.0,0.0,0.0
2018-04-01 13:00:56,70.7,11.25,0.0,0.0,0.0,0.0
2018-04-01 14:00:56,56.34,10.66,0.0,0.0,0.0,0.0
2018-04-01 15:00:56,71.52,10.24,0.0,0.0,0.0,0.0
2018-04-01 16:00:56,48.98,9.26,0.0,0.0,0.0,0.0
2018-04-01 17:00:56,47.82,8.38,0.0,0.0,0.0,0.0
2018-04-01 18:00:56,40.3,8.0,0.0,0.0,0.0,0.0
2018-04-01 19:00:56,54.17,8.05,0.0,0.0,0.0,0.0
2018-04-01 20:00:56,62.76,7.82,0.0,0.0,0.0,0.0
2018-04-01 21:00:56,98.38,7.51,0.0,0.0,0.0,0.0
2018-04-01 22:00:56,115.32,7.65,0.0,0.0,0.0,0.0
2018-04-01 23:00:56,83.83,7.52,0.0,0.0,0.0,0.0
2018-04-02 00:00:56,75.83,7.33,0.0,0.0,0.0,0.0
2018-04-02 01:00:56,66.58,7.34,0.0,0.0,0.0,0.0
2018-04-02 02:00:56,47.25,7.39,0.0,0.0,0.0,0.0
2018-04-02 03:00:56,58.77,7.37,0.0,0.0,0.0,0.0
2018-04-02 04:00:56,47.87,7.56,0.0,0.0,0.0,0.0
2018-04-02 05:00:56,41.91,7.26,0.0,0.0,0.0,0.0
2018-04-02 06:00:56,38.34,7.27,0.0,0.0,0.0,0.0
2018-04-02 07:00:56,53.11,7.52,0.0,0.0,0.0,0.0
2018-04-02 08:00:56,58.2,7.49,0.0,0.0,0.0,0.0
2018-04-02 09:00:56,67.61,8.64,0.0,0.0,0.0,0.0
2018-04-02 10:00:56,94.21,10.85,0.0,0.0,0.0,0.0
2018-04-02 11:00:56,103.62,8.9,0.0,0.0,0.0,0.0
2018-04-02 12:00:56,85.51,0.0,0.0,0.0,0.0,0.0
2018-04-02 13:00:56,63.08,7.73,0.0,0.0,0.0,0.0
2018-04-02 14:00:56,66.85,7.46,0.0,0.0,0.0,0.0
2018-04-02 15:00:56,60.17,7.79,0.0,0.0,0.0,0.0
2018-04-02 16:00:56,67.64,8.3,0.0,0.0,0.0,0.0
2018-04-02 17:00:56,51.04,8.38,0.0,0.0,0.0,0.0
2018-04-02 18:00:56,52.53,7.84,0.0,0.0,0.0,0.0
2018-04-02 19:00:56,32.04,7.65,0.0,0.0,0.0,0.0
2018-04-02 20:00:56,34.43,7.33,0.0,0.0,0.0,0.0
2018-04-02 21:00:56,53.02,7.36,0.0,0.0,0.0,0.0
2018-04-02 22:00:56,54.23,7.4,0.0,0.0,0.0,0.0
2018-04-02 23:00:56,65.08,7.15,0.0,0.0,0.0,0.0
2018-04-03 00:00:56,68.96,7.28,0.0,0.0,0.0,0.0
2018-04-03 01:00:56,66.89,7.82,0.0,0.0,0.0,0.0
2018-04-03 02:00:56,61.83,7.92,0.0,0.0,0.0,0.0
2018-04-03 03:00:56,54.11,7.31,0.0,0.0,0.0,0.0
2018-04-03 04:00:56,59.08,7.44,0.0,0.0,0.0,0.0
2018-04-03 05:00:56,62.57,7.41,0.0,0.0,0.0,0.0
2018-04-03 06:00:56,42.89,7.1,0.0,0.0,0.0,0.0
2018-04-03 07:00:56,37.91,7.15,0.0,0.0,0.0,0.0
2018-04-03 08:00:56,34.54,7.61,0.0,0.0,0.0,0.0
2018-04-03 09:00:56,58.43,8.31,0.0,0.0,0.0,0.0
2018-04-03 10:00:56,76.42,8.18,0.0,0.0,0.0,0.0
2018-04-03 11:00:56,50.59,7.88,0.0,0.0,0.0,0.0
2018-04-03 12:00:56,32.13,8.15,0.0,0.0,0.0,0.0
2018-04-03 13:00:56,37.77,7.85,0.0,0.0,0.0,0.0
2018-04-03 14:00:56,27.13,8.48,0.0,0.0,0.0,0.0
