Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,1667.28,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,1432.75,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,1102.47,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,1147.34,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,1007.03,6.76,7.36
2018-03-29 05:00:56,0.0,0.0,929.39,5.74,6.41
2018-03-29 06:00:56,0.0,0.0,862.02,4.43,4.8
2018-03-29 07:00:56,0.0,0.0,888.93,6.41,7.04
2018-03-29 08:00:56,0.0,0.0,920.69,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,1021.32,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,1308.54,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,1115.73,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,1144.16,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,1342.76,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,1453.61,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,1442.68,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,0.0,0.0,1056.84,0.0,0.0
2018-03-30 03:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,0.0,0.0,1033.86,8.08,8.86
2018-03-30 05:00:56,0.0,0.0,1031.47,6.84,7.35
2018-03-30 06:00:56,0.0,0.0,1027.69,6.14,6.66
2018-03-30 07:00:56,0.0,0.0,1371.12,0.0,0.0
2018-03-30 08:00:56,0.0,0.0,1433.99,0.0,0.0
2018-03-30 09:00:56,0.0,0.0,1131.04,0.0,0.0
2018-03-30 10:00:56,0.0,0.0,1310.1,0.0,0.0
2018-03-30 11:00:56,0.0,0.0,1156.24,0.0,0.0
2018-03-30 12:00:56,0.0,0.0,1127.89,0.0,0.0
2018-03-30 13:00:56,0.0,0.0,1123.22,0.0,0.0
2018-03-30 14:00:56,0.0,0.0,1212.47,0.0,0.0
2018-03-30 15:00:56,0.0,0.0,1174.99,0.0,0.0
2018-03-30 16:00:56,0.0,0.0,1293.75,0.0,0.0
2018-03-30 17:00:56,0.0,0.0,1247.13,0.0,0.0
2018-03-30 18:00:56,0.0,0.0,1405.4,0.0,0.0
2018-03-30 19:00:56,0.0,0.0,1531.02,0.0,0.0
2018-03-30 20:00:56,0.0,0.0,1536.77,0.0,0.0
2018-03-30 21:00:56,0.0,0.0,1335.8,0.0,0.0
2018-03-30 22:00:56,0.0,0.0,1427.28,0.0,0.0
2018-03-30 23:00:56,0.0,0.0,1985.66,0.0,0.0
2018-03-31 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,0.0,0.0,1785.93,0.0,0.0
2018-03-31 02:00:56,0.0,0.0,1980.01,0.0,0.0
2018-03-31 03:00:56,0.0,0.0,1968.64,20.89,21.63
2018-03-31 04:00:56,0.0,0.0,2349.51,0.0,0.0
2018-03-31 05:00:56,0.0,0.0,2318.93,0.0,0.0
2018-03-31 06:00:56,0.0,0.0,2590.16,0.0,0.0
2018-03-31 07:00:56,0.0,0.0,1784.61,17.02,17.63
2018-03-31 08:00:56,0.0,0.0,2034.4,0.0,0.0
2018-03-31 09:00:56,0.0,0.0,1946.68,0.0,0.0
2018-03-31 10:00:56,0.0,0.0,2144.83,0.0,0.0
2018-03-31 11:00:56,0.0,0.0,2573.31,0.0,0.0
2018-03-31 12:00:56,0.0,0.0,1328.43,0.0,0.0
2018-03-31 13:00:56,0.0,0.0,1050.66,0.0,0.0
2018-03-31 14:00:56,0.0,0.0,1105.61,0.0,0.0
2018-03-31 15:00:56,0.0,0.0,1072.7,0.0,0.0
2018-03-31 16:00:56,0.0,0.0,1103.44,0.0,0.0
2018-03-31 17:00:56,0.0,0.0,1085.16,0.0,0.0
2018-03-31 18:00:56,0.0,0.0,1113.0,0.0,0.0
2018-03-31 19:00:56,0.0,0.0,1235.7,0.0,0.0
2018-03-31 20:00:56,0.0,0.0,1239.32,0.0,0.0
2018-03-31 21:00:56,0.0,0.0,1469.36,25.21,26.3
2018-03-31 22:00:56,0.0,0.0,1702.23,0.0,0.0
2018-03-31 23:00:56,0.0,0.0,1785.64,0.0,0.0
2018-04-01 00:00:56,0.0,0.0,2053.35,0.0,0.0
2018-04-01 01:00:56,0.0,0.0,2017.22,0.0,0.0
2018-04-01 02:00:56,0.0,0.0,2001.49,40.91,42.55
2018-04-01 03:00:56,0.0,0.0,1859.06,0.0,0.0
2018-04-01 04:00:56,0.0,0.0,2234.49,26.3,27.04
2018-04-01 05:00:56,0.0,0.0,1986.29,23.75,24.67
2018-04-01 06:00:56,0.0,0.0,2075.41,21.26,21.88
2018-04-01 07:00:56,0.0,0.0,1872.34,22.12,22.67
2018-04-01 08:00:56,0.0,0.0,1777.32,20.01,20.33
2018-04-01 09:00:56,0.0,0.0,2362.52,0.0,0.0
2018-04-01 10:00:56,0.0,0.0,2252.6,0.0,0.0
2018-04-01 11:00:56,0.0,0.0,1082.13,8.32,9.84
2018-04-01 12:00:56,0.0,0.0,939.96,0.0,0.0
2018-04-01 13:00:56,0.0,0.0,952.11,0.0,0.0
2018-04-01 14:00:56,0.0,0.0,978.94,0.0,0.0
2018-04-01 15:00:56,0.0,0.0,972.93,0.0,0.0
2018-04-01 16:00:56,0.0,0.0,963.44,0.0,0.0
2018-04-01 17:00:56,0.0,0.0,998.08,0.0,0.0
2018-04-01 18:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-01 19:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-01 20:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-01 21:00:56,0.0,0.0,954.84,8.3,9.05
2018-04-01 22:00:56,0.0,0.0,1046.79,13.66,14.42
2018-04-01 23:00:56,0.0,0.0,1044.28,16.09,16.72
2018-04-02 00:00:56,0.0,0.0,1063.04,11.04,11.46
2018-04-02 01:00:56,0.0,0.0,973.46,6.63,6.91
2018-04-02 02:00:56,0.0,0.0,973.72,6.3,6.54
2018-04-02 03:00:56,0.0,0.0,1044.65,6.22,6.77
2018-04-02 04:00:56,0.0,0.0,997.89,4.19,4.63
2018-04-02 05:00:56,0.0,0.0,1089.12,4.93,5.27
2018-04-02 06:00:56,0.0,0.0,1156.28,4.95,5.46
2018-04-02 07:00:56,0.0,0.0,923.91,5.64,6.08
2018-04-02 08:00:56,0.0,0.0,1252.9,0.0,0.0
2018-04-02 09:00:56,0.0,0.0,1351.31,0.0,0.0
2018-04-02 10:00:56,0.0,0.0,1395.74,0.0,0.0
2018-04-02 11:00:56,0.0,0.0,1106.76,0.0,0.0
2018-04-02 12:00:56,0.0,0.0,1110.29,0.0,0.0
2018-04-02 13:00:56,0.0,0.0,999.67,0.0,0.0
2018-04-02 14:00:56,0.0,0.0,1134.81,0.0,0.0
2018-04-02 15:00:56,0.0,0.0,1049.58,0.0,0.0
2018-04-02 16:00:56,0.0,0.0,1050.2,0.0,0.0
2018-04-02 17:00:56,0.0,0.0,1087.38,0.0,0.0
2018-04-02 18:00:56,0.0,0.0,1134.17,0.0,0.0
2018-04-02 19:00:56,0.0,0.0,1301.33,0.0,0.0
2018-04-02 20:00:56,0.0,0.0,1355.71,0.0,0.0
2018-04-02 21:00:56,0.0,0.0,1500.65,0.0,0.0
2018-04-02 22:00:56,0.0,0.0,1602.03,0.0,0.0
2018-04-02 23:00:56,0.0,0.0,1502.27,0.0,0.0
2018-04-03 00:00:56,0.0,0.0,1296.04,0.0,0.0
2018-04-03 01:00:56,0.0,0.0,1115.26,0.0,0.0
2018-04-03 02:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 03:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 04:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 05:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 06:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 07:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 08:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 09:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 10:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 11:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 12:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 13:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 14:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 15:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-03 16:00:56,0.0,0.0,0.0,0.0,0.0
