Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,42.545,21.979999999999997,12.66,15.945,0.0,460.1,4.18
2022-03-23 17:00:56,40.905,22.380000000000003,14.215,16.895,0.0,499.92,3.89
2022-03-23 18:00:56,39.845,16.38,15.09,18.36,0.0,470.14,3.3
2022-03-23 19:00:56,41.125,18.915,18.82,21.994999999999997,0.0,591.76,3.31
2022-03-23 20:00:56,42.379999999999995,26.314999999999998,30.384999999999998,33.73,0.0,763.75,2.81
2022-03-23 21:00:56,54.085,28.91,44.5,48.61,0.0,944.2,2.78
2022-03-23 22:00:56,46.66,24.975,38.595,41.394999999999996,0.0,734.66,2.59
2022-03-23 23:00:56,42.96,49.379999999999995,57.925,63.26,0.0,1027.81,1.66
2022-03-24 00:00:56,62.605,59.635,55.815,60.705,0.0,1323.54,1.74
2022-03-24 01:00:56,68.845,6.495,49.14,53.355000000000004,0.0,994.44,0.0
2022-03-24 02:00:56,60.31,29.85,44.985,48.08,0.0,979.64,2.55
2022-03-24 03:00:56,56.56,38.364999999999995,37.08,20.08,0.0,1086.1,3.09
2022-03-24 04:00:56,58.905,31.185,34.59,37.585,0.0,840.39,3.76
2022-03-24 05:00:56,58.510000000000005,21.665,34.255,37.41,0.0,879.01,3.18
2022-03-24 06:00:56,54.375,17.07,36.214999999999996,39.365,0.0,939.88,2.74
2022-03-24 07:00:56,48.34,21.01,35.405,39.115,0.0,911.95,2.65
2022-03-24 08:00:56,42.385000000000005,23.814999999999998,38.07,44.635000000000005,0.0,986.83,3.0
2022-03-24 09:00:56,40.86,36.175000000000004,38.59,49.67,0.0,999.86,3.68
2022-03-24 10:00:56,35.235,28.45,8.915,10.945,0.0,0.0,0.0
2022-03-24 11:00:56,42.97,24.490000000000002,23.505,29.445,0.0,625.52,4.17
2022-03-24 12:00:56,51.315,22.375,18.65,23.375,0.0,546.98,4.47
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
