Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,34.07,0.0,35.55,460.1,17.11,20.66,4.18
2022-03-23 17:00:56,33.3,0.0,37.17,499.92,20.83,25.02,3.89
2022-03-23 18:00:56,30.2,0.0,25.72,470.14,22.32,26.3,3.3
2022-03-23 19:00:56,30.01,0.0,30.43,591.76,28.82,34.48,3.31
2022-03-23 20:00:56,33.25,0.0,41.37,763.75,38.25,43.22,2.81
2022-03-23 21:00:56,37.78,0.0,42.08,944.2,49.94,55.4,2.78
2022-03-23 22:00:56,40.18,0.0,37.4,734.66,36.5,39.4,2.59
2022-03-23 23:00:56,40.17,0.0,86.24,1027.81,58.43,65.35,1.66
2022-03-24 00:00:56,43.41,0.0,108.38,1323.54,64.6,71.47,1.74
2022-03-24 01:00:56,48.16,0.0,0.0,994.44,41.11,44.87,0.0
2022-03-24 02:00:56,48.19,0.0,51.0,979.64,46.74,50.64,2.55
2022-03-24 03:00:56,48.36,0.0,68.71,1086.1,36.07,0.0,3.09
2022-03-24 04:00:56,52.32,0.0,55.11,840.39,26.5,29.32,3.76
2022-03-24 05:00:56,48.04,0.0,36.68,879.01,24.42,25.86,3.18
2022-03-24 06:00:56,39.5,0.0,27.65,939.88,30.13,31.67,2.74
2022-03-24 07:00:56,33.63,0.0,36.28,911.95,32.41,34.89,2.65
2022-03-24 08:00:56,34.93,0.0,41.3,986.83,44.47,52.89,3.0
2022-03-24 09:00:56,38.7,0.0,65.4,999.86,54.46,72.8,3.68
2022-03-24 10:00:56,43.36,0.0,47.94,0.0,0.0,0.0,0.0
2022-03-24 11:00:56,49.05,0.0,40.75,625.52,31.98,39.78,4.17
2022-03-24 12:00:56,53.93,0.0,37.18,546.98,24.65,30.99,4.47
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
