Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,36.29,6.045,59.77,72.585,22.08,343.23,35.23
2022-03-23 17:00:56,33.845,5.444999999999999,64.37,87.56,25.74,347.67,34.86
2022-03-23 18:00:56,35.695,5.57,76.775,98.67,22.23,396.85,32.62
2022-03-23 19:00:56,42.095,5.284999999999999,87.23,107.065,21.92,407.76,31.12
2022-03-23 20:00:56,47.394999999999996,8.34,117.465,137.66,18.72,551.54,25.77
2022-03-23 21:00:56,45.525,10.335,107.595,127.60499999999999,22.68,457.21,26.38
2022-03-23 22:00:56,53.81,12.935,89.46,86.29,26.63,472.46,26.5
2022-03-23 23:00:56,59.975,12.87,94.42500000000001,110.845,37.36,452.64,26.53
2022-03-24 00:00:56,64.935,12.325,92.13,109.13499999999999,30.75,403.37,25.89
2022-03-24 01:00:56,46.575,8.19,59.62,73.7,35.09,0.0,0.0
2022-03-24 02:00:56,60.265,11.24,55.47,57.08,30.0,333.57,27.06
2022-03-24 03:00:56,52.845,9.58,58.230000000000004,74.36999999999999,22.51,302.33,28.37
2022-03-24 04:00:56,49.455,10.245,54.335,58.745,18.2,0.0,27.73
2022-03-24 05:00:56,44.235,9.8,48.67,52.065,17.45,292.24,24.98
2022-03-24 06:00:56,38.595,9.575,54.585,56.75,19.38,293.28,25.65
2022-03-24 07:00:56,39.22,8.71,86.055,105.465,17.44,314.86,25.78
2022-03-24 08:00:56,44.125,9.375,158.53,252.24,24.04,367.43,22.11
2022-03-24 09:00:56,49.045,10.344999999999999,97.82,153.97,24.19,415.26,25.26
2022-03-24 10:00:56,45.265,8.33,73.01,117.42,22.46,350.92,26.79
2022-03-24 11:00:56,36.7,7.49,60.04,90.195,25.14,353.17,28.3
2022-03-24 12:00:56,30.705,5.97,59.434999999999995,88.55,29.05,335.28,30.98
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
