Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-11-22 21:00:56,0.0,0.0,0.0,0.0
2021-11-22 22:00:56,0.0,64.62,0.0,0.0
2021-11-22 23:00:56,0.0,63.12,0.0,0.0
2021-11-23 00:00:56,0.0,70.55,0.0,0.0
2021-11-23 01:00:56,0.0,75.08,0.0,0.0
2021-11-23 02:00:56,0.0,73.04,0.0,0.0
2021-11-23 03:00:56,0.0,69.38,0.0,0.0
2021-11-23 04:00:56,0.0,68.86,0.0,0.0
2021-11-23 05:00:56,0.0,61.15,0.0,0.0
2021-11-23 06:00:56,0.0,58.43,0.0,0.0
2021-11-23 07:00:56,0.0,60.38,0.0,0.0
2021-11-23 08:00:56,0.0,59.55,0.0,0.0
2021-11-23 09:00:56,0.0,61.45,0.0,0.0
2021-11-23 10:00:56,0.0,66.49,0.0,0.0
2021-11-23 11:00:56,0.0,71.13,0.0,0.0
2021-11-23 12:00:56,0.0,66.7,0.0,0.0
2021-11-23 13:00:56,0.0,57.84,0.0,0.0
2021-11-23 14:00:56,0.0,54.6,0.0,0.0
2021-11-23 15:00:56,0.0,44.37,0.0,0.0
2021-11-23 16:00:56,0.0,42.81,0.0,0.0
2021-11-23 17:00:56,0.0,44.82,0.0,0.0
2021-11-23 18:00:56,0.0,49.51,0.0,0.0
2021-11-23 19:00:56,0.0,56.95,0.0,0.0
2021-11-23 20:00:56,0.0,65.94,0.0,0.0
2021-11-23 21:00:56,0.0,56.82,0.0,0.0
2021-11-23 22:00:56,0.0,50.22,0.0,0.0
2021-11-23 23:00:56,0.0,44.49,0.0,0.0
2021-11-24 00:00:56,0.0,108.06,0.0,0.0
2021-11-24 01:00:56,0.0,58.81,0.0,0.0
2021-11-24 02:00:56,0.0,17.15,0.0,0.0
2021-11-24 03:00:56,0.0,2.44,0.0,0.0
2021-11-24 04:00:56,0.0,7.14,0.0,0.0
2021-11-24 05:00:56,0.0,60.29,0.0,0.0
2021-11-24 06:00:56,0.0,53.82,0.0,0.0
2021-11-24 07:00:56,0.0,61.32,0.0,0.0
2021-11-24 08:00:56,0.0,72.47,0.0,0.0
2021-11-24 09:00:56,0.0,81.6,0.0,0.0
2021-11-24 10:00:56,0.0,93.68,0.0,0.0
2021-11-24 11:00:56,0.0,89.47,0.0,0.0
