Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 )
2022-03-23 16:00:56,40.7625,19.310000000000002,24.566666666666666,43.31333333333333,74.55,6.79,549.67
2022-03-23 17:00:56,44.5375,17.240000000000002,25.97,44.13666666666666,74.77,4.96,581.4
2022-03-23 18:00:56,47.8575,16.775,27.863333333333333,47.56,68.25,3.79,654.5
2022-03-23 19:00:56,52.807500000000005,16.314999999999998,28.183333333333334,49.04333333333333,59.65,7.52,719.75
2022-03-23 20:00:56,85.0625,16.4375,28.25666666666667,51.39333333333334,48.03,13.43,765.08
2022-03-23 21:00:56,93.96000000000001,16.2325,29.056666666666672,52.199999999999996,42.91,9.71,943.94
2022-03-23 22:00:56,88.33,15.7725,28.55666666666667,52.75999999999999,46.13,19.69,1097.11
2022-03-23 23:00:56,81.1525,15.53,28.043333333333333,54.46000000000001,42.43,33.27,1137.12
2022-03-24 00:00:56,72.5825,13.71,26.793333333333333,54.53000000000001,35.39,30.43,1106.19
2022-03-24 01:00:56,65.42,12.475,24.073333333333334,53.29,37.83,31.41,1019.03
2022-03-24 02:00:56,52.755,12.057500000000001,20.84,50.35,43.28,35.79,958.17
2022-03-24 03:00:56,52.45,11.6175,20.38,50.62,48.76,36.89,727.29
2022-03-24 04:00:56,53.300000000000004,12.4275,21.55666666666667,52.38,53.71,36.9,751.23
2022-03-24 05:00:56,51.525,12.440000000000001,18.416666666666668,48.449999999999996,51.57,33.37,654.6
2022-03-24 06:00:56,57.762499999999996,12.42,17.336666666666666,47.81,45.33,46.79,529.42
2022-03-24 07:00:56,53.435,12.5875,19.203333333333333,50.76,47.67,46.9,526.14
2022-03-24 08:00:56,56.955,14.885,23.146666666666665,56.02666666666667,46.37,31.42,691.14
2022-03-24 09:00:56,77.3575,16.3625,26.163333333333338,60.620000000000005,31.64,32.55,670.4
2022-03-24 10:00:56,68.66,16.5975,31.64,68.95333333333333,40.23,23.48,543.87
2022-03-24 11:00:56,49.1425,17.5775,23.08,49.31666666666666,66.05,12.27,450.18
2022-03-24 12:00:56,45.29,18.9875,23.453333333333333,47.37,76.5,8.32,370.18
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
