Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,0.0,7.03
2018-03-29 01:00:56,0.0,7.04
2018-03-29 02:00:56,0.0,6.4
2018-03-29 03:00:56,0.0,6.3
2018-03-29 04:00:56,0.0,5.6
2018-03-29 05:00:56,0.0,5.39
2018-03-29 06:00:56,0.0,5.32
2018-03-29 07:00:56,0.0,5.11
2018-03-29 08:00:56,0.0,5.35
2018-03-29 09:00:56,0.0,5.63
2018-03-29 10:00:56,0.0,7.28
2018-03-29 11:00:56,0.0,10.84
2018-03-29 12:00:56,0.0,10.32
2018-03-29 13:00:56,0.0,10.1
2018-03-29 14:00:56,0.0,8.1
2018-03-29 15:00:56,0.0,7.97
2018-03-29 16:00:56,0.0,7.86
2018-03-29 17:00:56,0.0,10.01
2018-03-29 18:00:56,0.0,8.97
2018-03-29 19:00:56,0.0,7.39
2018-03-29 20:00:56,0.0,7.47
2018-03-29 21:00:56,0.0,7.24
2018-03-29 22:00:56,0.0,7.74
2018-03-29 23:00:56,0.0,7.98
2018-03-30 00:00:56,0.0,7.71
2018-03-30 01:00:56,0.0,6.61
2018-03-30 02:00:56,0.0,5.17
2018-03-30 03:00:56,49.64,4.84
2018-03-30 04:00:56,46.33,4.74
2018-03-30 05:00:56,32.15,5.03
2018-03-30 06:00:56,25.04,5.31
2018-03-30 07:00:56,15.86,6.2
2018-03-30 08:00:56,23.36,7.2
2018-03-30 09:00:56,23.3,7.74
2018-03-30 10:00:56,28.66,8.17
2018-03-30 11:00:56,0.0,0.0
2018-03-30 12:00:56,0.0,0.0
2018-03-30 13:00:56,0.0,0.0
2018-03-30 14:00:56,0.0,0.0
2018-03-30 15:00:56,0.0,0.0
2018-03-30 16:00:56,0.0,0.0
2018-03-30 17:00:56,0.0,0.0
2018-03-30 18:00:56,0.0,0.0
2018-03-30 19:00:56,0.0,0.0
2018-03-30 20:00:56,0.0,0.0
2018-03-30 21:00:56,0.0,0.0
2018-03-30 22:00:56,0.0,0.0
2018-03-30 23:00:56,0.0,0.0
2018-03-31 00:00:56,0.0,0.0
2018-03-31 01:00:56,0.0,0.0
2018-03-31 02:00:56,0.0,0.0
2018-03-31 03:00:56,0.0,0.0
2018-03-31 04:00:56,0.0,0.0
2018-03-31 05:00:56,0.0,0.0
2018-03-31 06:00:56,0.0,0.0
2018-03-31 07:00:56,0.0,0.0
2018-03-31 08:00:56,0.0,0.0
2018-03-31 09:00:56,0.0,0.0
2018-03-31 10:00:56,0.0,0.0
2018-03-31 11:00:56,0.0,0.0
2018-03-31 12:00:56,0.0,0.0
2018-03-31 13:00:56,0.0,0.0
2018-03-31 14:00:56,0.0,0.0
2018-03-31 15:00:56,0.0,0.0
2018-03-31 16:00:56,0.0,0.0
2018-03-31 17:00:56,0.0,0.0
2018-03-31 18:00:56,0.0,0.0
2018-03-31 19:00:56,0.0,0.0
2018-03-31 20:00:56,0.0,0.0
2018-03-31 21:00:56,0.0,0.0
2018-03-31 22:00:56,0.0,0.0
2018-03-31 23:00:56,0.0,0.0
2018-04-01 00:00:56,0.0,0.0
2018-04-01 01:00:56,0.0,0.0
2018-04-01 02:00:56,0.0,0.0
2018-04-01 03:00:56,0.0,0.0
2018-04-01 04:00:56,0.0,0.0
2018-04-01 05:00:56,0.0,0.0
2018-04-01 06:00:56,0.0,0.0
2018-04-01 07:00:56,0.0,0.0
2018-04-01 08:00:56,0.0,0.0
2018-04-01 09:00:56,0.0,0.0
2018-04-01 10:00:56,0.0,0.0
2018-04-01 11:00:56,0.0,0.0
2018-04-01 12:00:56,0.0,0.0
2018-04-01 13:00:56,0.0,0.0
2018-04-01 14:00:56,0.0,0.0
2018-04-01 15:00:56,0.0,0.0
2018-04-01 16:00:56,0.0,0.0
2018-04-01 17:00:56,0.0,0.0
2018-04-01 18:00:56,0.0,0.0
2018-04-01 19:00:56,0.0,0.0
2018-04-01 20:00:56,0.0,0.0
2018-04-01 21:00:56,0.0,0.0
2018-04-01 22:00:56,0.0,0.0
2018-04-01 23:00:56,0.0,0.0
2018-04-02 00:00:56,0.0,0.0
2018-04-02 01:00:56,0.0,0.0
2018-04-02 02:00:56,0.0,0.0
2018-04-02 03:00:56,0.0,0.0
2018-04-02 04:00:56,0.0,0.0
2018-04-02 05:00:56,0.0,0.0
2018-04-02 06:00:56,0.0,0.0
2018-04-02 07:00:56,0.0,0.0
2018-04-02 08:00:56,0.0,0.0
2018-04-02 09:00:56,0.0,0.0
2018-04-02 10:00:56,0.0,0.0
2018-04-02 11:00:56,0.0,0.0
2018-04-02 12:00:56,0.0,0.0
2018-04-02 13:00:56,0.0,0.0
2018-04-02 14:00:56,0.0,0.0
2018-04-02 15:00:56,0.0,0.0
2018-04-02 16:00:56,0.0,0.0
2018-04-02 17:00:56,0.0,0.0
2018-04-02 18:00:56,0.0,0.0
2018-04-02 19:00:56,0.0,0.0
2018-04-02 20:00:56,0.0,0.0
2018-04-02 21:00:56,0.0,0.0
2018-04-02 22:00:56,0.0,0.0
2018-04-02 23:00:56,0.0,0.0
2018-04-03 00:00:56,0.0,0.0
