Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,85.91,0.0,0.0,0.0,7.71
2018-03-29 01:00:56,85.02,0.0,0.0,0.0,6.22
2018-03-29 02:00:56,63.86,0.0,0.0,0.0,9.28
2018-03-29 03:00:56,56.25,0.0,0.0,0.0,23.23
2018-03-29 04:00:56,60.74,0.0,0.0,0.0,33.96
2018-03-29 05:00:56,49.0,0.0,0.0,0.0,36.3
2018-03-29 06:00:56,41.58,0.0,0.0,0.0,30.77
2018-03-29 07:00:56,48.35,0.0,0.0,0.0,32.29
2018-03-29 08:00:56,38.38,0.0,0.0,0.0,28.0
2018-03-29 09:00:56,26.08,0.0,0.0,0.0,25.62
2018-03-29 10:00:56,22.11,0.0,0.0,0.0,36.49
2018-03-29 11:00:56,23.25,0.0,0.0,0.0,38.67
2018-03-29 12:00:56,28.82,0.0,0.0,0.0,44.69
2018-03-29 13:00:56,26.6,0.0,0.0,0.0,39.55
2018-03-29 14:00:56,28.49,0.0,0.0,0.0,35.0
2018-03-29 15:00:56,34.11,0.0,0.0,0.0,37.41
2018-03-29 16:00:56,0.0,0.0,0.0,0.0,32.17
2018-03-29 17:00:56,77.24,0.0,106.37,131.91,29.99
2018-03-29 18:00:56,50.74,0.0,88.33,108.45,30.8
2018-03-29 19:00:56,46.63,8.55,78.14,97.07,28.41
2018-03-29 20:00:56,44.56,8.06,70.01,83.66,28.2
2018-03-29 21:00:56,36.06,8.08,49.72,58.76,30.72
2018-03-29 22:00:56,31.24,6.82,35.51,41.77,35.54
2018-03-29 23:00:56,17.6,4.35,29.07,34.23,38.79
2018-03-30 00:00:56,18.44,3.61,23.86,28.55,39.01
2018-03-30 01:00:56,10.73,4.49,18.24,23.0,37.13
2018-03-30 02:00:56,6.86,4.6,15.53,19.02,39.58
2018-03-30 03:00:56,14.47,4.38,15.34,20.28,40.83
2018-03-30 04:00:56,8.45,4.17,14.09,18.45,43.45
2018-03-30 05:00:56,13.0,3.64,13.55,17.9,49.91
2018-03-30 06:00:56,7.53,3.05,13.55,18.27,44.36
2018-03-30 07:00:56,6.12,2.89,29.1,37.02,46.38
2018-03-30 08:00:56,6.03,2.55,61.19,76.71,39.15
2018-03-30 09:00:56,20.32,2.63,74.03,91.15,36.26
2018-03-30 10:00:56,19.33,2.92,76.14,94.5,32.19
2018-03-30 11:00:56,29.7,3.52,72.5,91.95,28.78
2018-03-30 12:00:56,26.1,4.04,71.16,89.59,25.95
2018-03-30 13:00:56,28.06,4.5,82.84,106.12,24.84
2018-03-30 14:00:56,33.35,5.13,82.85,105.62,27.75
2018-03-30 15:00:56,34.84,4.95,93.8,117.04,31.87
2018-03-30 16:00:56,29.81,6.1,99.19,123.34,28.71
2018-03-30 17:00:56,38.51,6.31,103.29,128.36,30.34
2018-03-30 18:00:56,38.44,6.9,151.21,193.35,26.19
2018-03-30 19:00:56,69.31,7.04,162.38,207.41,20.03
2018-03-30 20:00:56,74.27,6.85,171.68,210.52,11.64
2018-03-30 21:00:56,81.8,6.49,131.46,156.2,10.03
2018-03-30 22:00:56,79.52,8.73,105.12,123.6,19.63
2018-03-30 23:00:56,80.15,8.02,78.0,89.65,19.54
2018-03-31 00:00:56,66.02,7.54,76.83,87.88,13.53
2018-03-31 01:00:56,46.26,6.53,69.89,80.91,13.79
2018-03-31 02:00:56,41.35,6.12,76.92,91.65,9.4
2018-03-31 03:00:56,29.7,4.9,50.71,58.95,7.43
2018-03-31 04:00:56,36.51,4.39,24.87,30.22,12.24
2018-03-31 05:00:56,33.45,4.22,24.02,29.24,13.94
2018-03-31 06:00:56,41.71,4.24,34.01,41.61,10.86
2018-03-31 07:00:56,24.26,3.55,36.34,43.59,12.3
2018-03-31 08:00:56,28.21,3.81,88.21,119.95,9.69
2018-03-31 09:00:56,43.18,19.28,171.15,236.1,11.46
2018-03-31 10:00:56,49.22,25.93,102.69,137.68,18.39
