Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,37.83,25.82,15.0,367.6,17.77,22.29,107.43
2022-03-23 17:00:56,49.56,23.93,19.56,421.6,12.93,16.37,74.85
2022-03-23 18:00:56,63.3,16.75,26.54,467.45,13.85,16.59,87.23
2022-03-23 19:00:56,61.7,18.11,49.27,829.8,24.64,27.9,84.4
2022-03-23 20:00:56,64.13,29.25,68.5,1143.15,34.01,37.63,72.62
2022-03-23 21:00:56,70.82,38.38,62.82,1078.07,26.4,29.31,71.98
2022-03-23 22:00:56,74.28,43.58,67.29,1490.58,34.26,39.36,61.25
2022-03-23 23:00:56,82.61,50.35,44.31,1140.88,37.89,42.35,43.61
2022-03-24 00:00:56,93.51,54.52,48.32,1570.63,32.6,36.77,45.18
2022-03-24 01:00:56,92.08,52.08,28.31,859.27,25.66,30.45,50.76
2022-03-24 02:00:56,84.02,50.22,20.42,602.31,21.75,24.66,53.36
2022-03-24 03:00:56,71.32,48.28,16.81,497.29,17.03,19.51,59.54
2022-03-24 04:00:56,53.54,42.71,15.27,507.0,14.06,16.15,56.75
2022-03-24 05:00:56,46.15,36.43,13.73,491.73,23.32,27.01,40.6
2022-03-24 06:00:56,45.19,31.63,13.19,444.57,31.32,35.44,28.13
2022-03-24 07:00:56,41.28,35.44,15.94,618.41,37.53,45.62,26.41
2022-03-24 08:00:56,47.8,42.34,16.43,1170.69,47.67,59.79,14.85
2022-03-24 09:00:56,61.45,54.07,19.58,1069.17,46.49,65.26,25.64
2022-03-24 10:00:56,66.76,62.61,27.29,527.26,28.45,38.78,54.37
2022-03-24 11:00:56,62.45,55.31,38.94,334.75,21.0,29.62,83.03
2022-03-24 12:00:56,57.13,46.19,27.49,295.0,14.18,18.59,91.35
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
