Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-06-22 15:00:56,0.0,0.0,0.0,0.0,0.0
2021-06-22 16:00:56,0.0,0.0,0.0,0.0,0.0
2021-06-22 17:00:56,0.0,6.09,424.68,0.0,0.0
2021-06-22 18:00:56,0.04,5.76,463.33,4.11,5.91
2021-06-22 19:00:56,0.04,5.75,473.59,4.1,5.8
2021-06-22 20:00:56,0.03,5.84,495.49,4.09,5.87
2021-06-22 21:00:56,0.04,5.74,523.88,4.1,6.17
2021-06-22 22:00:56,0.03,5.74,602.73,4.08,6.4
2021-06-22 23:00:56,0.04,6.32,458.18,4.08,7.09
2021-06-23 00:00:56,0.06,6.77,0.0,0.0,0.0
2021-06-23 01:00:56,0.03,7.1,0.0,0.0,0.0
2021-06-23 02:00:56,0.03,7.2,257.13,4.09,6.79
2021-06-23 03:00:56,0.02,7.11,294.95,4.07,7.04
2021-06-23 04:00:56,0.02,7.07,344.66,4.09,7.31
2021-06-23 05:00:56,0.02,7.06,383.34,4.07,7.49
2021-06-23 06:00:56,0.02,6.96,488.88,4.1,7.66
2021-06-23 07:00:56,0.0,6.02,339.28,4.13,5.62
2021-06-23 08:00:56,0.0,5.64,367.94,4.14,4.37
2021-06-23 09:00:56,0.0,5.69,457.1,4.12,4.34
2021-06-23 10:00:56,0.0,5.64,421.72,4.12,4.31
2021-06-23 11:00:56,0.0,5.63,493.8,4.14,4.25
2021-06-23 12:00:56,0.0,5.53,460.47,4.11,4.11
2021-06-23 13:00:56,0.0,5.65,428.11,0.0,0.0
2021-06-23 14:00:56,0.0,5.69,528.06,4.11,6.14
2021-06-23 15:00:56,0.0,6.44,427.49,4.08,6.83
2021-06-23 16:00:56,0.0,6.14,391.99,4.09,6.88
2021-06-23 17:00:56,0.0,5.45,357.57,4.12,6.13
2021-06-23 18:00:56,49.42,5.32,342.54,4.09,6.47
2021-06-23 19:00:56,34.53,5.31,391.37,4.12,5.71
2021-06-23 20:00:56,40.51,5.28,428.16,4.11,5.33
2021-06-23 21:00:56,49.02,5.3,460.95,4.11,5.32
2021-06-23 22:00:56,38.8,5.36,474.82,4.11,5.33
2021-06-23 23:00:56,36.49,5.3,466.87,4.12,5.46
2021-06-24 00:00:56,26.91,5.49,565.63,4.11,5.63
2021-06-24 01:00:56,41.21,5.89,462.57,4.11,6.05
2021-06-24 02:00:56,51.89,6.16,239.62,4.08,7.3
2021-06-24 03:00:56,34.47,6.43,0.0,4.08,8.0
2021-06-24 04:00:56,31.67,6.65,173.33,4.09,7.93
2021-06-24 05:00:56,29.33,6.86,40.96,4.07,8.43
2021-06-24 06:00:56,36.19,7.05,11.78,4.08,8.84
2021-06-24 07:00:56,42.61,7.64,77.28,4.08,9.13
2021-06-24 08:00:56,34.67,6.19,86.77,4.08,8.99
2021-06-24 09:00:56,29.41,5.4,172.22,4.1,7.82
2021-06-24 10:00:56,21.55,5.39,196.03,4.1,7.05
2021-06-24 11:00:56,20.23,5.28,313.47,4.1,5.1
2021-06-24 12:00:56,44.06,5.3,258.58,4.11,5.19
2021-06-24 13:00:56,47.4,5.3,293.34,4.1,5.05
2021-06-24 14:00:56,59.81,5.26,313.55,4.11,5.06
2021-06-24 15:00:56,53.68,5.28,353.64,3.75,5.36
2021-06-24 16:00:56,45.56,5.55,683.93,4.09,6.3
2021-06-24 17:00:56,88.83,6.34,467.53,4.1,8.3
2021-06-24 18:00:56,53.66,7.35,455.66,4.08,8.15
2021-06-24 19:00:56,73.49,7.58,356.29,4.09,8.98
2021-06-24 20:00:56,57.78,7.73,264.94,4.07,9.9
2021-06-24 21:00:56,51.41,8.39,250.39,4.04,10.78
2021-06-24 22:00:56,63.78,8.33,0.0,4.05,11.8
2021-06-24 23:00:56,56.53,8.59,508.27,4.06,12.22
2021-06-25 00:00:56,41.35,7.09,189.59,4.05,11.88
2021-06-25 01:00:56,20.91,5.51,333.88,4.07,8.93
2021-06-25 02:00:56,17.59,5.18,326.21,4.12,4.16
2021-06-25 03:00:56,5.95,5.13,346.9,4.13,3.78
2021-06-25 04:00:56,34.87,5.2,348.73,4.12,4.02
2021-06-25 05:00:56,31.09,5.21,352.47,4.12,3.86
2021-06-25 06:00:56,34.35,5.19,387.71,4.11,3.91
2021-06-25 07:00:56,45.06,5.29,441.67,4.11,3.94
2021-06-25 08:00:56,47.0,5.42,629.92,4.11,4.01
2021-06-25 09:00:56,48.26,5.79,713.65,4.1,4.43
2021-06-25 10:00:56,86.11,6.05,862.31,4.1,6.56
2021-06-25 11:00:56,58.94,6.56,782.6,4.09,7.68
2021-06-25 12:00:56,56.81,7.2,675.86,4.07,11.18
2021-06-25 13:00:56,51.09,7.56,584.39,4.08,10.78
2021-06-25 14:00:56,54.0,8.02,486.61,4.07,11.18
2021-06-25 15:00:56,54.03,8.39,498.6,4.06,11.85
2021-06-25 16:00:56,54.81,7.63,0.0,4.09,13.05
2021-06-25 17:00:56,49.09,6.02,455.51,3.09,10.47
2021-06-25 18:00:56,52.03,5.54,643.67,0.0,0.0
2021-06-25 19:00:56,53.32,5.64,625.72,0.0,0.0
2021-06-25 20:00:56,63.19,5.78,737.15,0.0,0.0
2021-06-25 21:00:56,69.19,5.59,749.4,0.0,0.0
2021-06-25 22:00:56,75.09,5.5,845.14,0.0,0.0
2021-06-25 23:00:56,77.02,5.51,674.64,0.0,0.0
2021-06-26 00:00:56,46.91,5.71,716.37,0.0,0.0
2021-06-26 01:00:56,44.84,5.97,717.53,0.0,0.0
2021-06-26 02:00:56,70.02,6.19,952.54,0.0,0.0
2021-06-26 03:00:56,39.97,6.45,703.46,0.0,0.0
2021-06-26 04:00:56,38.87,6.63,709.53,0.0,0.0
2021-06-26 05:00:56,35.16,6.78,565.62,0.0,0.0
2021-06-26 06:00:56,40.35,6.98,465.09,0.0,0.0
2021-06-26 07:00:56,51.19,7.15,441.42,0.0,0.0
2021-06-26 08:00:56,56.62,6.24,507.87,0.0,0.0
2021-06-26 09:00:56,44.72,5.39,511.05,0.0,0.0
2021-06-26 10:00:56,36.13,5.31,554.68,0.0,0.0
2021-06-26 11:00:56,40.54,5.33,535.42,0.0,0.0
2021-06-26 12:00:56,57.51,5.41,516.87,0.0,0.0
2021-06-26 13:00:56,72.72,5.39,482.55,0.0,0.0
2021-06-26 14:00:56,63.91,5.4,465.49,0.0,0.0
2021-06-26 15:00:56,60.68,5.3,428.71,0.0,0.0
2021-06-26 16:00:56,52.2,5.56,493.88,0.0,0.0
2021-06-26 17:00:56,88.3,6.21,516.25,0.0,0.0
2021-06-26 18:00:56,66.62,7.08,530.72,0.0,0.0
2021-06-26 19:00:56,54.94,7.52,534.95,0.0,0.0
2021-06-26 20:00:56,53.38,8.07,461.9,0.0,0.0
2021-06-26 21:00:56,64.78,8.57,440.17,0.0,0.0
2021-06-26 22:00:56,58.13,9.0,0.0,0.0,0.0
2021-06-26 23:00:56,61.78,9.49,453.41,0.0,0.0
2021-06-27 00:00:56,54.38,7.07,428.07,0.0,0.0
2021-06-27 01:00:56,35.06,5.52,382.96,0.0,0.0
2021-06-27 02:00:56,36.49,5.36,485.48,0.0,0.0
2021-06-27 03:00:56,21.54,5.36,463.17,0.0,0.0
2021-06-27 04:00:56,37.94,5.38,506.14,0.0,0.0
2021-06-27 05:00:56,36.19,5.38,491.86,0.0,0.0
2021-06-27 06:00:56,42.25,5.38,549.04,0.0,0.0
2021-06-27 07:00:56,50.38,5.45,624.52,0.0,0.0
2021-06-27 08:00:56,61.94,5.6,859.12,0.0,0.0
2021-06-27 09:00:56,60.63,5.88,827.72,0.0,0.0
2021-06-27 10:00:56,79.24,6.22,963.58,0.0,0.0
2021-06-27 11:00:56,55.81,6.8,754.76,0.0,0.0
2021-06-27 12:00:56,50.19,7.34,638.58,0.0,0.0
2021-06-27 13:00:56,55.56,7.76,465.33,0.0,0.0
2021-06-27 14:00:56,42.35,8.25,447.3,0.0,0.0
2021-06-27 15:00:56,52.34,8.49,357.24,0.0,0.0
2021-06-27 16:00:56,32.19,8.56,387.12,0.0,0.0
2021-06-27 17:00:56,38.37,6.52,213.81,0.0,0.0
2021-06-27 18:00:56,50.06,5.77,445.84,0.0,0.0
2021-06-27 19:00:56,51.91,5.47,367.5,0.0,0.0
2021-06-27 20:00:56,48.49,5.48,459.02,0.0,0.0
2021-06-27 21:00:56,34.01,5.4,452.13,0.76,1.71
2021-06-27 22:00:56,64.81,5.44,466.22,0.0,0.0
2021-06-27 23:00:56,58.91,5.47,479.94,4.07,4.36
2021-06-28 00:00:56,55.91,5.61,560.67,5.05,11.93
2021-06-28 01:00:56,53.62,6.05,721.45,5.73,20.34
2021-06-28 02:00:56,72.34,6.27,872.24,5.99,22.21
2021-06-28 03:00:56,52.03,6.43,679.52,5.99,22.97
2021-06-28 04:00:56,52.78,6.75,698.13,5.97,22.92
2021-06-28 05:00:56,45.87,6.89,557.3,5.97,23.45
2021-06-28 06:00:56,42.32,7.06,468.49,5.96,23.89
2021-06-28 07:00:56,52.57,7.37,429.51,5.97,24.13
2021-06-28 08:00:56,69.91,6.49,538.67,5.98,23.96
2021-06-28 09:00:56,66.87,5.47,578.03,6.0,22.68
2021-06-28 10:00:56,62.3,5.42,598.34,6.01,21.86
2021-06-28 11:00:56,41.66,5.47,593.54,6.01,20.34
2021-06-28 12:00:56,62.16,5.47,493.01,6.02,19.76
2021-06-28 13:00:56,66.65,5.56,417.46,6.01,19.59
2021-06-28 14:00:56,56.0,5.44,390.84,6.0,19.57
2021-06-28 15:00:56,56.28,5.51,392.13,6.01,19.6
2021-06-28 16:00:56,66.17,5.82,440.45,6.0,19.91
2021-06-28 17:00:56,101.08,6.47,548.15,6.01,21.08
2021-06-28 18:00:56,72.72,8.07,509.56,6.0,22.27
2021-06-28 19:00:56,64.32,8.5,627.49,5.98,24.15
2021-06-28 20:00:56,73.3,8.76,474.37,5.96,25.51
2021-06-28 21:00:56,52.25,8.88,0.0,5.96,26.17
2021-06-28 22:00:56,59.91,10.18,312.85,5.94,26.69
2021-06-28 23:00:56,57.0,11.25,85.4,3.33,15.17
2021-06-29 00:00:56,56.07,7.4,176.96,0.0,0.0
2021-06-29 01:00:56,27.12,5.83,393.2,0.0,0.0
2021-06-29 02:00:56,30.37,5.49,638.57,0.0,0.0
2021-06-29 03:00:56,12.14,5.44,557.24,0.0,0.0
2021-06-29 04:00:56,46.81,5.51,629.99,0.0,0.0
2021-06-29 05:00:56,41.13,5.44,581.11,0.0,0.0
2021-06-29 06:00:56,45.54,5.51,645.05,0.0,0.0
2021-06-29 07:00:56,62.32,5.63,684.79,0.0,0.0
2021-06-29 08:00:56,72.0,5.55,875.18,0.0,0.0
2021-06-29 09:00:56,72.35,5.89,772.02,0.0,0.0
2021-06-29 10:00:56,82.84,6.52,894.34,0.0,0.0
2021-06-29 11:00:56,77.46,8.02,705.23,0.0,0.0
2021-06-29 12:00:56,61.06,8.09,639.92,0.0,0.0
2021-06-29 13:00:56,62.91,8.23,547.4,0.0,0.0
2021-06-29 14:00:56,60.0,8.38,553.57,0.0,0.0
2021-06-29 15:00:56,59.57,8.73,463.26,0.0,0.0
2021-06-29 16:00:56,46.47,8.59,0.0,0.0,0.0
2021-06-29 17:00:56,60.78,6.82,452.7,0.0,0.0
2021-06-29 18:00:56,54.0,5.94,666.48,0.0,0.0
2021-06-29 19:00:56,54.12,5.65,598.01,0.0,0.0
2021-06-29 20:00:56,57.22,5.61,643.54,0.0,0.0
2021-06-29 21:00:56,33.99,5.56,651.98,0.0,0.0
2021-06-29 22:00:56,65.16,5.88,684.9,0.0,0.0
2021-06-29 23:00:56,69.66,5.5,607.6,0.0,0.0
2021-06-30 00:00:56,58.69,5.6,669.12,0.0,0.0
2021-06-30 01:00:56,49.71,5.88,741.32,0.0,0.0
2021-06-30 02:00:56,71.63,6.24,926.09,0.0,0.0
2021-06-30 03:00:56,59.38,6.57,835.9,0.0,0.0
2021-06-30 04:00:56,39.88,6.71,764.33,0.0,0.0
2021-06-30 05:00:56,36.22,6.89,613.23,0.0,0.0
2021-06-30 06:00:56,43.12,6.97,504.9,0.0,0.0
2021-06-30 07:00:56,47.53,7.96,474.17,0.0,0.0
2021-06-30 08:00:56,64.16,6.46,571.83,0.0,0.0
2021-06-30 09:00:56,68.29,5.5,526.84,0.0,0.0
