Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 )
2018-03-29 00:00:56,80.305,4.11,10.969999999999999,12.795,41.935,44.79
2018-03-29 01:00:56,78.35499999999999,4.24,9.969999999999999,11.4,45.565,43.46
2018-03-29 02:00:56,80.695,4.365,10.469999999999999,11.715,45.24,47.03
2018-03-29 03:00:56,85.61,4.369999999999999,10.485,11.685,47.565,50.65
2018-03-29 04:00:56,99.60499999999999,4.635,8.56,9.73,53.215,57.9
2018-03-29 05:00:56,110.34,4.285,7.07,8.26,53.14,70.48
2018-03-29 06:00:56,111.765,4.005,6.23,7.380000000000001,53.269999999999996,77.4
2018-03-29 07:00:56,105.835,4.13,6.710000000000001,8.145,44.875,72.47
2018-03-29 08:00:56,95.625,3.925,9.835,12.11,40.225,63.34
2018-03-29 09:00:56,83.545,4.325,13.51,23.845000000000002,33.17,54.72
2018-03-29 10:00:56,75.415,4.2,12.415,15.985,40.44,45.55
2018-03-29 11:00:56,72.605,4.140000000000001,12.29,15.615,39.525000000000006,38.95
2018-03-29 12:00:56,69.10499999999999,4.53,14.495,18.39,36.22,36.43
2018-03-29 13:00:56,75.08500000000001,5.23,19.56,27.485,29.17,37.03
2018-03-29 14:00:56,89.585,4.945,13.735,18.9,48.4,36.06
2018-03-29 15:00:56,69.545,4.355,9.46,12.135,65.7,30.54
2018-03-29 16:00:56,54.24,4.005,8.280000000000001,10.93,72.815,31.5
2018-03-29 17:00:56,55.114999999999995,3.83,6.895,8.335,74.53999999999999,34.24
2018-03-29 18:00:56,54.510000000000005,3.745,6.33,7.77,73.66499999999999,34.26
2018-03-29 19:00:56,47.099999999999994,3.79,8.309999999999999,10.24,67.23,31.22
2018-03-29 20:00:56,45.400000000000006,3.9899999999999998,10.6,12.475,59.035,25.49
2018-03-29 21:00:56,39.29,3.895,8.565000000000001,9.76,66.72,20.48
2018-03-29 22:00:56,31.79,4.05,7.1899999999999995,8.365,64.1,20.36
2018-03-29 23:00:56,28.759999999999998,3.945,6.404999999999999,7.645,59.56,25.08
2018-03-30 00:00:56,24.884999999999998,3.8200000000000003,6.0,7.19,60.385000000000005,0.0
2018-03-30 01:00:56,19.65,3.88,6.125,7.32,53.985,0.0
2018-03-30 02:00:56,16.7,3.565,4.98,6.115,59.66,0.0
2018-03-30 03:00:56,14.88,3.785,4.359999999999999,5.51,64.935,0.0
2018-03-30 04:00:56,13.455,3.635,4.26,5.4,63.4,0.0
2018-03-30 05:00:56,12.73,3.67,3.985,5.115,63.644999999999996,0.0
2018-03-30 06:00:56,11.525,3.575,3.83,4.985,59.86,9.86
2018-03-30 07:00:56,10.005,3.87,3.9699999999999998,5.145,57.334999999999994,6.74
2018-03-30 08:00:56,8.995000000000001,3.955,5.53,7.03,57.62,6.06
2018-03-30 09:00:56,10.084999999999999,3.9349999999999996,8.754999999999999,10.83,51.905,6.54
2018-03-30 10:00:56,10.844999999999999,4.04,7.08,8.615,59.96,0.0
