Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,82.69,44.79,3.97,4.36,5.72,64.27
2018-03-29 01:00:56,80.52,43.46,4.31,4.33,5.68,69.58
2018-03-29 02:00:56,82.74,47.03,4.39,4.35,5.66,72.2
2018-03-29 03:00:56,94.81,50.65,4.56,4.43,5.73,76.5
2018-03-29 04:00:56,122.91,57.9,5.06,4.45,5.78,80.17
2018-03-29 05:00:56,148.23,70.48,4.51,4.78,6.09,70.75
2018-03-29 06:00:56,156.12,77.4,4.04,5.14,6.46,65.1
2018-03-29 07:00:56,145.67,72.47,4.22,5.04,6.41,65.32
2018-03-29 08:00:56,124.6,63.34,3.93,5.5,6.86,60.21
2018-03-29 09:00:56,102.69,54.72,3.78,5.22,6.67,59.34
2018-03-29 10:00:56,83.93,45.55,3.89,5.81,7.36,54.64
2018-03-29 11:00:56,71.01,38.95,3.7,10.13,12.64,36.42
2018-03-29 12:00:56,64.46,36.43,3.74,10.09,12.42,42.6
2018-03-29 13:00:56,61.28,37.03,3.87,10.35,12.36,45.02
2018-03-29 14:00:56,57.82,36.06,3.8,7.2,8.9,59.15
2018-03-29 15:00:56,49.85,30.54,3.81,10.36,13.29,57.6
2018-03-29 16:00:56,47.38,31.5,3.85,11.83,15.54,63.11
2018-03-29 17:00:56,54.47,34.24,3.62,7.82,9.38,69.81
2018-03-29 18:00:56,55.67,34.26,3.44,6.43,7.88,70.95
2018-03-29 19:00:56,50.76,31.22,3.56,6.6,8.13,75.34
2018-03-29 20:00:56,43.7,25.49,3.8,6.22,7.68,67.71
2018-03-29 21:00:56,36.98,20.48,3.58,8.75,10.1,67.83
2018-03-29 22:00:56,35.36,20.36,3.38,8.53,9.93,60.37
2018-03-29 23:00:56,32.87,25.08,3.62,7.46,8.92,55.14
2018-03-30 00:00:56,26.72,0.0,3.56,7.06,8.47,55.4
2018-03-30 01:00:56,20.63,0.0,3.66,7.48,8.91,46.72
2018-03-30 02:00:56,15.1,0.0,3.33,7.34,8.73,46.37
2018-03-30 03:00:56,12.71,0.0,3.69,6.05,7.43,60.85
2018-03-30 04:00:56,12.21,0.0,3.37,6.16,7.57,56.17
2018-03-30 05:00:56,12.11,0.0,3.41,6.35,7.73,56.13
