Date,PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM10 ( µg/m3 ),CO ( µg/m3 )
2022-03-23 16:00:56,17.15,61.855,29.4375,41.0725,47.597500000000004,26.39,765.52
2022-03-23 17:00:56,13.99,64.9025,24.7975,35.7425,31.9025,24.89,746.325
2022-03-23 18:00:56,11.432500000000001,60.029999999999994,32.0775,46.1375,42.1075,21.183333333333334,799.44
2022-03-23 19:00:56,9.96,60.935,38.44,53.54,39.28,20.34,798.965
2022-03-23 20:00:56,9.475,56.03,41.89,57.8925,36.75,22.166666666666668,825.98
2022-03-23 21:00:56,12.297500000000001,52.885,45.2075,63.995,31.57,21.679999999999996,924.795
2022-03-23 22:00:56,17.5975,54.79,35.120000000000005,47.3275,35.0025,31.373333333333335,842.72
2022-03-23 23:00:56,11.442499999999999,51.02,32.2325,41.485,31.6675,25.69666666666667,795.095
2022-03-24 00:00:56,13.1375,51.5925,33.9725,42.7175,32.0075,27.38,817.415
2022-03-24 01:00:56,12.522499999999999,52.745,24.105,29.3475,20.627499999999998,25.766666666666666,781.87
2022-03-24 02:00:56,9.5225,46.935,17.537499999999998,21.4575,24.43,23.583333333333332,722.795
2022-03-24 03:00:56,10.32,45.18,12.8975,16.2125,26.259999999999998,13.32,700.31
2022-03-24 04:00:56,8.41,43.669999999999995,12.8525,16.145,26.72,10.163333333333334,699.475
2022-03-24 05:00:56,7.71,42.447500000000005,13.5875,16.9225,25.7125,7.353333333333334,716.52
2022-03-24 06:00:56,6.0225,43.1725,15.037500000000001,18.41,25.93,7.456666666666666,722.99
2022-03-24 07:00:56,7.225,42.2275,18.884999999999998,23.81,23.255,14.873333333333335,736.75
2022-03-24 08:00:56,8.42,45.8075,34.15,42.75,31.265,19.05333333333333,793.255
2022-03-24 09:00:56,9.1375,45.125,50.605000000000004,80.5775,21.695,20.246666666666666,869.18
2022-03-24 10:00:56,10.5775,43.2225,48.8725,70.065,24.815,24.016666666666666,841.43
2022-03-24 11:00:56,12.122499999999999,44.3425,42.474999999999994,61.285000000000004,30.2375,23.14333333333333,793.98
2022-03-24 12:00:56,13.7475,47.5875,37.94,55.529999999999994,33.8025,19.98,781.22
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
