Date,PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,50.68,3.69,34.79,45.46,60.45
2022-03-23 17:00:56,40.27,10.42,23.91,31.91,60.82
2022-03-23 18:00:56,32.42,2.4,25.53,38.72,56.91
2022-03-23 19:00:56,29.85,7.51,32.43,42.38,49.67
2022-03-23 20:00:56,25.29,2.16,27.03,33.36,51.26
2022-03-23 21:00:56,24.51,3.29,27.43,34.39,48.81
2022-03-23 22:00:56,28.7,1.98,19.82,25.85,52.22
2022-03-23 23:00:56,23.93,3.38,23.69,30.04,42.07
2022-03-24 00:00:56,21.98,7.3,28.63,36.91,39.61
2022-03-24 01:00:56,24.81,19.03,32.42,41.01,31.77
2022-03-24 02:00:56,25.17,5.5,19.99,25.64,41.07
2022-03-24 03:00:56,31.38,2.7,15.85,20.95,43.23
2022-03-24 04:00:56,27.57,1.95,15.46,20.5,44.56
2022-03-24 05:00:56,21.89,2.05,17.66,23.49,44.14
2022-03-24 06:00:56,17.09,2.09,14.78,19.75,46.41
2022-03-24 07:00:56,13.1,1.5,15.21,20.33,43.91
2022-03-24 08:00:56,9.48,2.16,22.87,31.7,42.56
2022-03-24 09:00:56,13.32,3.76,23.12,29.37,33.52
2022-03-24 10:00:56,15.61,2.45,21.73,28.0,41.7
2022-03-24 11:00:56,12.8,0.0,18.19,24.36,54.61
2022-03-24 12:00:56,10.38,3.04,25.6,33.23,50.35
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
