Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,30.28,0.0,0.0,1531.04,34.45,55.44,0.0
2022-03-23 17:00:56,29.03,0.0,0.0,1492.65,31.87,54.49,0.0
2022-03-23 18:00:56,30.58,0.0,0.0,1598.88,42.86,69.11,0.0
2022-03-23 19:00:56,27.85,0.0,0.0,1597.93,49.32,78.58,0.0
2022-03-23 20:00:56,25.61,0.0,0.0,1651.96,59.81,94.96,0.0
2022-03-23 21:00:56,26.51,0.0,0.0,1849.59,66.73,96.13,0.0
2022-03-23 22:00:56,34.43,0.0,0.0,1685.44,45.77,63.76,0.0
2022-03-23 23:00:56,27.92,0.0,0.0,1590.19,35.95,47.4,0.0
2022-03-24 00:00:56,25.39,0.0,0.0,1634.83,45.97,59.68,0.0
2022-03-24 01:00:56,29.28,0.0,0.0,1563.74,31.29,38.1,0.0
2022-03-24 02:00:56,34.21,0.0,0.0,1445.59,21.08,25.72,0.0
2022-03-24 03:00:56,20.93,0.0,0.0,1400.62,11.22,14.21,0.0
2022-03-24 04:00:56,10.64,0.0,0.0,1398.95,12.16,15.42,0.0
2022-03-24 05:00:56,8.09,0.0,0.0,1433.04,9.93,12.83,0.0
2022-03-24 06:00:56,9.37,0.0,0.0,1445.98,17.55,21.55,0.0
2022-03-24 07:00:56,18.34,0.0,0.0,1473.5,27.79,37.47,0.0
2022-03-24 08:00:56,19.09,0.0,0.0,1586.51,42.62,55.12,0.0
2022-03-24 09:00:56,18.69,0.0,0.0,1738.36,70.13,124.12,0.0
2022-03-24 10:00:56,26.98,0.0,0.0,1682.86,63.57,91.89,0.0
2022-03-24 11:00:56,20.66,0.0,0.0,1587.96,44.55,55.4,0.0
2022-03-24 12:00:56,18.72,0.0,0.0,1562.44,39.65,56.0,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
