Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,12.97,8.94,17.57,0.0,5.97,7.67,71.56
2022-03-23 17:00:56,12.97,7.76,17.96,0.0,6.77,8.77,66.79
2022-03-23 18:00:56,12.97,8.38,18.8,0.0,18.54,26.03,56.1
2022-03-23 19:00:56,12.97,7.94,17.3,0.0,23.09,34.69,55.38
2022-03-23 20:00:56,12.97,8.43,14.71,0.0,27.64,41.79,47.59
2022-03-23 21:00:56,12.97,13.38,15.55,0.0,37.75,68.59,31.78
2022-03-23 22:00:56,12.97,18.99,15.93,0.0,28.17,45.81,43.29
2022-03-23 23:00:56,12.97,10.62,15.87,0.0,26.17,38.54,40.11
2022-03-24 00:00:56,12.97,10.64,15.64,0.0,22.19,28.8,42.99
2022-03-24 01:00:56,12.97,8.38,0.0,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,12.97,8.7,0.0,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,12.97,13.28,13.91,0.0,30.21,37.54,34.57
2022-03-24 09:00:56,12.97,15.1,13.76,0.0,44.81,89.39,24.94
2022-03-24 10:00:56,12.97,13.56,13.09,0.0,45.03,83.04,22.45
2022-03-24 11:00:56,12.97,17.79,14.58,0.0,57.48,106.93,23.26
2022-03-24 12:00:56,12.97,29.58,18.87,0.0,40.98,76.85,37.98
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
