Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,34.23,20.05,8.08,31.16,41.13,55.81
2022-03-23 17:00:56,31.34,18.9,6.56,39.05,51.03,45.94
2022-03-23 18:00:56,27.35,14.49,5.68,43.64,59.57,43.21
2022-03-23 19:00:56,46.54,21.56,7.27,31.61,38.51,49.85
2022-03-23 20:00:56,35.25,12.01,5.98,30.82,37.42,47.94
2022-03-23 21:00:56,30.34,6.71,4.84,30.07,35.63,47.69
2022-03-23 22:00:56,20.8,15.86,5.93,27.34,33.47,48.45
2022-03-23 23:00:56,27.71,8.8,6.83,48.08,61.24,25.55
2022-03-24 00:00:56,28.55,7.49,4.94,72.84,111.56,8.72
2022-03-24 01:00:56,36.63,7.22,4.88,68.08,100.01,9.8
2022-03-24 02:00:56,38.27,4.7,0.0,0.0,0.0,22.89
2022-03-24 03:00:56,22.86,2.49,4.0,30.22,41.59,35.92
2022-03-24 04:00:56,21.11,2.28,4.59,18.2,26.4,47.49
2022-03-24 05:00:56,13.1,1.55,6.83,23.29,32.31,42.09
2022-03-24 06:00:56,17.3,4.94,6.11,27.2,36.56,37.63
2022-03-24 07:00:56,11.11,2.84,1.81,36.89,51.14,29.95
2022-03-24 08:00:56,20.18,3.09,3.64,56.56,94.2,23.04
2022-03-24 09:00:56,19.85,6.76,6.12,66.33,104.23,17.47
2022-03-24 10:00:56,42.86,27.01,5.88,43.63,60.36,35.91
2022-03-24 11:00:56,44.38,14.52,6.59,32.13,44.97,45.73
2022-03-24 12:00:56,42.22,8.76,5.64,23.22,33.99,51.22
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
