Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 02:00:56,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,70.07,337.13
2018-03-29 04:00:56,0.0,0.0,113.64,195.38
2018-03-29 05:00:56,0.0,0.0,103.27,183.75
2018-03-29 06:00:56,0.0,0.0,95.93,127.17
2018-03-29 07:00:56,0.0,0.0,139.46,139.85
2018-03-29 08:00:56,0.0,0.0,119.99,120.46
2018-03-29 09:00:56,0.0,0.0,106.42,135.45
2018-03-29 10:00:56,0.0,0.0,99.69,111.91
2018-03-29 11:00:56,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,6.33,0.0,0.0,0.0
2018-03-29 13:00:56,25.28,2.8,55.45,79.06
2018-03-29 14:00:56,19.11,1.59,58.2,86.28
2018-03-29 15:00:56,30.67,0.49,64.8,109.88
2018-03-29 16:00:56,44.39,0.17,62.61,97.03
2018-03-29 17:00:56,48.43,0.0,61.54,94.71
2018-03-29 18:00:56,60.63,0.02,80.71,155.52
2018-03-29 19:00:56,65.11,0.01,73.77,134.59
2018-03-29 20:00:56,78.03,0.0,50.86,85.32
2018-03-29 21:00:56,62.29,0.0,40.24,56.26
2018-03-29 22:00:56,37.62,0.0,46.44,80.16
2018-03-29 23:00:56,29.62,0.0,101.25,239.24
2018-03-30 00:00:56,25.6,0.0,0.0,0.0
2018-03-30 01:00:56,16.39,0.0,24.3,31.56
2018-03-30 02:00:56,19.16,0.0,41.71,79.51
2018-03-30 03:00:56,19.23,0.0,32.47,81.43
2018-03-30 04:00:56,10.31,0.0,0.0,0.0
2018-03-30 05:00:56,9.2,0.0,17.57,21.96
2018-03-30 06:00:56,14.82,0.0,21.21,29.29
2018-03-30 07:00:56,17.45,0.0,33.95,45.28
2018-03-30 08:00:56,16.23,0.0,48.4,69.49
2018-03-30 09:00:56,13.04,0.0,39.8,52.51
2018-03-30 10:00:56,15.34,0.0,37.23,49.13
2018-03-30 11:00:56,18.36,0.0,38.66,49.04
2018-03-30 12:00:56,26.27,0.0,56.96,83.52
2018-03-30 13:00:56,30.37,0.0,48.18,67.8
2018-03-30 14:00:56,40.68,0.0,45.89,62.99
2018-03-30 15:00:56,45.06,0.0,52.09,71.73
2018-03-30 16:00:56,42.7,0.0,64.56,95.37
2018-03-30 17:00:56,56.29,0.0,70.48,111.87
2018-03-30 18:00:56,76.71,0.0,84.97,171.29
2018-03-30 19:00:56,98.05,0.0,91.41,205.5
