Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,47.03,14.63
2022-03-23 17:00:56,48.4,15.14
2022-03-23 18:00:56,61.66,14.31
2022-03-23 19:00:56,50.23,14.57
2022-03-23 20:00:56,57.52,14.38
2022-03-23 21:00:56,41.0,14.2
2022-03-23 22:00:56,41.59,14.58
2022-03-23 23:00:56,62.23,14.25
2022-03-24 00:00:56,69.7,14.84
2022-03-24 01:00:56,58.92,14.35
2022-03-24 02:00:56,55.41,14.07
2022-03-24 03:00:56,34.92,13.9
2022-03-24 04:00:56,31.69,13.77
2022-03-24 05:00:56,20.97,13.8
2022-03-24 06:00:56,20.23,13.9
2022-03-24 07:00:56,28.28,13.73
2022-03-24 08:00:56,38.17,13.86
2022-03-24 09:00:56,43.83,14.23
2022-03-24 10:00:56,37.72,14.88
2022-03-24 11:00:56,28.23,15.74
2022-03-24 12:00:56,36.2,16.28
2022-03-24 13:00:56,0.0,0.0
