Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,24.64,7.43,331.25,21.38,25.48
2022-03-23 17:00:56,16.22,7.55,356.44,28.32,32.1
2022-03-23 18:00:56,25.49,15.31,638.2,33.46,40.78
2022-03-23 19:00:56,13.29,7.6,478.24,57.33,74.63
2022-03-23 20:00:56,25.91,6.15,356.63,31.86,34.35
2022-03-23 21:00:56,23.7,5.61,464.49,41.86,47.41
2022-03-23 22:00:56,28.62,5.39,487.27,30.95,35.38
2022-03-23 23:00:56,19.61,4.61,449.34,22.86,23.91
2022-03-24 00:00:56,24.97,5.06,779.51,0.0,0.0
2022-03-24 01:00:56,23.84,3.71,701.12,60.86,73.66
2022-03-24 02:00:56,34.78,0.0,723.97,33.48,35.57
2022-03-24 03:00:56,32.17,4.53,564.23,26.99,28.28
2022-03-24 04:00:56,18.69,4.32,522.62,40.01,41.46
2022-03-24 05:00:56,12.63,4.01,505.15,29.54,30.26
2022-03-24 06:00:56,8.66,4.06,487.23,17.05,17.93
2022-03-24 07:00:56,6.49,0.0,463.87,39.97,50.5
2022-03-24 08:00:56,15.14,4.93,766.97,114.35,305.19
2022-03-24 09:00:56,16.24,6.57,735.65,27.05,33.0
2022-03-24 10:00:56,34.05,8.86,512.75,35.8,45.77
2022-03-24 11:00:56,34.58,12.34,472.32,32.91,38.21
2022-03-24 12:00:56,46.79,23.55,464.68,25.51,30.25
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
