Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,50.87,21.31,429.82,44.0,62.97,16.38
2022-03-23 17:00:56,48.52,18.5,444.73,53.96,85.51,14.63
2022-03-23 18:00:56,49.08,18.13,616.56,76.35,138.41,11.32
2022-03-23 19:00:56,52.62,20.47,860.82,94.65,196.08,10.33
2022-03-23 20:00:56,66.8,22.11,871.25,92.06,181.35,9.8
2022-03-23 21:00:56,72.54,21.85,652.21,67.95,116.54,12.28
2022-03-23 22:00:56,72.48,22.97,940.42,85.85,156.58,9.17
2022-03-23 23:00:56,78.04,34.68,1047.48,79.86,144.34,8.03
2022-03-24 00:00:56,86.91,41.68,1390.04,77.81,149.54,7.58
2022-03-24 01:00:56,81.84,44.4,950.4,58.72,86.3,10.06
2022-03-24 02:00:56,56.93,33.9,727.86,0.0,0.0,11.85
2022-03-24 03:00:56,39.69,25.43,554.74,46.78,57.32,12.88
2022-03-24 04:00:56,33.24,22.9,391.57,33.86,40.84,14.33
2022-03-24 05:00:56,32.08,22.37,363.87,35.93,42.85,14.91
2022-03-24 06:00:56,27.22,16.11,342.19,40.7,51.29,14.04
2022-03-24 07:00:56,26.13,11.64,491.11,61.0,87.6,11.93
2022-03-24 08:00:56,40.13,16.68,706.12,106.4,212.29,8.28
2022-03-24 09:00:56,70.14,19.71,642.01,90.58,163.72,10.71
2022-03-24 10:00:56,80.29,20.63,606.32,82.21,139.78,12.46
2022-03-24 11:00:56,71.45,22.32,418.2,69.07,110.22,14.06
2022-03-24 12:00:56,64.06,14.65,444.83,73.28,132.33,14.19
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
