Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,0.0,39.48
2018-03-29 01:00:56,0.0,37.21
2018-03-29 02:00:56,0.0,36.96
2018-03-29 03:00:56,0.0,35.74
2018-03-29 04:00:56,0.0,34.1
2018-03-29 05:00:56,0.0,32.03
2018-03-29 06:00:56,0.0,31.38
2018-03-29 07:00:56,0.0,33.22
2018-03-29 08:00:56,0.0,39.93
2018-03-29 09:00:56,0.0,37.58
2018-03-29 10:00:56,0.0,36.67
2018-03-29 11:00:56,0.0,31.35
2018-03-29 12:00:56,0.0,27.18
2018-03-29 13:00:56,0.0,24.5
2018-03-29 14:00:56,0.0,26.97
2018-03-29 15:00:56,0.0,19.97
2018-03-29 16:00:56,0.0,24.12
2018-03-29 17:00:56,0.0,23.11
2018-03-29 18:00:56,0.0,18.07
2018-03-29 19:00:56,0.0,17.9
2018-03-29 20:00:56,0.0,18.42
2018-03-29 21:00:56,0.0,18.28
2018-03-29 22:00:56,0.0,17.72
2018-03-29 23:00:56,0.0,17.99
2018-03-30 00:00:56,0.0,18.45
2018-03-30 01:00:56,0.0,17.67
2018-03-30 02:00:56,0.0,18.42
2018-03-30 03:00:56,0.0,18.19
2018-03-30 04:00:56,0.0,17.54
2018-03-30 05:00:56,0.0,17.07
2018-03-30 06:00:56,0.0,16.2
2018-03-30 07:00:56,0.0,17.04
2018-03-30 08:00:56,0.0,19.5
2018-03-30 09:00:56,0.0,20.65
2018-03-30 10:00:56,0.0,19.54
2018-03-30 11:00:56,0.0,17.63
2018-03-30 12:00:56,0.0,14.81
2018-03-30 13:00:56,0.0,15.87
2018-03-30 14:00:56,0.0,15.13
2018-03-30 15:00:56,0.0,16.56
2018-03-30 16:00:56,0.0,17.1
2018-03-30 17:00:56,0.0,16.32
2018-03-30 18:00:56,0.0,17.25
2018-03-30 19:00:56,0.0,17.38
2018-03-30 20:00:56,0.0,16.98
2018-03-30 21:00:56,0.0,16.33
2018-03-30 22:00:56,0.0,14.51
2018-03-30 23:00:56,0.0,13.45
2018-03-31 00:00:56,0.0,12.33
2018-03-31 01:00:56,0.0,11.74
2018-03-31 02:00:56,0.0,10.83
2018-03-31 03:00:56,0.0,9.52
2018-03-31 04:00:56,0.0,8.47
2018-03-31 05:00:56,0.0,7.96
2018-03-31 06:00:56,0.0,6.97
2018-03-31 07:00:56,0.0,7.21
2018-03-31 08:00:56,0.0,12.07
2018-03-31 09:00:56,0.0,11.89
2018-03-31 10:00:56,0.0,12.83
2018-03-31 11:00:56,0.0,15.62
2018-03-31 12:00:56,0.0,15.19
2018-03-31 13:00:56,0.0,12.8
2018-03-31 14:00:56,0.0,11.75
2018-03-31 15:00:56,0.0,11.69
2018-03-31 16:00:56,0.0,11.92
2018-03-31 17:00:56,0.0,11.68
2018-03-31 18:00:56,0.0,12.83
2018-03-31 19:00:56,0.0,15.59
2018-03-31 20:00:56,0.0,18.84
2018-03-31 21:00:56,0.0,18.96
2018-03-31 22:00:56,0.0,21.04
2018-03-31 23:00:56,0.0,21.26
2018-04-01 00:00:56,0.0,19.22
2018-04-01 01:00:56,0.0,16.95
2018-04-01 02:00:56,0.0,15.55
2018-04-01 03:00:56,0.0,14.47
2018-04-01 04:00:56,0.0,13.28
2018-04-01 05:00:56,0.0,12.6
2018-04-01 06:00:56,0.0,12.42
2018-04-01 07:00:56,0.0,12.94
2018-04-01 08:00:56,0.0,13.19
2018-04-01 09:00:56,0.0,13.33
2018-04-01 10:00:56,0.0,15.24
2018-04-01 11:00:56,0.0,12.95
2018-04-01 12:00:56,0.0,13.3
2018-04-01 13:00:56,0.0,12.09
2018-04-01 14:00:56,0.0,12.04
2018-04-01 15:00:56,0.0,12.53
2018-04-01 16:00:56,0.0,11.96
2018-04-01 17:00:56,0.0,12.86
2018-04-01 18:00:56,0.0,14.41
2018-04-01 19:00:56,0.0,17.4
2018-04-01 20:00:56,0.0,23.8
2018-04-01 21:00:56,0.0,26.34
2018-04-01 22:00:56,0.0,31.65
2018-04-01 23:00:56,0.0,22.71
2018-04-02 00:00:56,0.0,19.47
2018-04-02 01:00:56,0.0,19.64
2018-04-02 02:00:56,0.0,17.66
2018-04-02 03:00:56,0.0,17.25
2018-04-02 04:00:56,0.0,17.12
2018-04-02 05:00:56,0.0,16.27
2018-04-02 06:00:56,0.0,17.23
2018-04-02 07:00:56,0.0,17.78
2018-04-02 08:00:56,0.0,17.3
2018-04-02 09:00:56,0.0,18.69
2018-04-02 10:00:56,0.0,15.81
2018-04-02 11:00:56,0.0,15.17
2018-04-02 12:00:56,0.0,21.23
2018-04-02 13:00:56,0.0,22.98
2018-04-02 14:00:56,0.0,21.83
2018-04-02 15:00:56,0.0,19.91
2018-04-02 16:00:56,0.0,19.49
2018-04-02 17:00:56,0.0,20.09
2018-04-02 18:00:56,0.0,23.66
2018-04-02 19:00:56,0.0,31.8
2018-04-02 20:00:56,0.0,41.1
2018-04-02 21:00:56,0.0,26.71
2018-04-02 22:00:56,0.0,23.57
2018-04-02 23:00:56,0.0,20.42
2018-04-03 00:00:56,0.0,21.26
2018-04-03 01:00:56,0.0,18.11
2018-04-03 02:00:56,0.0,19.04
2018-04-03 03:00:56,0.0,19.43
2018-04-03 04:00:56,0.0,21.79
2018-04-03 05:00:56,0.0,25.01
2018-04-03 06:00:56,0.0,23.64
2018-04-03 07:00:56,0.0,21.6
2018-04-03 08:00:56,0.0,37.06
2018-04-03 09:00:56,0.0,30.84
2018-04-03 10:00:56,0.0,23.4
2018-04-03 11:00:56,0.0,16.91
2018-04-03 12:00:56,0.0,19.75
2018-04-03 13:00:56,0.0,19.24
2018-04-03 14:00:56,0.0,18.6
2018-04-03 15:00:56,0.0,17.88
2018-04-03 16:00:56,0.0,18.88
2018-04-03 17:00:56,0.0,17.22
2018-04-03 18:00:56,0.0,15.64
2018-04-03 19:00:56,0.0,17.21
2018-04-03 20:00:56,0.0,22.43
2018-04-03 21:00:56,0.0,18.08
2018-04-03 22:00:56,0.0,22.5
2018-04-03 23:00:56,0.0,22.23
2018-04-04 00:00:56,0.0,20.77
2018-04-04 01:00:56,0.0,20.38
2018-04-04 02:00:56,0.0,20.09
2018-04-04 03:00:56,0.0,14.31
2018-04-04 04:00:56,0.0,13.0
2018-04-04 05:00:56,0.0,13.44
2018-04-04 06:00:56,0.0,11.42
2018-04-04 07:00:56,0.0,12.23
2018-04-04 08:00:56,0.0,10.72
2018-04-04 09:00:56,0.0,9.62
2018-04-04 10:00:56,0.0,11.48
2018-04-04 11:00:56,0.0,12.4
2018-04-04 12:00:56,0.0,12.7
2018-04-04 13:00:56,0.0,13.12
2018-04-04 14:00:56,0.0,12.73
2018-04-04 15:00:56,0.0,11.95
2018-04-04 16:00:56,0.0,12.4
2018-04-04 17:00:56,0.0,12.9
