Date,PM10 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 )
2022-03-23 16:00:56,73.08333333333333,6.25,8.5,110.7,18.845,675.37
2022-03-23 17:00:56,66.87,5.2,7.43,104.69,25.265,591.88
2022-03-23 18:00:56,49.38333333333333,4.455,6.6,101.97,24.02,826.68
2022-03-23 19:00:56,42.26,4.005,6.1,97.74,18.335,1105.11
2022-03-23 20:00:56,36.4,3.7,5.89,96.78,23.535,922.12
2022-03-23 21:00:56,34.766666666666666,3.59,5.81,96.22,22.075,452.08
2022-03-23 22:00:56,36.089999999999996,3.41,5.59,90.33,25.555,723.58
2022-03-23 23:00:56,28.44,3.45,5.62,81.36,24.509999999999998,710.48
2022-03-24 00:00:56,24.320000000000004,3.505,5.76,68.88,25.435000000000002,476.48
2022-03-24 01:00:56,28.486666666666668,3.25,5.575,60.83,21.8,419.87
2022-03-24 02:00:56,26.83,3.095,5.38,69.19,21.189999999999998,385.18
2022-03-24 03:00:56,21.12,3.11,5.435,84.84,17.545,284.45
2022-03-24 04:00:56,19.87,3.205,5.53,91.27,18.9,108.47
2022-03-24 05:00:56,20.94,3.21,5.58,91.13,21.02,42.92
2022-03-24 06:00:56,22.153333333333336,3.325,5.73,90.85,18.59,363.15
2022-03-24 07:00:56,26.100000000000005,3.52,5.85,88.57,20.475,321.14
2022-03-24 08:00:56,30.99,3.46,5.755,79.72,19.965,462.33
2022-03-24 09:00:56,38.406666666666666,3.56,5.84,73.08,22.485,1366.99
2022-03-24 10:00:56,39.550000000000004,3.645,5.9,76.73,27.765,624.52
2022-03-24 11:00:56,37.943333333333335,3.51,5.775,80.06,31.4,311.5
2022-03-24 12:00:56,35.36000000000001,3.64,5.955,81.78,33.25,239.73
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
