Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,50.86,28.21
2022-03-23 17:00:56,43.39,28.43
2022-03-23 18:00:56,26.82,28.32
2022-03-23 19:00:56,34.57,29.0
2022-03-23 20:00:56,38.81,29.07
2022-03-23 21:00:56,49.47,29.18
2022-03-23 22:00:56,49.05,29.48
2022-03-23 23:00:56,33.77,30.32
2022-03-24 00:00:56,19.66,29.64
2022-03-24 01:00:56,38.06,29.14
2022-03-24 02:00:56,38.05,28.77
2022-03-24 03:00:56,26.56,28.35
2022-03-24 04:00:56,30.77,28.23
2022-03-24 05:00:56,35.77,28.15
2022-03-24 06:00:56,28.39,28.12
2022-03-24 07:00:56,27.05,28.4
2022-03-24 08:00:56,33.66,28.13
2022-03-24 09:00:56,34.0,28.45
2022-03-24 10:00:56,28.29,31.23
2022-03-24 11:00:56,34.66,32.73
2022-03-24 12:00:56,33.1,30.69
2022-03-24 13:00:56,0.0,0.0
