Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,82.05,9.48,675.37,0.0,0.0
2022-03-23 17:00:56,81.86,22.1,591.88,0.0,0.0
2022-03-23 18:00:56,66.27,19.72,826.68,0.0,0.0
2022-03-23 19:00:56,49.56,7.67,1105.11,0.0,0.0
2022-03-23 20:00:56,38.09,18.0,922.12,0.0,0.0
2022-03-23 21:00:56,25.53,14.97,452.08,0.0,0.0
2022-03-23 22:00:56,25.65,21.63,723.58,0.0,0.0
2022-03-23 23:00:56,19.26,18.7,710.48,0.0,0.0
2022-03-24 00:00:56,24.93,21.23,476.48,0.0,0.0
2022-03-24 01:00:56,14.57,14.46,419.87,0.0,0.0
2022-03-24 02:00:56,9.93,13.61,385.18,0.0,0.0
2022-03-24 03:00:56,10.29,6.74,284.45,0.0,0.0
2022-03-24 04:00:56,6.19,9.57,108.47,0.0,0.0
2022-03-24 05:00:56,3.78,13.89,42.92,0.0,0.0
2022-03-24 06:00:56,7.8,9.06,363.15,0.0,0.0
2022-03-24 07:00:56,17.94,12.55,321.14,0.0,0.0
2022-03-24 08:00:56,22.67,11.8,462.33,0.0,0.0
2022-03-24 09:00:56,41.55,16.52,1366.99,0.0,0.0
2022-03-24 10:00:56,57.05,24.3,624.52,0.0,0.0
2022-03-24 11:00:56,49.27,30.07,311.5,0.0,0.0
2022-03-24 12:00:56,35.96,35.81,239.73,0.0,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
