Date,PM10 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,28.71,2.93,4.35,104.02
2018-03-29 01:00:56,32.95,1.94,3.22,107.4
2018-03-29 02:00:56,25.96,1.7,3.19,107.13
2018-03-29 03:00:56,27.16,1.46,2.81,104.48
2018-03-29 04:00:56,25.53,1.39,2.68,99.2
2018-03-29 05:00:56,18.29,1.4,2.73,97.19
2018-03-29 06:00:56,11.34,2.06,3.38,100.71
2018-03-29 07:00:56,10.25,1.58,2.92,102.34
2018-03-29 08:00:56,16.96,1.48,2.77,97.01
2018-03-29 09:00:56,12.47,1.37,2.81,93.97
2018-03-29 10:00:56,7.67,1.39,2.83,89.5
2018-03-29 11:00:56,5.2,1.48,2.78,93.3
2018-03-29 12:00:56,9.43,1.53,2.86,93.86
2018-03-29 13:00:56,7.76,1.9,3.24,93.21
2018-03-29 14:00:56,4.34,1.97,3.37,91.68
2018-03-29 15:00:56,6.01,2.65,4.08,85.3
2018-03-29 16:00:56,11.18,3.37,4.83,81.47
2018-03-29 17:00:56,7.74,3.15,4.62,81.56
2018-03-29 18:00:56,9.14,2.97,4.4,84.15
2018-03-29 19:00:56,6.5,2.57,4.16,87.27
2018-03-29 20:00:56,4.53,2.32,3.71,88.47
2018-03-29 21:00:56,7.29,2.31,3.61,88.39
2018-03-29 22:00:56,11.43,2.48,3.84,88.79
2018-03-29 23:00:56,13.96,2.68,4.01,89.71
2018-03-30 00:00:56,15.41,2.33,3.66,90.44
2018-03-30 01:00:56,9.58,1.35,2.64,92.36
2018-03-30 02:00:56,5.3,1.19,2.46,91.79
2018-03-30 03:00:56,4.7,1.39,2.7,91.56
2018-03-30 04:00:56,10.3,1.32,2.42,91.01
2018-03-30 05:00:56,8.37,1.3,2.46,91.55
2018-03-30 06:00:56,10.2,1.17,2.42,92.71
2018-03-30 07:00:56,13.97,1.62,2.81,93.91
2018-03-30 08:00:56,13.09,1.98,3.22,93.34
2018-03-30 09:00:56,20.83,1.59,3.03,93.46
2018-03-30 10:00:56,18.76,1.12,2.4,94.12
2018-03-30 11:00:56,19.16,1.48,2.72,92.51
2018-03-30 12:00:56,12.4,1.34,2.64,94.26
2018-03-30 13:00:56,14.94,1.21,2.44,95.67
2018-03-30 14:00:56,16.98,1.17,2.39,96.75
2018-03-30 15:00:56,26.26,1.31,2.62,98.82
2018-03-30 16:00:56,17.35,1.47,2.64,98.48
2018-03-30 17:00:56,16.02,1.32,2.63,100.6
2018-03-30 18:00:56,18.61,1.47,2.57,100.95
2018-03-30 19:00:56,20.55,1.97,3.22,97.23
2018-03-30 20:00:56,22.57,1.81,3.02,91.83
2018-03-30 21:00:56,20.92,2.04,3.37,70.12
2018-03-30 22:00:56,19.37,2.64,3.82,70.47
2018-03-30 23:00:56,21.31,2.46,3.71,76.7
2018-03-31 00:00:56,14.86,2.96,4.32,65.59
2018-03-31 01:00:56,30.03,3.82,5.14,68.3
2018-03-31 02:00:56,21.74,2.88,4.32,61.61
2018-03-31 03:00:56,24.88,2.78,4.01,62.2
2018-03-31 04:00:56,25.76,2.07,3.34,74.52
2018-03-31 05:00:56,20.9,1.65,2.99,74.69
2018-03-31 06:00:56,20.27,1.68,2.99,71.46
2018-03-31 07:00:56,15.8,1.99,3.28,68.1
2018-03-31 08:00:56,25.46,2.48,3.71,67.27
2018-03-31 09:00:56,28.73,3.75,5.41,61.29
2018-03-31 10:00:56,17.7,3.13,4.73,64.2
2018-03-31 11:00:56,13.19,3.89,5.61,68.27
2018-03-31 12:00:56,15.58,2.67,4.24,73.46
2018-03-31 13:00:56,10.32,3.31,4.69,83.53
2018-03-31 14:00:56,14.21,2.45,3.76,89.77
2018-03-31 15:00:56,15.27,1.89,3.12,90.13
2018-03-31 16:00:56,18.26,1.95,3.33,91.86
2018-03-31 17:00:56,12.07,2.15,3.52,90.99
2018-03-31 18:00:56,12.88,1.33,2.73,91.59
2018-03-31 19:00:56,8.97,2.65,4.05,86.59
2018-03-31 20:00:56,18.29,1.96,3.33,86.49
2018-03-31 21:00:56,14.18,1.83,3.13,85.84
2018-03-31 22:00:56,16.22,1.63,2.91,84.44
2018-03-31 23:00:56,16.14,2.32,3.59,81.43
2018-04-01 00:00:56,18.72,2.42,3.9,76.09
2018-04-01 01:00:56,14.56,3.19,4.99,66.15
2018-04-01 02:00:56,8.74,4.55,6.29,60.04
2018-04-01 03:00:56,7.4,4.76,6.43,55.06
2018-04-01 04:00:56,10.36,4.63,6.21,51.99
2018-04-01 05:00:56,11.31,4.73,6.41,45.63
2018-04-01 06:00:56,8.25,4.62,6.17,43.83
2018-04-01 07:00:56,6.07,5.51,7.31,42.38
2018-04-01 08:00:56,18.26,6.06,8.28,42.33
2018-04-01 09:00:56,30.28,5.29,7.58,45.92
2018-04-01 10:00:56,21.1,3.64,5.8,49.78
2018-04-01 11:00:56,11.21,4.45,6.98,66.05
2018-04-01 12:00:56,6.67,2.93,4.77,88.38
2018-04-01 13:00:56,9.38,2.82,4.72,95.28
2018-04-01 14:00:56,36.33,3.56,5.39,95.0
2018-04-01 15:00:56,27.72,3.4,5.35,100.9
2018-04-01 16:00:56,19.77,3.44,5.28,100.48
2018-04-01 17:00:56,16.28,2.8,4.48,99.43
2018-04-01 18:00:56,9.5,2.87,4.59,92.52
2018-04-01 19:00:56,6.14,3.66,5.52,84.18
