Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,57.77,10.27
2022-03-23 17:00:56,50.08,11.24
2022-03-23 18:00:56,52.67,11.66
2022-03-23 19:00:56,41.27,12.13
2022-03-23 20:00:56,51.25,10.1
2022-03-23 21:00:56,59.62,8.72
2022-03-23 22:00:56,45.73,7.49
2022-03-23 23:00:56,36.19,7.95
2022-03-24 00:00:56,43.36,8.21
2022-03-24 01:00:56,56.64,7.25
2022-03-24 02:00:56,43.95,6.51
2022-03-24 03:00:56,42.0,6.21
2022-03-24 04:00:56,41.62,5.3
2022-03-24 05:00:56,27.92,4.49
2022-03-24 06:00:56,25.14,4.16
2022-03-24 07:00:56,30.28,4.52
2022-03-24 08:00:56,41.51,4.6
2022-03-24 09:00:56,60.33,6.11
2022-03-24 10:00:56,71.69,5.84
2022-03-24 11:00:56,59.46,9.58
2022-03-24 12:00:56,39.92,10.94
2022-03-24 13:00:56,0.0,0.0
