Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,37.42,0.0,0.0,0.0
2018-03-29 12:00:56,8.48,0.0,65.62,0.0,0.0,0.0
2018-03-29 13:00:56,18.02,0.0,24.18,0.0,0.0,0.0
2018-03-29 14:00:56,11.12,0.0,15.22,0.0,0.0,0.0
2018-03-29 15:00:56,12.25,0.0,8.0,0.0,0.0,0.0
2018-03-29 16:00:56,15.35,0.0,3.24,0.0,0.0,0.0
2018-03-29 17:00:56,22.69,0.0,5.12,0.0,0.0,0.0
2018-03-29 18:00:56,7.94,0.0,0.85,0.0,0.0,0.0
2018-03-29 19:00:56,22.12,0.0,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,23.73,0.0,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,28.75,0.0,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,26.27,0.0,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,20.4,0.0,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,16.74,0.0,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,23.23,0.0,2.06,0.0,0.0,0.0
2018-03-30 02:00:56,31.5,0.0,21.87,0.0,0.0,0.0
2018-03-30 03:00:56,28.49,0.0,35.24,0.0,0.0,0.0
2018-03-30 04:00:56,32.0,0.0,13.94,0.0,0.0,0.0
2018-03-30 05:00:56,33.25,0.0,13.09,0.0,0.0,0.0
2018-03-30 06:00:56,42.37,0.0,10.25,0.0,0.0,0.0
2018-03-30 07:00:56,44.88,0.0,13.28,0.0,0.0,0.0
2018-03-30 08:00:56,46.47,0.0,30.53,0.0,0.0,0.0
2018-03-30 09:00:56,61.62,0.0,21.46,0.0,0.0,0.0
2018-03-30 10:00:56,43.42,0.0,11.8,0.0,0.0,0.0
2018-03-30 11:00:56,31.0,0.0,6.99,0.0,0.0,0.0
