Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,27.58,0.0,0.0,1197.06,28.14,49.62,0.0
2022-03-23 17:00:56,27.87,0.0,0.0,0.0,26.41,52.46,0.0
2022-03-23 18:00:56,27.69,0.0,0.0,1240.69,26.72,54.19,0.0
2022-03-23 19:00:56,26.25,0.0,0.0,1318.82,0.0,0.0,0.0
2022-03-23 20:00:56,31.59,0.0,0.0,1409.87,32.76,62.38,0.0
2022-03-23 21:00:56,34.29,0.0,0.0,1374.69,27.54,52.0,0.0
2022-03-23 22:00:56,25.69,0.0,0.0,1380.95,32.48,56.73,0.0
2022-03-23 23:00:56,27.8,0.0,0.0,1322.77,30.76,50.39,0.0
2022-03-24 00:00:56,27.88,0.0,0.0,1364.08,31.01,60.3,0.0
2022-03-24 01:00:56,31.01,0.0,0.0,1288.81,25.76,40.61,0.0
2022-03-24 02:00:56,34.26,0.0,0.0,1164.35,18.37,27.03,0.0
2022-03-24 03:00:56,27.25,0.0,0.0,1176.68,18.6,24.94,0.0
2022-03-24 04:00:56,26.45,0.0,0.0,1162.16,13.34,17.54,0.0
2022-03-24 05:00:56,18.43,0.0,0.0,1133.24,9.77,12.53,0.0
2022-03-24 06:00:56,14.6,0.0,0.0,1123.31,12.4,16.41,0.0
2022-03-24 07:00:56,23.7,0.0,0.0,1304.36,32.55,76.88,0.0
2022-03-24 08:00:56,24.35,0.0,0.0,1431.09,46.02,94.06,0.0
2022-03-24 09:00:56,30.06,0.0,0.0,1689.83,50.8,101.78,0.0
2022-03-24 10:00:56,37.47,0.0,0.0,1638.04,46.24,97.8,0.0
2022-03-24 11:00:56,32.95,0.0,0.0,1382.61,38.15,88.86,0.0
2022-03-24 12:00:56,29.95,0.0,0.0,1247.98,32.83,68.79,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
