Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,32.32,9.22,31.33,902.47,7.06,14.15,60.83
2022-03-23 17:00:56,34.0,6.7,31.53,897.92,6.9,13.33,60.34
2022-03-23 18:00:56,38.38,11.79,31.87,897.3,5.66,12.07,61.3
2022-03-23 19:00:56,36.59,9.65,31.24,896.28,7.15,12.68,60.2
2022-03-23 20:00:56,38.12,10.02,32.22,927.19,11.54,18.07,57.02
2022-03-23 21:00:56,39.65,9.24,32.99,937.32,11.73,17.28,56.46
2022-03-23 22:00:56,38.1,12.37,33.26,919.55,7.76,11.84,59.99
2022-03-23 23:00:56,36.24,11.22,32.43,920.71,6.99,11.09,60.88
2022-03-24 00:00:56,36.04,7.24,33.01,935.73,15.76,21.65,54.07
2022-03-24 01:00:56,39.13,9.43,0.0,0.0,0.0,0.0,0.0
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,17.34,7.93,0.0,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,19.45,5.65,63.85,1045.93,30.3,45.68,34.76
2022-03-24 09:00:56,34.36,17.78,108.62,1236.29,38.78,64.61,27.09
2022-03-24 10:00:56,44.38,15.26,68.17,1089.58,21.63,36.77,37.21
2022-03-24 11:00:56,43.28,22.22,59.94,1023.45,13.13,24.78,48.72
2022-03-24 12:00:56,40.14,14.99,41.96,956.23,9.34,16.88,64.24
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
