Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,21.23,63.93,28.42,35.24,60.31
2018-03-29 01:00:56,33.37,26.78,23.63,27.78,63.69
2018-03-29 02:00:56,34.22,18.51,20.16,22.47,65.23
2018-03-29 03:00:56,36.5,23.24,15.72,17.25,66.4
2018-03-29 04:00:56,29.89,31.58,18.16,19.51,62.68
2018-03-29 05:00:56,30.74,18.65,12.36,13.43,66.89
2018-03-29 06:00:56,31.51,9.64,11.18,12.07,66.36
2018-03-29 07:00:56,29.59,6.97,10.4,11.38,65.78
2018-03-29 08:00:56,30.52,8.02,17.16,21.65,60.39
2018-03-29 09:00:56,26.58,17.16,34.58,46.18,48.73
2018-03-29 10:00:56,31.09,11.29,34.39,46.99,45.06
2018-03-29 11:00:56,37.29,11.12,26.4,35.13,53.01
2018-03-29 12:00:56,38.51,18.18,21.35,30.19,62.3
2018-03-29 13:00:56,41.02,16.09,21.03,29.45,59.45
2018-03-29 14:00:56,44.12,17.01,21.96,31.39,59.93
2018-03-29 15:00:56,41.98,9.42,19.89,28.69,64.27
2018-03-29 16:00:56,39.41,10.46,19.16,28.89,69.1
2018-03-29 17:00:56,31.09,10.31,22.6,31.86,68.79
2018-03-29 18:00:56,35.65,8.74,22.37,31.2,71.5
2018-03-29 19:00:56,37.32,12.42,26.04,33.57,73.17
2018-03-29 20:00:56,34.54,53.0,41.58,50.3,68.39
2018-03-29 21:00:56,40.14,13.93,49.68,58.33,56.33
2018-03-29 22:00:56,44.05,59.94,80.51,97.53,29.95
2018-03-29 23:00:56,42.51,62.02,88.82,110.87,19.42
2018-03-30 00:00:56,62.81,37.63,72.34,94.32,31.06
2018-03-30 01:00:56,65.67,11.45,74.0,88.19,28.93
2018-03-30 02:00:56,72.69,6.21,56.22,63.79,41.43
2018-03-30 03:00:56,70.16,5.63,40.77,45.01,48.0
2018-03-30 04:00:56,74.85,6.24,32.95,34.95,47.55
2018-03-30 05:00:56,81.79,6.76,32.35,34.42,52.48
2018-03-30 06:00:56,77.97,4.74,35.6,37.88,46.59
2018-03-30 07:00:56,68.22,5.24,40.37,42.91,41.53
2018-03-30 08:00:56,69.76,23.86,54.41,68.81,35.18
2018-03-30 09:00:56,73.74,54.6,90.52,184.75,8.72
2018-03-30 10:00:56,95.81,53.65,68.45,141.19,11.75
2018-03-30 11:00:56,77.55,66.53,42.13,74.6,27.92
2018-03-30 12:00:56,75.89,115.02,27.23,47.98,46.91
2018-03-30 13:00:56,51.96,78.02,26.1,41.87,53.95
2018-03-30 14:00:56,38.37,50.76,23.75,36.99,70.98
2018-03-30 15:00:56,29.0,41.39,21.45,29.94,81.84
2018-03-30 16:00:56,26.31,61.9,24.48,34.84,83.11
2018-03-30 17:00:56,33.34,56.84,26.13,37.19,85.16
2018-03-30 18:00:56,30.39,63.24,29.88,41.89,83.05
2018-03-30 19:00:56,24.16,105.86,37.06,51.75,78.04
2018-03-30 20:00:56,25.1,73.83,50.52,62.5,66.34
2018-03-30 21:00:56,33.26,39.28,75.72,95.59,33.27
2018-03-30 22:00:56,58.65,29.3,85.65,108.76,27.18
2018-03-30 23:00:56,68.53,31.71,86.67,104.25,31.55
2018-03-31 00:00:56,52.08,31.44,77.42,88.05,34.54
2018-03-31 01:00:56,55.64,20.79,83.47,102.95,29.85
