Date,PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,17.82,9.56,18.71,29.2,24.99
2022-03-23 17:00:56,13.77,13.19,18.37,28.83,25.58
2022-03-23 18:00:56,10.31,12.51,18.08,28.4,26.06
2022-03-23 19:00:56,8.27,11.36,20.15,29.73,25.37
2022-03-23 20:00:56,6.12,14.54,20.17,29.04,25.14
2022-03-23 21:00:56,7.89,15.36,20.8,29.35,24.84
2022-03-23 22:00:56,6.07,33.59,25.57,34.21,22.49
2022-03-23 23:00:56,9.33,28.0,28.26,36.99,21.67
2022-03-24 00:00:56,9.29,18.22,34.94,45.27,19.96
2022-03-24 01:00:56,18.38,8.44,28.72,39.45,20.6
2022-03-24 02:00:56,12.95,7.79,19.85,28.89,21.27
2022-03-24 03:00:56,10.03,6.65,21.03,29.56,19.97
2022-03-24 04:00:56,7.56,7.58,24.63,33.88,20.16
2022-03-24 05:00:56,6.35,14.89,27.83,38.28,19.57
2022-03-24 06:00:56,5.19,32.0,41.6,54.3,14.07
2022-03-24 07:00:56,4.38,10.67,40.18,62.75,12.32
2022-03-24 08:00:56,3.26,32.47,60.17,118.63,8.77
2022-03-24 09:00:56,5.55,56.12,58.03,127.91,10.72
2022-03-24 10:00:56,17.06,77.11,48.67,97.77,14.72
2022-03-24 11:00:56,23.0,30.1,32.73,58.45,21.68
2022-03-24 12:00:56,28.88,22.88,24.43,40.69,27.78
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
