Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,202.68,10.35
2018-03-29 01:00:56,176.33,10.89
2018-03-29 02:00:56,129.11,12.24
2018-03-29 03:00:56,66.82,11.0
2018-03-29 04:00:56,53.87,13.41
2018-03-29 05:00:56,45.21,9.33
2018-03-29 06:00:56,59.65,9.68
2018-03-29 07:00:56,34.79,12.57
2018-03-29 08:00:56,21.68,8.82
2018-03-29 09:00:56,143.48,8.58
2018-03-29 10:00:56,46.99,8.58
2018-03-29 11:00:56,46.05,9.59
2018-03-29 12:00:56,49.36,0.0
2018-03-29 13:00:56,73.42,9.05
2018-03-29 14:00:56,32.89,9.73
2018-03-29 15:00:56,25.11,9.89
2018-03-29 16:00:56,33.2,9.49
2018-03-29 17:00:56,46.7,8.26
2018-03-29 18:00:56,25.93,9.99
2018-03-29 19:00:56,21.2,10.22
2018-03-29 20:00:56,35.77,12.21
2018-03-29 21:00:56,84.92,11.55
2018-03-29 22:00:56,79.3,8.62
2018-03-29 23:00:56,26.83,7.69
2018-03-30 00:00:56,16.89,7.4
2018-03-30 01:00:56,7.98,7.55
2018-03-30 02:00:56,6.98,7.46
2018-03-30 03:00:56,5.97,7.53
2018-03-30 04:00:56,4.0,7.25
2018-03-30 05:00:56,4.0,7.33
2018-03-30 06:00:56,3.94,7.33
2018-03-30 07:00:56,0.04,7.37
2018-03-30 08:00:56,3.07,7.46
2018-03-30 09:00:56,6.95,7.53
2018-03-30 10:00:56,4.22,7.5
2018-03-30 11:00:56,16.8,7.71
2018-03-30 12:00:56,6.32,7.74
2018-03-30 13:00:56,24.85,7.53
2018-03-30 14:00:56,15.94,7.48
2018-03-30 15:00:56,12.0,7.44
2018-03-30 16:00:56,12.02,7.61
2018-03-30 17:00:56,12.97,7.7
2018-03-30 18:00:56,10.97,7.32
2018-03-30 19:00:56,9.03,7.48
2018-03-30 20:00:56,11.08,7.4
2018-03-30 21:00:56,15.92,7.38
2018-03-30 22:00:56,10.98,7.53
2018-03-30 23:00:56,10.18,7.46
2018-03-31 00:00:56,21.06,7.74
2018-03-31 01:00:56,25.83,8.17
2018-03-31 02:00:56,14.89,7.58
2018-03-31 03:00:56,7.94,7.44
2018-03-31 04:00:56,4.06,7.55
2018-03-31 05:00:56,8.03,7.34
2018-03-31 06:00:56,9.98,7.25
2018-03-31 07:00:56,8.98,7.34
2018-03-31 08:00:56,8.14,7.37
2018-03-31 09:00:56,17.03,7.21
2018-03-31 10:00:56,19.0,7.64
2018-03-31 11:00:56,19.1,8.94
2018-03-31 12:00:56,24.84,8.68
2018-03-31 13:00:56,14.98,8.52
2018-03-31 14:00:56,14.0,8.19
2018-03-31 15:00:56,13.98,7.72
2018-03-31 16:00:56,13.06,7.68
2018-03-31 17:00:56,16.97,7.85
2018-03-31 18:00:56,15.0,7.9
2018-03-31 19:00:56,0.0,17.76
2018-03-31 20:00:56,69.07,22.43
2018-03-31 21:00:56,137.2,11.77
2018-03-31 22:00:56,90.41,9.49
2018-03-31 23:00:56,52.79,9.04
2018-04-01 00:00:56,39.8,8.55
2018-04-01 01:00:56,23.95,8.5
2018-04-01 02:00:56,20.91,8.16
2018-04-01 03:00:56,15.12,7.92
2018-04-01 04:00:56,22.88,7.81
2018-04-01 05:00:56,14.95,7.73
2018-04-01 06:00:56,11.98,7.59
2018-04-01 07:00:56,11.0,7.78
2018-04-01 08:00:56,11.29,8.11
2018-04-01 09:00:56,28.07,8.29
2018-04-01 10:00:56,32.04,9.23
2018-04-01 11:00:56,33.9,9.34
2018-04-01 12:00:56,28.19,9.21
2018-04-01 13:00:56,38.63,8.66
2018-04-01 14:00:56,16.97,8.38
2018-04-01 15:00:56,15.0,7.72
2018-04-01 16:00:56,15.05,7.97
2018-04-01 17:00:56,17.95,8.4
2018-04-01 18:00:56,15.12,8.74
2018-04-01 19:00:56,23.89,20.63
2018-04-01 20:00:56,134.36,18.12
2018-04-01 21:00:56,153.67,19.51
2018-04-01 22:00:56,75.6,15.21
2018-04-01 23:00:56,56.15,12.51
2018-04-02 00:00:56,63.72,9.44
2018-04-02 01:00:56,43.85,8.97
2018-04-02 02:00:56,34.81,9.14
2018-04-02 03:00:56,23.93,8.53
2018-04-02 04:00:56,19.93,8.56
2018-04-02 05:00:56,16.09,9.43
2018-04-02 06:00:56,21.04,9.89
2018-04-02 07:00:56,23.13,10.58
2018-04-02 08:00:56,30.7,13.59
2018-04-02 09:00:56,68.46,21.04
2018-04-02 10:00:56,92.38,26.4
2018-04-02 11:00:56,57.92,24.25
2018-04-02 12:00:56,53.63,17.15
2018-04-02 13:00:56,89.34,11.77
2018-04-02 14:00:56,52.17,9.6
2018-04-02 15:00:56,118.55,9.18
2018-04-02 16:00:56,34.75,8.75
2018-04-02 17:00:56,19.85,8.64
2018-04-02 18:00:56,11.54,10.62
2018-04-02 19:00:56,40.84,11.26
2018-04-02 20:00:56,31.67,10.23
2018-04-02 21:00:56,14.23,11.04
2018-04-02 22:00:56,27.26,10.84
2018-04-02 23:00:56,41.4,8.37
2018-04-03 00:00:56,7.01,7.94
2018-04-03 01:00:56,8.02,7.78
2018-04-03 02:00:56,8.97,7.82
2018-04-03 03:00:56,6.98,7.58
2018-04-03 04:00:56,6.0,7.44
