Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,158.21,7.01,55.68,59.2
2018-03-29 01:00:56,157.67,6.52,41.32,42.56
2018-03-29 02:00:56,130.34,6.1,27.59,27.84
2018-03-29 03:00:56,128.02,5.68,17.13,17.14
2018-03-29 04:00:56,112.79,5.15,29.24,29.57
2018-03-29 05:00:56,99.71,4.34,22.76,22.97
2018-03-29 06:00:56,97.46,4.84,17.15,17.55
2018-03-29 07:00:56,84.39,4.64,30.8,31.69
2018-03-29 08:00:56,92.1,4.6,33.91,38.78
2018-03-29 09:00:56,100.5,4.87,60.16,74.5
2018-03-29 10:00:56,93.57,4.35,21.69,22.98
2018-03-29 11:00:56,63.66,4.5,17.42,19.65
2018-03-29 12:00:56,45.66,4.4,18.98,21.88
2018-03-29 13:00:56,36.45,4.53,21.36,24.06
2018-03-29 14:00:56,44.87,5.01,17.91,21.28
2018-03-29 15:00:56,26.87,5.94,12.32,13.73
2018-03-29 16:00:56,23.35,6.45,12.02,13.47
2018-03-29 17:00:56,12.57,5.77,20.71,23.87
2018-03-29 18:00:56,12.84,5.37,27.25,31.08
2018-03-29 19:00:56,16.12,5.31,25.27,28.81
2018-03-29 20:00:56,30.17,4.66,29.25,34.43
2018-03-29 21:00:56,32.39,3.79,23.78,27.91
2018-03-29 22:00:56,24.25,3.93,21.31,24.45
2018-03-29 23:00:56,18.88,3.5,18.32,20.07
2018-03-30 00:00:56,20.08,3.5,14.59,15.1
2018-03-30 01:00:56,11.47,3.49,11.23,12.25
2018-03-30 02:00:56,10.29,3.39,8.38,8.54
2018-03-30 03:00:56,8.85,2.76,6.64,6.67
2018-03-30 04:00:56,7.8,2.83,4.76,4.76
2018-03-30 05:00:56,15.0,1.47,3.35,3.39
2018-03-30 06:00:56,11.9,1.18,5.6,5.62
2018-03-30 07:00:56,13.17,1.0,15.76,16.48
2018-03-30 08:00:56,8.69,1.03,35.64,40.24
2018-03-30 09:00:56,12.09,1.11,51.78,59.52
2018-03-30 10:00:56,20.8,1.44,41.76,45.21
2018-03-30 11:00:56,27.37,1.78,29.2,32.54
2018-03-30 12:00:56,31.12,2.44,24.51,26.52
2018-03-30 13:00:56,22.81,2.08,17.0,18.1
2018-03-30 14:00:56,22.66,1.49,18.92,21.27
2018-03-30 15:00:56,12.14,2.71,13.85,15.21
2018-03-30 16:00:56,14.65,3.09,24.26,30.06
2018-03-30 17:00:56,11.81,3.9,38.02,42.94
2018-03-30 18:00:56,7.58,3.33,29.12,32.14
2018-03-30 19:00:56,10.93,2.68,42.09,43.51
2018-03-30 20:00:56,23.87,2.07,41.63,44.81
2018-03-30 21:00:56,27.71,1.74,40.04,42.38
2018-03-30 22:00:56,51.45,1.79,47.24,53.33
2018-03-30 23:00:56,59.0,1.59,48.75,62.74
2018-03-31 00:00:56,53.14,1.6,40.81,55.83
2018-03-31 01:00:56,58.18,1.08,41.2,47.61
2018-03-31 02:00:56,69.21,1.2,23.88,26.43
2018-03-31 03:00:56,47.41,0.93,35.49,38.71
2018-03-31 04:00:56,40.27,1.36,35.16,35.35
2018-03-31 05:00:56,35.89,1.86,36.41,40.96
2018-03-31 06:00:56,39.5,2.18,27.96,28.56
2018-03-31 07:00:56,35.88,2.05,30.57,37.73
2018-03-31 08:00:56,44.6,2.23,46.37,75.26
2018-03-31 09:00:56,65.19,2.53,45.96,64.72
2018-03-31 10:00:56,61.61,4.13,30.25,38.41
2018-03-31 11:00:56,56.68,5.99,22.19,28.0
2018-03-31 12:00:56,50.73,5.31,20.9,28.21
2018-03-31 13:00:56,64.3,4.83,17.36,20.87
2018-03-31 14:00:56,61.39,5.08,22.86,26.62
2018-03-31 15:00:56,45.84,5.09,24.74,27.86
2018-03-31 16:00:56,60.34,3.61,20.57,25.63
2018-03-31 17:00:56,54.14,4.78,23.29,25.19
2018-03-31 18:00:56,50.67,6.38,38.63,44.64
2018-03-31 19:00:56,54.45,8.49,93.59,127.57
2018-03-31 20:00:56,200.97,9.33,67.98,85.6
2018-03-31 21:00:56,183.51,8.11,89.95,129.75
2018-03-31 22:00:56,187.7,5.79,99.57,212.84
2018-03-31 23:00:56,246.48,4.4,80.69,129.51
2018-04-01 00:00:56,243.5,4.31,72.24,117.19
2018-04-01 01:00:56,206.06,4.59,53.28,70.6
2018-04-01 02:00:56,138.6,5.06,49.98,91.95
2018-04-01 03:00:56,131.88,4.81,45.25,85.15
2018-04-01 04:00:56,102.59,4.82,39.77,104.3
2018-04-01 05:00:56,92.36,4.32,32.08,43.2
2018-04-01 06:00:56,83.67,4.47,29.84,49.08
2018-04-01 07:00:56,59.28,4.27,31.41,41.04
2018-04-01 08:00:56,64.28,4.56,39.66,51.19
2018-04-01 09:00:56,59.82,4.85,52.27,76.17
2018-04-01 10:00:56,83.33,7.45,39.18,57.91
2018-04-01 11:00:56,93.34,8.41,27.93,39.03
2018-04-01 12:00:56,64.05,9.21,30.72,40.02
2018-04-01 13:00:56,72.21,8.28,22.44,26.76
2018-04-01 14:00:56,64.89,7.94,21.38,24.39
2018-04-01 15:00:56,59.17,7.14,20.47,22.66
2018-04-01 16:00:56,58.6,7.98,29.2,33.3
2018-04-01 17:00:56,68.28,8.6,28.78,32.73
2018-04-01 18:00:56,65.41,8.11,21.04,23.81
2018-04-01 19:00:56,50.43,10.01,65.96,82.79
2018-04-01 20:00:56,93.88,18.99,86.93,117.64
2018-04-01 21:00:56,158.84,18.06,71.83,88.52
2018-04-01 22:00:56,155.4,14.65,51.25,59.45
2018-04-01 23:00:56,141.47,13.03,49.15,56.06
2018-04-02 00:00:56,117.72,12.88,64.94,74.75
2018-04-02 01:00:56,106.95,7.08,24.56,27.78
2018-04-02 02:00:56,80.43,5.64,16.23,16.63
2018-04-02 03:00:56,44.38,5.31,0.0,0.0
2018-04-02 04:00:56,24.15,4.76,11.45,12.41
2018-04-02 05:00:56,34.87,6.06,10.79,10.89
2018-04-02 06:00:56,19.57,5.72,11.62,11.73
2018-04-02 07:00:56,26.3,4.47,20.87,21.81
2018-04-02 08:00:56,33.6,6.85,75.93,121.0
2018-04-02 09:00:56,150.98,12.33,97.72,163.43
2018-04-02 10:00:56,218.44,14.22,80.62,110.04
2018-04-02 11:00:56,184.87,16.79,71.79,91.07
2018-04-02 12:00:56,168.95,15.24,58.79,72.44
2018-04-02 13:00:56,165.68,18.77,54.78,67.24
2018-04-02 14:00:56,197.49,10.15,27.59,30.78
2018-04-02 15:00:56,175.41,7.03,30.55,32.86
2018-04-02 16:00:56,116.66,6.92,23.63,26.38
2018-04-02 17:00:56,102.93,5.86,30.59,32.8
2018-04-02 18:00:56,71.22,4.73,27.34,29.96
2018-04-02 19:00:56,37.38,4.7,26.1,27.19
2018-04-02 20:00:56,32.46,3.56,30.96,33.31
2018-04-02 21:00:56,43.68,3.31,29.55,31.04
2018-04-02 22:00:56,31.21,3.31,37.13,40.59
2018-04-02 23:00:56,23.85,2.27,42.33,45.56
2018-04-03 00:00:56,16.27,2.37,41.61,43.92
2018-04-03 01:00:56,25.13,4.68,18.91,18.96
2018-04-03 02:00:56,22.95,5.01,10.18,10.22
2018-04-03 03:00:56,16.81,5.09,10.35,10.48
2018-04-03 04:00:56,9.35,4.35,28.3,28.65
2018-04-03 05:00:56,16.82,4.31,10.52,11.15
2018-04-03 06:00:56,10.5,4.58,23.64,24.23
2018-04-03 07:00:56,30.65,4.58,35.77,37.1
2018-04-03 08:00:56,32.82,4.86,25.98,30.36
2018-04-03 09:00:56,41.42,4.63,52.38,64.54
2018-04-03 10:00:56,39.89,5.39,42.76,50.46
2018-04-03 11:00:56,55.72,7.6,28.11,32.83
2018-04-03 12:00:56,55.36,8.71,28.11,32.09
2018-04-03 13:00:56,33.61,7.57,16.49,18.09
2018-04-03 14:00:56,33.72,7.34,15.47,17.2
2018-04-03 15:00:56,28.51,6.05,11.48,12.61
2018-04-03 16:00:56,25.15,4.82,10.06,11.02
2018-04-03 17:00:56,31.66,5.15,11.44,11.99
2018-04-03 18:00:56,37.4,5.05,17.41,19.34
2018-04-03 19:00:56,42.01,5.51,48.78,57.64
2018-04-03 20:00:56,48.06,8.49,91.01,110.65
2018-04-03 21:00:56,116.08,6.85,45.66,49.93
2018-04-03 22:00:56,117.79,5.63,32.23,35.29
2018-04-03 23:00:56,77.53,5.32,55.11,63.74
2018-04-04 00:00:56,95.01,4.9,56.87,66.95
2018-04-04 01:00:56,87.55,3.39,41.12,44.23
2018-04-04 02:00:56,67.35,2.57,33.86,46.68
2018-04-04 03:00:56,63.44,2.77,48.39,57.65
2018-04-04 04:00:56,50.88,2.69,39.53,44.18
2018-04-04 05:00:56,56.42,3.02,29.06,35.15
2018-04-04 06:00:56,44.31,2.4,31.2,37.15
2018-04-04 07:00:56,53.36,2.39,34.4,56.76
2018-04-04 08:00:56,54.9,2.02,55.8,99.12
2018-04-04 09:00:56,87.27,5.64,51.35,76.22
2018-04-04 10:00:56,76.09,6.99,25.19,31.09
2018-04-04 11:00:56,70.79,6.14,20.34,23.81
2018-04-04 12:00:56,55.33,4.16,18.26,22.11
2018-04-04 13:00:56,65.25,4.19,28.09,39.25
2018-04-04 14:00:56,80.05,3.86,19.51,21.65
2018-04-04 15:00:56,72.05,4.23,16.41,17.93
2018-04-04 16:00:56,61.09,4.75,19.4,22.42
2018-04-04 17:00:56,32.88,4.58,17.73,19.55
2018-04-04 18:00:56,33.78,5.16,14.24,15.83
2018-04-04 19:00:56,39.88,17.05,74.96,93.81
2018-04-04 20:00:56,90.68,17.53,117.31,173.88
2018-04-04 21:00:56,205.77,14.75,53.51,61.22
2018-04-04 22:00:56,160.63,11.04,83.19,106.26
2018-04-04 23:00:56,153.54,6.36,75.62,95.09
