Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,55.05,17.81,30.22,36.58
2022-03-23 17:00:56,37.15,18.65,33.59,40.6
2022-03-23 18:00:56,32.9,20.26,36.87,43.97
2022-03-23 19:00:56,28.26,18.17,34.02,41.64
2022-03-23 20:00:56,35.5,17.21,44.95,53.0
2022-03-23 21:00:56,41.15,17.67,26.2,31.56
2022-03-23 22:00:56,34.35,16.72,34.18,39.34
2022-03-23 23:00:56,28.21,16.57,30.84,35.51
2022-03-24 00:00:56,20.74,16.56,26.18,30.36
2022-03-24 01:00:56,28.95,17.69,28.38,32.01
2022-03-24 02:00:56,29.16,16.82,22.96,26.42
2022-03-24 03:00:56,21.82,16.54,18.29,22.02
2022-03-24 04:00:56,23.72,16.66,18.13,22.05
2022-03-24 05:00:56,22.64,16.61,16.41,20.22
2022-03-24 06:00:56,22.49,16.07,19.63,23.62
2022-03-24 07:00:56,22.08,15.75,24.55,28.36
2022-03-24 08:00:56,28.36,16.82,31.4,36.29
2022-03-24 09:00:56,31.72,20.75,37.38,46.2
2022-03-24 10:00:56,46.05,20.82,25.52,31.35
2022-03-24 11:00:56,49.06,19.13,27.82,34.2
2022-03-24 12:00:56,34.24,19.47,29.51,36.42
2022-03-24 13:00:56,0.0,0.0,0.0,0.0
