Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,91.49166666666666,4.55,50.45333333333333,65.53833333333333,70.53,1592.4066666666668,46.96666666666667
2018-03-29 01:00:56,94.90166666666666,6.492,42.805,50.348333333333336,61.83,1573.7,41.696666666666665
2018-03-29 02:00:56,92.21333333333334,5.514,39.803333333333335,44.370000000000005,51.71,1404.85,40.04
2018-03-29 03:00:56,84.69666666666667,4.738,23.615000000000002,26.33666666666667,44.19,1065.1533333333334,49.370000000000005
2018-03-29 04:00:56,73.08,3.5879999999999996,7.8533333333333335,9.518333333333333,38.69,669.03,61.373333333333335
2018-03-29 05:00:56,57.498333333333335,3.186,8.293333333333333,9.883333333333335,32.12,610.83,59.84
2018-03-29 06:00:56,45.708333333333336,3.3240000000000003,17.419999999999998,19.743333333333336,26.3,713.7633333333333,49.09666666666667
2018-03-29 07:00:56,39.71,3.922,28.444999999999997,33.58166666666666,25.28,766.27,43.80666666666667
2018-03-29 08:00:56,40.06166666666667,4.452,40.824999999999996,52.931666666666665,26.59,782.1966666666667,40.303333333333335
2018-03-29 09:00:56,40.855000000000004,5.132,44.93333333333334,60.568333333333335,29.11,761.9499999999999,45.843333333333334
2018-03-29 10:00:56,43.925000000000004,6.892,35.20166666666667,46.791666666666664,33.59,698.15,51.79333333333334
2018-03-29 11:00:56,49.223333333333336,7.22,33.48166666666667,45.65,35.99,693.5366666666666,59.446666666666665
2018-03-29 12:00:56,51.87833333333333,6.303999999999999,30.89666666666667,43.08166666666666,35.77,726.1333333333333,59.07666666666667
2018-03-29 13:00:56,51.943333333333335,5.532,25.731666666666666,35.015,36.5,640.7966666666667,62.72666666666667
2018-03-29 14:00:56,46.776666666666664,5.94,22.610000000000003,31.626666666666665,36.08,609.3633333333333,62.42333333333333
2018-03-29 15:00:56,40.001666666666665,6.462,18.355,25.475,32.07,519.3299999999999,61.18000000000001
2018-03-29 16:00:56,36.14833333333333,5.335999999999999,20.348333333333333,27.553333333333335,30.08,566.1933333333333,60.95
2018-03-29 17:00:56,35.40333333333333,4.696000000000001,24.19333333333333,33.565000000000005,27.08,550.8733333333333,58.52333333333333
2018-03-29 18:00:56,36.644999999999996,5.028,30.82,40.415,22.4,628.37,48.413333333333334
2018-03-29 19:00:56,37.30166666666667,5.417999999999999,42.800000000000004,55.055,19.16,775.8333333333334,34.85333333333333
2018-03-29 20:00:56,39.336666666666666,6.008,41.585,51.46,21.42,805.7933333333334,32.983333333333334
2018-03-29 21:00:56,36.321666666666665,5.609999999999999,31.175,39.068333333333335,22.97,827.6133333333333,41.13333333333333
2018-03-29 22:00:56,30.961666666666666,4.848,28.06833333333333,34.025,23.69,759.1933333333334,37.906666666666666
2018-03-29 23:00:56,27.536666666666665,4.268,21.419999999999998,25.560000000000002,21.9,739.8366666666667,42.04333333333334
2018-03-30 00:00:56,22.595,3.458,21.326666666666664,26.171666666666663,17.37,794.41,39.513333333333335
2018-03-30 01:00:56,20.201666666666664,3.112,18.715,21.37833333333333,16.65,719.6633333333334,38.70666666666667
2018-03-30 02:00:56,20.075,2.844,12.211666666666668,14.15,20.95,758.4966666666667,38.48
2018-03-30 03:00:56,17.061666666666667,2.528,8.026666666666667,9.621666666666666,20.8,631.1766666666666,45.89333333333333
2018-03-30 04:00:56,13.193333333333332,2.526,5.651666666666666,6.971666666666667,15.4,610.19,47.76
