Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,119.26,10.63,1857.15,63.71,67.31,32.81
2018-03-29 01:00:56,100.16,9.37,2170.03,57.82,59.47,28.43
2018-03-29 02:00:56,92.73,6.05,1798.35,38.87,39.42,45.09
2018-03-29 03:00:56,84.17,4.26,1492.47,26.72,26.73,46.72
2018-03-29 04:00:56,77.36,3.19,1171.57,0.0,0.0,61.12
2018-03-29 05:00:56,70.62,3.08,1076.97,0.0,0.0,61.56
2018-03-29 06:00:56,63.83,3.0,1053.94,0.0,0.0,60.45
2018-03-29 07:00:56,61.34,5.92,1317.8,36.98,37.86,47.31
2018-03-29 08:00:56,68.75,8.3,1089.91,65.25,73.29,32.55
2018-03-29 09:00:56,72.61,11.82,1060.94,52.47,60.33,43.31
2018-03-29 10:00:56,74.08,14.71,1123.96,54.77,68.7,43.95
2018-03-29 11:00:56,73.25,9.88,1067.85,34.78,42.36,60.32
2018-03-29 12:00:56,72.15,6.95,1179.54,30.67,37.47,65.54
2018-03-29 13:00:56,71.42,5.8,1110.39,29.1,34.65,68.24
2018-03-29 14:00:56,66.14,7.05,1047.5,31.25,38.48,67.45
2018-03-29 15:00:56,60.85,5.19,930.89,18.76,23.55,67.18
2018-03-29 16:00:56,55.6,4.56,999.51,17.89,22.37,64.79
2018-03-29 17:00:56,56.06,3.3,904.01,16.19,19.59,66.18
2018-03-29 18:00:56,53.43,8.09,1082.13,45.96,53.59,43.27
2018-03-29 19:00:56,49.74,10.85,1251.06,60.03,70.4,29.67
2018-03-29 20:00:56,54.67,12.08,1275.23,61.13,67.09,27.51
2018-03-29 21:00:56,55.31,11.78,1408.89,46.69,50.41,35.68
2018-03-29 22:00:56,50.66,7.83,1295.47,34.21,36.09,43.1
2018-03-29 23:00:56,43.32,6.18,1268.75,29.08,31.05,43.74
2018-03-30 00:00:56,36.51,5.53,1436.98,0.0,0.0,44.44
2018-03-30 01:00:56,36.4,3.35,1159.89,19.68,20.01,46.35
2018-03-30 02:00:56,34.42,2.57,1298.52,0.0,0.0,40.54
2018-03-30 03:00:56,28.72,2.12,1030.45,0.0,0.0,55.8
2018-03-30 04:00:56,22.53,2.24,1020.83,0.0,0.0,51.54
2018-03-30 05:00:56,17.54,1.65,978.26,0.0,0.0,54.16
2018-03-30 06:00:56,11.9,1.45,954.33,0.0,0.0,50.18
2018-03-30 07:00:56,10.82,3.41,956.88,20.5,22.76,31.91
2018-03-30 08:00:56,15.66,11.51,1314.49,67.1,90.33,9.94
2018-03-30 09:00:56,21.73,13.54,1415.86,80.2,118.61,3.72
2018-03-30 10:00:56,24.97,16.51,1338.4,70.12,94.31,11.01
2018-03-30 11:00:56,27.97,15.15,1488.4,70.62,96.42,12.1
2018-03-30 12:00:56,31.19,12.06,1556.03,73.3,102.05,13.25
2018-03-30 13:00:56,30.07,9.45,1345.38,36.89,46.27,29.69
2018-03-30 14:00:56,25.59,10.76,1570.28,59.68,81.21,17.6
2018-03-30 15:00:56,24.93,7.39,1231.8,41.02,51.81,32.36
2018-03-30 16:00:56,23.85,4.83,1074.71,26.38,33.43,37.89
2018-03-30 17:00:56,24.15,5.32,1089.97,31.95,39.34,36.49
2018-03-30 18:00:56,29.21,10.12,1242.98,47.71,58.89,30.72
2018-03-30 19:00:56,36.73,11.5,1298.67,48.95,58.15,36.94
2018-03-30 20:00:56,40.17,14.38,1429.21,58.97,69.95,29.24
2018-03-30 21:00:56,40.5,15.41,1553.07,68.87,78.98,13.93
2018-03-30 22:00:56,41.63,11.04,1277.86,42.79,50.83,25.88
2018-03-30 23:00:56,38.05,14.1,1884.01,64.23,78.8,3.68
2018-03-31 00:00:56,40.12,8.37,1802.07,47.06,54.56,8.99
2018-03-31 01:00:56,41.93,7.92,1614.53,43.22,50.24,19.67
2018-03-31 02:00:56,40.17,4.34,1173.03,0.0,0.0,57.57
2018-03-31 03:00:56,31.75,2.62,980.86,0.0,0.0,66.8
2018-03-31 04:00:56,24.56,3.09,925.24,0.0,0.0,70.6
2018-03-31 05:00:56,20.65,3.19,852.58,0.0,0.0,69.48
2018-03-31 06:00:56,19.26,2.62,814.64,0.0,0.0,76.63
2018-03-31 07:00:56,19.25,4.97,840.26,24.92,25.05,61.0
2018-03-31 08:00:56,23.81,11.45,1091.54,40.97,44.67,50.61
2018-03-31 09:00:56,27.05,16.54,1053.81,52.97,64.91,41.79
2018-03-31 10:00:56,28.59,13.12,911.57,37.34,48.02,56.82
2018-03-31 11:00:56,29.71,8.49,935.87,24.49,31.77,66.66
2018-03-31 12:00:56,28.48,7.13,910.18,21.86,27.87,70.41
2018-03-31 13:00:56,27.41,5.74,895.42,18.29,23.62,71.25
2018-03-31 14:00:56,26.2,4.75,921.57,19.63,26.17,70.79
2018-03-31 15:00:56,22.94,4.84,882.22,17.43,21.7,72.39
2018-03-31 16:00:56,20.82,3.96,862.7,18.51,22.41,70.37
2018-03-31 17:00:56,20.21,4.61,823.4,17.53,20.88,73.1
2018-03-31 18:00:56,20.52,5.96,891.65,27.45,32.59,66.84
2018-03-31 19:00:56,26.39,14.84,1325.15,70.78,81.04,32.76
2018-03-31 20:00:56,48.5,10.93,1903.99,82.04,108.08,1.17
2018-03-31 21:00:56,70.08,7.45,1334.07,54.82,65.01,10.9
2018-03-31 22:00:56,66.27,6.29,1315.18,40.08,44.07,15.85
2018-03-31 23:00:56,58.08,7.22,1434.59,40.15,46.11,10.13
2018-04-01 00:00:56,52.81,3.39,1278.77,26.22,29.23,14.41
2018-04-01 01:00:56,44.65,3.34,888.81,18.57,19.68,24.53
2018-04-01 02:00:56,36.82,2.66,872.46,12.78,12.82,31.35
2018-04-01 03:00:56,29.29,1.89,996.88,0.0,0.0,27.54
2018-04-01 04:00:56,22.78,1.64,569.88,0.0,0.0,33.04
2018-04-01 05:00:56,17.19,2.27,524.77,0.0,0.0,34.23
2018-04-01 06:00:56,11.67,1.56,438.02,0.0,0.0,36.45
2018-04-01 07:00:56,7.73,3.42,454.43,0.0,0.0,38.98
2018-04-01 08:00:56,7.44,8.99,522.29,16.85,21.83,37.5
2018-04-01 09:00:56,8.73,17.97,809.1,32.52,43.88,28.93
2018-04-01 10:00:56,11.68,10.31,728.64,25.33,33.81,36.77
2018-04-01 11:00:56,15.73,6.85,618.61,16.24,21.54,44.49
2018-04-01 12:00:56,16.8,5.46,594.78,15.57,20.17,54.18
2018-04-01 13:00:56,18.41,3.51,611.8,12.1,14.81,60.12
2018-04-01 14:00:56,18.47,3.21,704.43,17.86,21.55,61.73
2018-04-01 15:00:56,19.51,2.74,647.67,16.96,20.44,64.4
2018-04-01 16:00:56,18.05,3.66,717.09,28.44,34.88,56.81
2018-04-01 17:00:56,19.15,8.22,1013.84,62.37,77.46,35.19
2018-04-01 18:00:56,22.2,31.82,1039.85,77.21,93.92,25.73
2018-04-01 19:00:56,43.51,11.9,1675.58,93.68,136.52,5.46
2018-04-01 20:00:56,72.21,6.99,977.82,45.49,50.42,30.03
2018-04-01 21:00:56,69.28,4.9,804.64,28.83,30.37,40.11
2018-04-01 22:00:56,56.69,3.84,947.28,25.29,26.26,39.66
2018-04-01 23:00:56,44.35,3.49,723.22,21.91,22.15,39.24
2018-04-02 00:00:56,34.11,2.47,665.66,0.0,0.0,44.71
2018-04-02 01:00:56,26.16,3.13,566.04,0.0,0.0,50.2
2018-04-02 02:00:56,16.98,2.95,544.14,0.0,0.0,56.79
2018-04-02 03:00:56,11.76,2.72,453.78,0.0,0.0,62.01
2018-04-02 04:00:56,9.13,3.63,447.66,0.0,0.0,62.19
2018-04-02 05:00:56,8.56,3.95,407.16,0.0,0.0,64.51
2018-04-02 06:00:56,7.73,3.95,391.15,0.0,0.0,67.19
2018-04-02 07:00:56,8.75,3.46,393.12,0.0,0.0,67.64
2018-04-02 08:00:56,10.95,3.89,453.65,32.01,36.31,52.06
2018-04-02 09:00:56,18.8,4.03,479.62,31.19,37.29,57.64
2018-04-02 10:00:56,27.03,5.55,571.87,32.03,40.49,54.09
2018-04-02 11:00:56,31.25,7.58,696.75,51.38,67.62,42.92
2018-04-02 12:00:56,33.16,6.41,571.23,35.98,45.37,54.5
2018-04-02 13:00:56,33.26,5.51,623.05,26.18,32.18,68.12
