Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,65.05,26.55,329.55,55.32,69.53
2022-03-23 17:00:56,66.19,26.19,303.57,61.72,81.56
2022-03-23 18:00:56,62.34,22.64,401.54,73.39,105.47
2022-03-23 19:00:56,54.74,20.51,492.95,57.86,79.19
2022-03-23 20:00:56,48.75,22.28,598.98,63.84,98.21
2022-03-23 21:00:56,48.19,23.53,839.09,75.74,106.48
2022-03-23 22:00:56,48.37,25.34,598.12,66.17,97.35
2022-03-23 23:00:56,42.97,24.13,563.46,41.22,47.84
2022-03-24 00:00:56,39.09,21.05,686.09,48.77,53.27
2022-03-24 01:00:56,0.0,18.7,618.3,38.0,40.5
2022-03-24 02:00:56,38.59,16.68,520.76,41.98,43.34
2022-03-24 03:00:56,35.9,16.81,406.44,21.92,23.02
2022-03-24 04:00:56,29.11,13.14,295.3,19.37,19.78
2022-03-24 05:00:56,24.66,9.63,323.64,16.6,17.1
2022-03-24 06:00:56,23.01,7.55,363.45,22.93,24.6
2022-03-24 07:00:56,20.93,7.07,349.52,33.23,38.28
2022-03-24 08:00:56,22.08,8.06,596.65,85.78,175.58
2022-03-24 09:00:56,26.14,11.12,650.56,93.57,182.17
2022-03-24 10:00:56,28.87,13.43,661.5,88.43,144.18
2022-03-24 11:00:56,34.52,15.96,492.73,73.4,100.2
2022-03-24 12:00:56,42.65,18.98,419.01,68.16,89.99
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
