Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,21.81,2.15,419.44,36.57,41.49
2022-03-23 17:00:56,30.17,2.61,470.23,42.06,46.93
2022-03-23 18:00:56,31.08,2.98,526.01,51.9,58.38
2022-03-23 19:00:56,35.85,4.47,751.62,62.06,74.24
2022-03-23 20:00:56,40.96,3.26,616.59,56.08,63.43
2022-03-23 21:00:56,37.89,2.19,521.62,42.19,44.84
2022-03-23 22:00:56,28.18,1.92,577.32,31.15,32.63
2022-03-23 23:00:56,31.0,2.69,716.46,41.54,44.17
2022-03-24 00:00:56,28.97,2.44,855.95,39.83,41.15
2022-03-24 01:00:56,34.47,2.26,877.4,35.41,37.45
2022-03-24 02:00:56,31.79,2.02,741.38,29.54,30.04
2022-03-24 03:00:56,27.56,1.84,668.13,21.56,21.95
2022-03-24 04:00:56,18.68,1.54,461.75,13.19,13.46
2022-03-24 05:00:56,12.16,1.57,488.68,15.46,15.78
2022-03-24 06:00:56,14.3,1.73,542.73,20.31,20.7
2022-03-24 07:00:56,16.2,1.74,565.38,32.4,33.55
2022-03-24 08:00:56,18.62,2.14,521.74,44.74,48.41
2022-03-24 09:00:56,24.87,3.79,1087.99,84.88,123.33
2022-03-24 10:00:56,35.27,4.41,888.03,85.44,122.32
2022-03-24 11:00:56,37.61,5.55,750.83,58.28,76.66
2022-03-24 12:00:56,34.16,5.7,585.1,31.61,38.38
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
