Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,30.27,7.61,0.0,0.0
2022-03-23 17:00:56,33.79,7.29,0.0,0.0
2022-03-23 18:00:56,38.16,7.1,0.0,0.0
2022-03-23 19:00:56,41.09,7.33,0.0,0.0
2022-03-23 20:00:56,46.71,7.32,0.0,0.0
2022-03-23 21:00:56,48.54,7.05,0.0,0.0
2022-03-23 22:00:56,40.85,6.69,0.0,0.0
2022-03-23 23:00:56,33.0,6.42,0.0,0.0
2022-03-24 00:00:56,29.99,6.57,0.0,0.0
2022-03-24 01:00:56,29.44,6.74,0.0,0.0
2022-03-24 02:00:56,29.47,6.73,0.0,0.0
2022-03-24 03:00:56,28.74,6.45,0.0,0.0
2022-03-24 04:00:56,25.25,6.27,0.0,0.0
2022-03-24 05:00:56,18.87,6.38,0.0,0.0
2022-03-24 06:00:56,14.12,6.42,0.0,0.0
2022-03-24 07:00:56,13.63,6.58,0.0,0.0
2022-03-24 08:00:56,17.57,7.15,0.0,0.0
2022-03-24 09:00:56,27.59,8.8,0.0,0.0
2022-03-24 10:00:56,41.42,9.69,0.0,0.0
2022-03-24 11:00:56,50.64,8.74,0.0,0.0
2022-03-24 12:00:56,48.34,8.63,0.0,0.0
2022-03-24 13:00:56,0.0,0.0,0.0,0.0
