Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,15.99,8.09,49.86,51.61,86.99
2022-03-23 17:00:56,15.47,8.04,55.97,57.62,85.73
2022-03-23 18:00:56,12.98,8.25,60.33,61.94,85.08
2022-03-23 19:00:56,10.89,7.88,67.66,69.28,79.81
2022-03-23 20:00:56,9.34,8.37,58.64,60.31,80.03
2022-03-23 21:00:56,8.14,8.59,57.26,58.94,81.18
2022-03-23 22:00:56,7.19,8.69,59.58,61.32,80.22
2022-03-23 23:00:56,7.21,8.62,57.02,58.75,77.82
2022-03-24 00:00:56,7.29,8.63,54.08,55.78,80.23
2022-03-24 01:00:56,7.57,8.23,51.55,53.2,81.76
2022-03-24 02:00:56,5.94,8.24,47.59,49.28,81.16
2022-03-24 03:00:56,4.88,9.02,65.3,67.02,78.22
2022-03-24 04:00:56,5.42,8.51,54.48,56.16,59.89
2022-03-24 05:00:56,5.34,8.23,48.25,49.88,47.03
2022-03-24 06:00:56,4.22,8.03,54.27,56.12,34.74
2022-03-24 07:00:56,2.68,8.39,56.82,58.89,43.19
2022-03-24 08:00:56,3.37,8.43,42.7,45.03,59.19
2022-03-24 09:00:56,4.84,8.64,48.55,50.59,76.17
2022-03-24 10:00:56,4.3,0.0,50.73,52.58,84.71
2022-03-24 11:00:56,5.87,0.0,43.28,45.11,85.12
2022-03-24 12:00:56,6.82,8.21,36.95,38.5,87.83
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
