Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,43.33,10.32,17.755000000000003,642.91,9.44,15.54,30.99
2022-03-23 17:00:56,53.17,8.17,17.035,652.09,11.67,18.245,29.45
2022-03-23 18:00:56,24.375,6.145,17.215,684.815,11.71,18.265,28.78
2022-03-23 19:00:56,43.955,7.325,16.85,745.345,17.145,24.825,28.2
2022-03-23 20:00:56,28.225,8.950000000000001,23.555,921.15,21.24,31.835,20.67
2022-03-23 21:00:56,48.11,7.67,25.655,890.73,22.7,32.005,22.52
2022-03-23 22:00:56,47.93,14.155000000000001,23.34,946.46,24.51,35.07,21.95
2022-03-23 23:00:56,49.735,15.069999999999999,22.395,881.68,21.295,29.42,24.61
2022-03-24 00:00:56,43.305,11.025,24.235,887.78,18.46,25.325,14.46
2022-03-24 01:00:56,45.394999999999996,10.645,23.97,893.3050000000001,16.43,22.705,8.61
2022-03-24 02:00:56,44.29,11.765,26.88,967.365,15.25,20.89,9.25
2022-03-24 03:00:56,42.910000000000004,21.375,21.369999999999997,730.87,8.015,12.155,11.7
2022-03-24 04:00:56,29.955000000000002,16.87,17.465,722.495,9.74,14.055,13.29
2022-03-24 05:00:56,35.065,15.36,16.07,665.54,7.335,11.325,15.73
2022-03-24 06:00:56,30.09,18.075,16.43,705.255,7.43,11.585,13.46
2022-03-24 07:00:56,30.405,13.84,18.955,750.49,9.47,13.81,15.11
2022-03-24 08:00:56,30.405,15.3,17.315,751.885,13.805,20.43,18.21
2022-03-24 09:00:56,24.799999999999997,22.09,22.134999999999998,776.95,16.655,25.665,20.77
2022-03-24 10:00:56,20.295,24.425,19.085,718.22,14.595,22.495,26.18
2022-03-24 11:00:56,27.314999999999998,35.65,18.365,728.855,15.555,25.9,29.59
2022-03-24 12:00:56,37.055,32.644999999999996,16.47,633.52,8.76,15.605,29.73
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
