Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,34.92,13.49,26.05,451.7,18.88,31.08
2022-03-23 17:00:56,53.96,11.24,24.76,450.96,23.34,36.49
2022-03-23 18:00:56,0.0,8.61,23.5,469.93,23.42,36.53
2022-03-23 19:00:56,48.84,11.4,22.4,552.01,34.29,49.65
2022-03-23 20:00:56,0.0,15.63,32.33,735.73,42.48,63.67
2022-03-23 21:00:56,35.22,13.75,36.0,745.4,45.4,64.01
2022-03-23 22:00:56,47.85,27.17,31.7,819.63,49.02,70.14
2022-03-23 23:00:56,46.35,29.08,32.66,790.05,42.59,58.84
2022-03-24 00:00:56,38.11,20.48,31.0,668.86,36.92,50.65
2022-03-24 01:00:56,30.82,20.12,28.87,651.65,32.86,45.41
2022-03-24 02:00:56,31.26,18.76,30.29,636.98,30.5,41.78
2022-03-24 03:00:56,31.44,18.64,26.47,452.27,16.03,24.31
2022-03-24 04:00:56,26.21,16.01,22.88,517.15,19.48,28.11
2022-03-24 05:00:56,36.26,12.04,21.43,419.64,14.67,22.65
2022-03-24 06:00:56,29.24,9.11,20.45,425.83,14.86,23.17
2022-03-24 07:00:56,23.48,8.04,23.89,468.62,18.94,27.62
2022-03-24 08:00:56,20.18,14.22,23.57,568.68,27.61,40.86
2022-03-24 09:00:56,17.56,17.96,34.86,646.47,33.31,51.33
2022-03-24 10:00:56,0.0,16.39,28.77,574.34,29.19,44.99
2022-03-24 11:00:56,20.58,21.93,27.61,592.53,31.11,51.8
2022-03-24 12:00:56,24.94,20.78,23.99,414.77,17.52,31.21
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
