Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,103.77,0.0,0.0,0.0,7.17,9.53,94.61
2018-03-29 01:00:56,93.54,0.0,0.0,0.0,0.0,0.0,87.12
2018-03-29 02:00:56,79.37,0.0,0.0,0.0,0.0,0.0,71.53
2018-03-29 03:00:56,78.41,0.0,0.0,0.0,0.0,0.0,57.25
2018-03-29 04:00:56,70.28,0.0,0.0,0.0,0.0,0.0,53.54
2018-03-29 05:00:56,58.4,0.0,0.0,0.0,0.0,0.0,63.6
2018-03-29 06:00:56,51.39,0.0,0.0,0.0,0.0,0.0,63.59
2018-03-29 07:00:56,41.49,0.0,0.0,0.0,0.0,0.0,67.68
2018-03-29 08:00:56,34.85,0.0,0.0,0.0,0.0,0.0,65.23
2018-03-29 09:00:56,31.47,0.0,0.0,0.0,30.42,35.42,49.87
2018-03-29 10:00:56,34.02,0.0,0.0,0.0,33.54,38.59,44.79
2018-03-29 11:00:56,28.33,0.0,0.0,0.0,0.0,0.0,76.82
2018-03-29 12:00:56,24.93,0.0,0.0,0.0,6.45,0.0,84.57
2018-03-29 13:00:56,32.86,0.0,0.0,0.0,2.98,0.0,94.96
2018-03-29 14:00:56,53.62,0.0,0.0,0.0,3.65,4.6,104.49
2018-03-29 15:00:56,72.29,0.0,0.0,0.0,4.08,4.34,104.67
2018-03-29 16:00:56,72.71,0.0,0.0,0.0,6.73,9.47,109.42
2018-03-29 17:00:56,57.05,0.0,0.0,0.0,9.99,12.61,103.13
2018-03-29 18:00:56,38.48,0.0,0.0,0.0,9.43,11.77,104.4
2018-03-29 19:00:56,28.84,0.0,0.0,0.0,7.14,7.87,102.75
2018-03-29 20:00:56,22.1,0.0,0.0,0.0,0.0,0.0,86.65
2018-03-29 21:00:56,23.2,0.0,0.0,0.0,0.0,0.0,71.15
2018-03-29 22:00:56,25.67,0.0,0.0,0.0,0.0,0.0,76.18
2018-03-29 23:00:56,28.51,0.0,0.0,0.0,0.0,0.0,89.7
2018-03-30 00:00:56,20.38,0.0,0.0,0.0,0.0,0.0,90.19
2018-03-30 01:00:56,14.81,0.0,0.0,0.0,7.29,8.25,82.23
2018-03-30 02:00:56,11.38,0.0,0.0,0.0,6.61,7.44,76.8
2018-03-30 03:00:56,8.71,0.0,0.0,0.0,4.45,5.18,69.18
2018-03-30 04:00:56,9.56,0.0,0.0,0.0,4.3,4.92,58.95
2018-03-30 05:00:56,15.35,0.0,0.0,0.0,4.2,4.8,71.16
2018-03-30 06:00:56,10.96,0.0,0.0,0.0,5.94,6.81,73.47
2018-03-30 07:00:56,7.67,0.0,0.0,0.0,8.99,10.62,76.46
2018-03-30 08:00:56,5.66,0.0,0.0,0.0,10.23,11.55,75.89
2018-03-30 09:00:56,5.91,0.0,0.0,0.0,14.5,17.24,72.54
2018-03-30 10:00:56,7.59,0.0,0.0,0.0,17.49,20.84,70.34
2018-03-30 11:00:56,5.94,0.0,0.0,0.0,11.32,14.22,74.11
2018-03-30 12:00:56,4.71,0.0,0.0,0.0,10.0,12.22,77.17
2018-03-30 13:00:56,3.95,0.0,0.0,0.0,11.27,13.84,80.79
2018-03-30 14:00:56,4.95,0.0,0.0,0.0,12.49,15.79,80.48
2018-03-30 15:00:56,4.82,0.0,0.0,0.0,16.65,19.8,77.64
2018-03-30 16:00:56,9.68,0.0,0.0,0.0,21.22,26.54,73.13
2018-03-30 17:00:56,16.11,0.0,0.0,0.0,15.42,17.89,74.31
2018-03-30 18:00:56,16.85,0.0,0.0,0.0,12.66,14.81,77.34
2018-03-30 19:00:56,17.21,0.0,0.0,0.0,21.58,27.7,68.73
2018-03-30 20:00:56,19.51,0.0,0.0,0.0,25.83,30.08,57.7
2018-03-30 21:00:56,19.28,0.0,0.0,0.0,26.57,29.56,59.85
2018-03-30 22:00:56,26.17,0.0,0.0,0.0,29.7,37.09,45.46
2018-03-30 23:00:56,23.63,0.0,0.0,0.0,36.25,45.99,19.95
2018-03-31 00:00:56,31.4,0.0,0.0,0.0,41.75,50.03,10.25
2018-03-31 01:00:56,30.46,0.0,0.0,0.0,38.51,47.09,8.17
2018-03-31 02:00:56,30.59,0.0,0.0,0.0,28.24,30.67,9.92
2018-03-31 03:00:56,25.03,0.0,0.0,0.0,37.27,41.16,4.37
2018-03-31 04:00:56,23.57,0.0,0.0,0.0,34.13,38.04,4.79
2018-03-31 05:00:56,24.58,0.0,0.0,0.0,26.99,29.18,6.91
2018-03-31 06:00:56,27.11,0.0,0.0,0.0,23.24,25.45,8.18
2018-03-31 07:00:56,24.64,0.0,0.0,0.0,23.91,30.07,2.82
2018-03-31 08:00:56,20.56,0.0,0.0,0.0,18.49,37.47,6.63
