Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-10-10 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10 14:00:56,0.0,0.0,0.0,144.22,11.02,18.99
2018-10-10 15:00:56,0.0,0.0,0.0,0.0,23.93,25.3
2018-10-10 16:00:56,0.0,0.0,2.57,230.04,0.0,0.0
2018-10-10 17:00:56,0.0,0.0,0.47,279.59,23.6,28.48
2018-10-10 18:00:56,0.0,0.0,0.37,177.98,17.82,34.06
2018-10-10 19:00:56,0.0,0.0,1.21,607.31,33.31,58.15
2018-10-10 20:00:56,0.0,0.0,1.29,766.36,34.93,69.55
2018-10-10 21:00:56,0.0,0.0,1.77,660.34,42.71,94.6
2018-10-10 22:00:56,0.0,0.0,1.85,897.72,44.48,117.35
2018-10-10 23:00:56,0.0,0.0,1.91,964.85,35.99,94.93
2018-10-11 00:00:56,0.0,0.0,1.67,931.52,38.91,53.71
2018-10-11 01:00:56,0.0,0.0,1.4,755.36,33.35,43.25
2018-10-11 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0
