Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,11.89,0.0,2.93,806.38,0.89,1.52,109.22
2018-03-29 01:00:56,11.27,0.0,2.86,809.14,2.42,2.26,110.16
2018-03-29 02:00:56,13.57,0.0,2.46,803.85,3.23,2.64,109.87
2018-03-29 03:00:56,12.91,0.0,2.62,776.2,0.0,0.0,110.05
2018-03-29 04:00:56,10.67,0.0,3.12,765.26,0.0,0.0,111.81
2018-03-29 05:00:56,9.56,0.0,2.39,756.9,0.0,0.0,114.08
2018-03-29 06:00:56,7.87,0.0,2.52,767.13,0.0,0.0,113.65
2018-03-29 07:00:56,6.2,0.0,2.63,771.18,0.0,0.0,113.38
2018-03-29 08:00:56,6.45,0.0,2.76,775.18,0.0,0.0,112.34
2018-03-29 09:00:56,7.91,0.0,2.74,782.11,0.0,0.0,111.44
2018-03-29 10:00:56,10.26,0.0,2.99,779.31,0.0,0.0,109.75
2018-03-29 11:00:56,11.26,0.0,2.69,787.33,0.0,0.0,108.37
2018-03-29 12:00:56,9.81,0.0,2.75,805.23,0.0,0.0,106.87
2018-03-29 13:00:56,9.93,0.0,2.59,815.64,0.0,0.0,106.35
2018-03-29 14:00:56,9.37,0.0,2.46,827.5,0.0,0.0,99.06
2018-03-29 15:00:56,9.45,0.0,2.15,879.32,2.95,2.84,90.41
2018-03-29 16:00:56,12.21,0.0,2.3,873.49,3.0,2.62,93.84
2018-03-29 17:00:56,14.1,0.0,2.54,900.87,11.88,7.1,83.55
2018-03-29 18:00:56,16.61,0.0,2.67,886.05,4.98,3.57,81.58
2018-03-29 19:00:56,16.29,0.0,2.58,879.56,0.24,1.22,82.74
2018-03-29 20:00:56,15.85,0.0,2.67,863.53,1.64,1.92,85.15
2018-03-29 21:00:56,15.18,0.0,2.58,849.25,0.04,1.35,93.14
2018-03-29 22:00:56,14.46,0.0,2.72,869.83,0.32,1.24,94.77
2018-03-29 23:00:56,14.51,0.0,2.87,864.66,0.16,1.17,95.27
2018-03-30 00:00:56,16.05,0.0,2.88,868.83,0.0,0.0,99.98
2018-03-30 01:00:56,20.4,0.0,3.1,885.64,1.22,1.69,96.95
2018-03-30 02:00:56,30.43,0.0,2.54,876.37,0.39,1.29,101.4
2018-03-30 03:00:56,29.71,0.0,2.64,862.14,0.0,0.0,103.89
2018-03-30 04:00:56,27.4,0.0,2.8,870.06,0.52,1.34,103.13
2018-03-30 05:00:56,30.11,0.0,2.92,869.83,0.0,0.0,108.14
2018-03-30 06:00:56,32.55,0.0,2.76,872.61,0.0,0.0,109.03
2018-03-30 07:00:56,34.05,0.0,2.89,888.61,0.1,1.14,107.55
2018-03-30 08:00:56,34.55,0.0,3.56,909.94,3.8,2.95,103.31
2018-03-30 09:00:56,34.51,0.0,3.91,924.6,4.43,3.3,103.64
