Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,8.0,0.0,4.87,0.0,0.0,0.0
2018-03-29 01:00:56,7.02,0.0,5.11,0.0,0.0,0.0
2018-03-29 02:00:56,11.0,0.0,5.55,0.0,0.0,0.0
2018-03-29 03:00:56,9.99,0.0,5.1,0.0,0.0,0.0
2018-03-29 04:00:56,7.99,0.0,4.38,0.0,0.0,0.0
2018-03-29 05:00:56,5.99,0.0,3.44,0.0,0.0,0.0
2018-03-29 06:00:56,4.0,0.0,3.11,0.0,0.0,0.0
2018-03-29 07:00:56,5.0,0.0,2.8,0.0,0.0,0.0
2018-03-29 08:00:56,4.01,0.0,2.97,0.0,0.0,0.0
2018-03-29 09:00:56,7.01,0.0,3.4,0.0,0.0,0.0
2018-03-29 10:00:56,9.0,0.0,3.48,0.0,0.0,0.0
2018-03-29 11:00:56,8.99,0.0,4.56,0.0,0.0,0.0
2018-03-29 12:00:56,6.0,0.0,3.54,0.0,0.0,0.0
2018-03-29 13:00:56,7.02,0.0,4.15,0.0,0.0,0.0
2018-03-29 14:00:56,10.98,0.0,4.66,0.0,0.0,0.0
2018-03-29 15:00:56,6.99,0.0,4.25,0.0,0.0,0.0
2018-03-29 16:00:56,5.01,0.0,4.26,0.0,0.0,0.0
2018-03-29 17:00:56,7.99,0.0,4.61,0.0,0.0,0.0
2018-03-29 18:00:56,5.05,0.0,5.94,0.0,0.0,0.0
2018-03-29 19:00:56,16.99,0.0,8.44,0.0,0.0,0.0
2018-03-29 20:00:56,14.0,0.0,9.09,0.0,0.0,0.0
2018-03-29 21:00:56,12.99,0.0,9.64,0.0,0.0,0.0
2018-03-29 22:00:56,11.0,0.0,9.17,0.0,0.0,0.0
2018-03-29 23:00:56,11.0,0.0,9.95,0.0,0.0,0.0
2018-03-30 00:00:56,11.01,0.0,8.78,0.0,0.0,0.0
2018-03-30 01:00:56,16.95,0.0,8.51,0.0,0.0,0.0
2018-03-30 02:00:56,5.0,0.0,8.73,0.0,0.0,0.0
2018-03-30 03:00:56,5.02,0.0,7.89,0.0,0.0,0.0
2018-03-30 04:00:56,9.01,0.0,7.36,0.0,0.0,0.0
2018-03-30 05:00:56,12.0,0.0,6.92,0.0,0.0,0.0
2018-03-30 06:00:56,11.0,0.0,6.12,0.0,0.0,0.0
2018-03-30 07:00:56,10.04,0.0,6.33,0.0,0.0,0.0
