Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,80.69,0.0,12.13,356.0,21.67,13.06,47.42
2022-03-23 17:00:56,80.53,0.0,11.51,331.56,18.32,10.64,45.21
2022-03-23 18:00:56,80.77,0.0,11.01,325.79,16.37,9.88,43.04
2022-03-23 19:00:56,89.19,0.0,11.29,360.51,22.7,11.91,42.07
2022-03-23 20:00:56,79.04,0.0,13.5,439.16,47.36,23.79,35.27
2022-03-23 21:00:56,76.52,0.0,11.88,451.86,53.8,29.62,26.44
2022-03-23 22:00:56,75.96,0.0,13.92,569.05,62.31,32.17,19.09
2022-03-23 23:00:56,113.97,0.0,15.7,666.2,74.24,41.57,13.32
2022-03-24 00:00:56,119.76,0.0,16.37,268.69,62.57,33.8,17.48
2022-03-24 01:00:56,93.45,0.0,12.59,271.43,56.68,28.73,19.6
2022-03-24 02:00:56,101.84,0.0,12.56,197.64,39.92,21.47,21.2
2022-03-24 03:00:56,71.58,0.0,10.11,275.46,37.88,21.12,32.0
2022-03-24 04:00:56,34.22,0.0,13.96,130.86,49.74,26.38,31.15
2022-03-24 05:00:56,34.98,0.0,13.35,17.15,44.11,22.18,30.68
2022-03-24 06:00:56,23.32,0.0,11.24,0.0,59.5,29.98,28.93
2022-03-24 07:00:56,42.92,0.0,11.36,0.0,44.69,22.5,31.86
2022-03-24 08:00:56,56.86,0.0,10.34,0.0,41.05,20.88,36.19
2022-03-24 09:00:56,54.87,0.0,13.28,0.0,39.87,21.79,33.03
2022-03-24 10:00:56,46.48,0.0,12.08,0.0,37.8,21.29,35.61
2022-03-24 11:00:56,50.6,0.0,10.27,0.0,25.41,13.42,37.49
2022-03-24 12:00:56,39.46,0.0,9.68,0.0,22.64,12.09,37.52
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
