Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,36.39,15.09,8.15,274.99,13.41,20.77,51.41
2022-03-23 17:00:56,38.42,13.75,7.31,248.34,13.13,21.94,48.06
2022-03-23 18:00:56,46.12,5.71,6.98,242.32,12.94,20.45,45.19
2022-03-23 19:00:56,46.12,1.03,8.84,260.67,27.2,39.73,37.56
2022-03-23 20:00:56,49.91,1.43,9.79,280.57,31.12,43.95,33.84
2022-03-23 21:00:56,57.09,9.49,28.34,815.49,57.98,97.53,4.82
2022-03-23 22:00:56,80.57,26.17,36.36,912.07,63.29,92.27,0.57
2022-03-23 23:00:56,102.08,49.82,52.77,1218.58,58.65,80.79,3.67
2022-03-24 00:00:56,112.71,68.12,52.72,1144.23,39.1,41.1,15.39
2022-03-24 01:00:56,113.14,82.31,43.24,1118.16,30.08,31.23,20.4
2022-03-24 02:00:56,106.69,76.62,21.07,962.37,25.01,27.46,22.72
2022-03-24 03:00:56,90.28,61.02,16.92,648.3,22.05,23.31,32.12
2022-03-24 04:00:56,72.79,42.7,44.84,349.29,22.15,22.9,36.69
2022-03-24 05:00:56,50.47,26.55,35.82,428.22,24.48,25.17,32.82
2022-03-24 06:00:56,36.02,19.64,21.64,401.07,23.19,25.93,34.1
2022-03-24 07:00:56,29.65,14.31,12.56,348.47,14.02,14.67,42.12
2022-03-24 08:00:56,29.11,12.8,10.02,259.28,6.01,6.69,50.33
2022-03-24 09:00:56,27.03,12.03,12.04,321.82,19.34,24.63,43.02
2022-03-24 10:00:56,28.21,13.39,12.54,371.04,31.21,39.74,35.66
2022-03-24 11:00:56,29.19,17.48,13.12,383.68,27.14,32.06,37.64
2022-03-24 12:00:56,32.82,17.9,10.12,326.78,23.41,30.26,39.32
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
