Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2020-01-01 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 02:00:56,35.43,18.3,7.42,0.0,0.0,0.0,0.0
2020-01-01 03:00:56,33.55,26.32,8.57,0.0,0.0,0.0,0.0
2020-01-01 04:00:56,45.02,22.79,6.58,0.0,0.0,0.0,0.0
2020-01-01 05:00:56,46.79,25.1,5.97,0.0,0.0,0.0,0.0
2020-01-01 06:00:56,45.76,29.85,6.29,0.0,0.0,0.0,0.0
2020-01-01 07:00:56,48.51,31.48,6.02,0.0,0.0,0.0,0.0
2020-01-01 08:00:56,55.48,35.45,5.32,0.0,0.0,0.0,0.0
2020-01-01 09:00:56,43.05,31.65,5.08,0.0,0.0,0.0,0.0
2020-01-01 10:00:56,35.1,22.33,0.0,0.0,0.0,0.0,0.0
2020-01-01 11:00:56,27.83,16.83,5.15,0.0,0.0,0.0,0.0
2020-01-01 12:00:56,20.27,11.78,4.76,0.0,0.0,0.0,0.0
2020-01-01 13:00:56,14.49,11.16,4.2,0.0,0.0,0.0,0.0
2020-01-01 14:00:56,17.12,8.91,3.63,0.0,0.0,0.0,0.0
2020-01-01 15:00:56,21.56,7.22,3.51,0.0,0.0,0.0,0.0
2020-01-01 16:00:56,16.2,6.47,3.74,0.0,0.0,0.0,0.0
2020-01-01 17:00:56,15.47,11.07,3.25,0.0,0.0,0.0,0.0
2020-01-01 18:00:56,13.43,8.93,3.18,0.0,0.0,0.0,0.0
2020-01-01 19:00:56,17.86,11.04,3.34,0.0,0.0,0.0,0.0
2020-01-01 20:00:56,13.71,13.08,3.59,0.0,0.0,0.0,0.0
2020-01-01 21:00:56,13.22,10.58,4.79,0.0,0.0,0.0,0.0
2020-01-01 22:00:56,13.77,0.0,5.83,0.0,0.0,0.0,0.0
2020-01-01 23:00:56,49.5,31.8,5.02,0.0,0.0,0.0,0.0
2020-01-02 00:00:56,42.33,35.03,5.68,0.0,0.0,0.0,0.0
2020-01-02 01:00:56,42.88,35.4,4.53,0.0,0.0,0.0,0.0
2020-01-02 02:00:56,42.12,32.79,4.57,0.0,0.0,0.0,0.0
2020-01-02 03:00:56,35.13,25.67,3.52,0.0,0.0,0.0,0.0
2020-01-02 04:00:56,36.81,19.49,3.02,0.0,0.0,0.0,0.0
2020-01-02 05:00:56,25.91,19.67,2.82,0.0,0.0,0.0,0.0
2020-01-02 06:00:56,18.17,0.0,2.63,0.0,0.0,0.0,0.0
2020-01-02 07:00:56,15.39,13.72,2.63,0.0,0.0,0.0,0.0
2020-01-02 08:00:56,10.98,0.0,3.14,0.0,0.0,0.0,0.0
2020-01-02 09:00:56,9.56,0.0,3.15,0.0,0.0,0.0,0.0
2020-01-02 10:00:56,11.55,7.82,3.03,0.0,0.0,0.0,0.0
2020-01-02 11:00:56,14.18,7.79,3.92,0.0,0.0,0.0,0.0
2020-01-02 12:00:56,37.7,20.57,9.44,0.0,0.0,0.0,0.0
2020-01-02 13:00:56,43.18,28.38,11.29,0.0,0.0,0.0,0.0
2020-01-02 14:00:56,55.55,38.15,9.93,0.0,0.0,0.0,0.0
2020-01-02 15:00:56,57.37,38.59,10.35,0.0,0.0,0.0,0.0
2020-01-02 16:00:56,50.66,32.59,7.42,0.0,0.0,0.0,0.0
2020-01-02 17:00:56,43.9,28.86,5.22,0.0,0.0,0.0,0.0
2020-01-02 18:00:56,33.47,20.2,5.55,0.0,0.0,0.0,0.0
2020-01-02 19:00:56,30.11,17.69,5.58,0.0,0.0,0.0,0.0
2020-01-02 20:00:56,21.5,12.39,7.14,0.0,0.0,0.0,0.0
2020-01-02 21:00:56,15.12,8.67,8.47,0.0,0.0,0.0,0.0
