Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,0.0,9.19,21.75,19.72,30.6,46.58
2022-03-23 17:00:56,0.0,14.04,22.45,20.84,32.68,47.3
2022-03-23 18:00:56,0.0,15.04,21.9,17.74,28.92,47.07
2022-03-23 19:00:56,0.0,15.89,22.64,18.58,28.63,46.96
2022-03-23 20:00:56,0.0,13.29,23.16,21.69,30.7,43.65
2022-03-23 21:00:56,0.0,20.96,24.28,24.57,33.17,41.63
2022-03-23 22:00:56,0.0,19.85,24.37,22.82,32.13,41.5
2022-03-23 23:00:56,0.0,15.88,22.26,18.25,27.55,45.44
2022-03-24 00:00:56,0.0,13.07,22.08,17.93,26.86,45.16
2022-03-24 01:00:56,0.0,14.96,20.39,18.83,27.54,43.71
2022-03-24 02:00:56,0.0,13.83,21.15,18.17,26.62,42.61
2022-03-24 03:00:56,0.0,0.0,21.03,0.0,0.0,38.91
2022-03-24 04:00:56,0.0,10.0,19.75,17.04,26.42,40.93
2022-03-24 05:00:56,0.0,0.0,19.58,26.45,36.01,35.09
2022-03-24 06:00:56,0.0,11.25,19.93,28.06,38.38,30.5
2022-03-24 07:00:56,0.0,16.87,19.67,0.0,0.0,27.41
2022-03-24 08:00:56,0.0,14.21,0.0,48.4,75.52,16.77
2022-03-24 09:00:56,0.0,18.74,26.98,34.24,58.59,32.2
2022-03-24 10:00:56,0.0,12.87,25.41,19.73,36.44,42.7
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
