Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,14.42,0.0,7.52,1758.81,7.92,9.49
2022-03-23 17:00:56,15.25,0.0,8.34,1736.95,6.06,7.02
2022-03-23 18:00:56,15.71,0.0,7.93,1733.23,5.87,7.49
2022-03-23 19:00:56,14.66,0.0,7.95,1756.78,8.68,10.29
2022-03-23 20:00:56,14.11,0.0,7.07,1876.26,14.94,16.75
2022-03-23 21:00:56,23.05,0.0,8.18,1866.89,16.69,17.85
2022-03-23 22:00:56,21.85,0.0,6.88,1798.13,11.88,0.0
2022-03-23 23:00:56,15.34,0.0,6.9,1913.67,14.96,15.71
2022-03-24 00:00:56,17.69,0.0,6.65,1866.18,12.53,0.0
2022-03-24 01:00:56,17.35,0.0,6.46,1854.99,18.98,20.86
2022-03-24 02:00:56,15.65,0.0,8.87,1868.07,16.77,17.65
2022-03-24 03:00:56,20.15,0.0,8.23,1900.42,21.29,22.67
2022-03-24 04:00:56,18.82,0.0,14.03,1800.26,14.02,0.0
2022-03-24 05:00:56,17.43,0.0,6.99,1754.36,9.97,0.0
2022-03-24 06:00:56,13.4,0.0,6.7,1740.2,9.98,0.0
2022-03-24 07:00:56,13.79,0.0,3.79,1807.03,18.71,34.5
2022-03-24 08:00:56,17.21,0.0,7.47,1894.83,27.11,38.42
2022-03-24 09:00:56,21.43,0.0,4.71,1874.27,19.7,33.83
2022-03-24 10:00:56,22.7,0.0,8.6,1774.24,8.75,13.37
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
