Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,0.0,6.01,689.51,13.9,23.52,22.98
2022-03-23 17:00:56,0.0,5.39,777.6,20.39,31.35,23.19
2022-03-23 18:00:56,0.0,4.17,564.96,15.56,24.36,23.13
2022-03-23 19:00:56,0.0,4.71,760.79,16.47,24.55,23.18
2022-03-23 20:00:56,0.0,4.64,686.9,19.56,26.74,23.36
2022-03-23 21:00:56,0.0,10.79,981.17,20.83,27.75,23.46
2022-03-23 22:00:56,0.0,9.74,715.6,21.36,28.44,23.42
2022-03-23 23:00:56,0.0,22.72,790.37,21.18,28.17,23.58
2022-03-24 00:00:56,0.0,7.84,767.25,20.6,27.29,23.5
2022-03-24 01:00:56,0.0,5.59,840.83,21.52,28.55,23.4
2022-03-24 02:00:56,0.0,5.51,603.18,15.95,22.78,23.56
2022-03-24 03:00:56,0.0,3.48,537.39,8.29,14.99,23.93
2022-03-24 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
