Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,6.17,0.02,0.0,382.05,0.0,0.0,0.0
2022-03-23 17:00:56,9.05,0.02,0.0,322.52,29.57,53.57,0.0
2022-03-23 18:00:56,6.87,0.02,0.0,454.37,35.41,60.12,0.0
2022-03-23 19:00:56,9.03,0.01,0.0,477.42,47.39,72.44,0.0
2022-03-23 20:00:56,19.99,0.02,0.0,683.54,0.0,0.0,0.0
2022-03-23 21:00:56,14.46,0.02,0.0,758.37,62.61,88.08,0.0
2022-03-23 22:00:56,14.39,0.02,0.0,599.72,55.94,77.85,0.0
2022-03-23 23:00:56,19.63,0.02,0.0,610.73,51.06,71.74,0.0
2022-03-24 00:00:56,20.3,0.02,0.0,696.37,34.66,0.0,0.0
2022-03-24 01:00:56,18.67,0.01,0.0,579.95,0.0,0.0,0.0
2022-03-24 02:00:56,13.8,0.01,0.0,587.77,31.92,51.46,0.0
2022-03-24 03:00:56,9.68,0.02,0.0,522.6,25.91,45.32,0.0
2022-03-24 04:00:56,9.16,0.01,0.0,569.65,26.12,45.15,0.0
2022-03-24 05:00:56,15.75,0.01,0.0,348.21,18.53,0.0,0.0
2022-03-24 06:00:56,11.34,0.02,0.0,337.37,20.19,0.0,0.0
2022-03-24 07:00:56,8.39,0.02,0.0,362.99,24.62,0.0,0.0
2022-03-24 08:00:56,3.75,0.01,0.0,448.62,48.9,73.14,0.0
2022-03-24 09:00:56,6.46,0.24,0.0,645.44,72.32,110.29,0.0
2022-03-24 10:00:56,8.09,0.39,0.0,619.63,74.33,114.76,0.0
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
