Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,130.69,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,172.2,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 02:00:56,147.78,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 03:00:56,66.13,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 04:00:56,36.75,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 05:00:56,27.91,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 06:00:56,23.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 07:00:56,20.17,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 08:00:56,16.87,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 09:00:56,24.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 10:00:56,25.87,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 11:00:56,28.54,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,27.17,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 13:00:56,23.17,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 14:00:56,17.03,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 15:00:56,11.46,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 16:00:56,10.71,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 17:00:56,10.29,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 18:00:56,6.45,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 19:00:56,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 20:00:56,9.25,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 21:00:56,10.29,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 22:00:56,8.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 23:00:56,5.87,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 00:00:56,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,3.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 02:00:56,1.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 03:00:56,1.71,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 04:00:56,2.71,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 05:00:56,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 08:00:56,5.68,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 09:00:56,15.1,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 10:00:56,17.29,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 11:00:56,19.84,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 12:00:56,20.29,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 13:00:56,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 14:00:56,19.29,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 15:00:56,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 16:00:56,18.29,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 17:00:56,16.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 18:00:56,22.4,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 19:00:56,23.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 20:00:56,29.4,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 21:00:56,36.26,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 22:00:56,65.66,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 23:00:56,71.32,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 00:00:56,61.2,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,76.44,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 02:00:56,54.96,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 03:00:56,31.65,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 04:00:56,29.13,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 05:00:56,25.04,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 06:00:56,16.62,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 07:00:56,18.26,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 08:00:56,43.4,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 09:00:56,47.33,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 10:00:56,62.73,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 11:00:56,44.45,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 12:00:56,29.03,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 13:00:56,24.16,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 14:00:56,27.26,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 15:00:56,20.48,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 16:00:56,17.71,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 17:00:56,18.71,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 18:00:56,17.58,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 19:00:56,24.81,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 20:00:56,40.78,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 21:00:56,94.28,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 22:00:56,131.75,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 23:00:56,113.44,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 00:00:56,88.09,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 01:00:56,213.36,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 02:00:56,124.45,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 03:00:56,56.05,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 04:00:56,39.19,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 05:00:56,29.73,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 06:00:56,22.31,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 07:00:56,21.42,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 08:00:56,36.93,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 09:00:56,49.4,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 10:00:56,49.87,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 11:00:56,38.33,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 12:00:56,24.76,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01 13:00:56,20.29,0.0,0.0,0.0,0.0,0.0,0.0
