Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,121.39,10.55
2018-03-29 01:00:56,111.16,10.92
2018-03-29 02:00:56,113.71,6.94
2018-03-29 03:00:56,95.69,4.63
2018-03-29 04:00:56,52.13,3.81
2018-03-29 05:00:56,48.56,3.67
2018-03-29 06:00:56,44.13,3.62
2018-03-29 07:00:56,42.87,3.37
2018-03-29 08:00:56,46.73,3.77
2018-03-29 09:00:56,51.58,4.13
2018-03-29 10:00:56,52.13,3.7
2018-03-29 11:00:56,43.34,3.4
2018-03-29 12:00:56,25.84,3.37
2018-03-29 13:00:56,45.62,5.54
2018-03-29 14:00:56,102.74,7.71
2018-03-29 15:00:56,105.55,8.76
2018-03-29 16:00:56,88.37,8.57
2018-03-29 17:00:56,50.07,7.83
2018-03-29 18:00:56,39.73,6.08
2018-03-29 19:00:56,40.53,5.24
2018-03-29 20:00:56,34.03,3.97
2018-03-29 21:00:56,31.77,2.59
2018-03-29 22:00:56,14.58,2.82
2018-03-29 23:00:56,16.58,3.0
2018-03-30 00:00:56,16.85,2.7
2018-03-30 01:00:56,14.0,2.43
2018-03-30 02:00:56,13.71,2.43
2018-03-30 03:00:56,11.27,2.19
2018-03-30 04:00:56,5.85,1.98
2018-03-30 05:00:56,3.58,2.22
2018-03-30 06:00:56,5.0,2.3
2018-03-30 07:00:56,9.61,2.64
2018-03-30 08:00:56,25.03,3.37
2018-03-30 09:00:56,32.12,3.39
2018-03-30 10:00:56,25.29,3.3
2018-03-30 11:00:56,24.27,3.82
2018-03-30 12:00:56,22.02,3.53
2018-03-30 13:00:56,26.71,3.42
2018-03-30 14:00:56,25.71,3.52
2018-03-30 15:00:56,22.1,3.4
2018-03-30 16:00:56,17.32,3.3
2018-03-30 17:00:56,23.29,4.98
2018-03-30 18:00:56,25.74,4.31
2018-03-30 19:00:56,32.61,5.06
2018-03-30 20:00:56,39.0,4.11
2018-03-30 21:00:56,35.81,3.33
2018-03-30 22:00:56,36.12,4.81
2018-03-30 23:00:56,54.84,5.1
2018-03-31 00:00:56,50.56,6.51
2018-03-31 01:00:56,49.33,6.77
2018-03-31 02:00:56,55.0,4.57
2018-03-31 03:00:56,61.97,3.04
2018-03-31 04:00:56,68.31,3.89
2018-03-31 05:00:56,44.03,2.93
2018-03-31 06:00:56,47.55,3.01
2018-03-31 07:00:56,64.04,2.72
2018-03-31 08:00:56,104.88,6.21
2018-03-31 09:00:56,85.87,15.55
2018-03-31 10:00:56,81.33,19.31
2018-03-31 11:00:56,66.75,17.46
2018-03-31 12:00:56,64.31,12.27
2018-03-31 13:00:56,44.52,11.11
2018-03-31 14:00:56,36.0,11.19
2018-03-31 15:00:56,38.91,11.03
2018-03-31 16:00:56,39.59,9.76
2018-03-31 17:00:56,21.67,8.13
2018-03-31 18:00:56,17.75,7.05
2018-03-31 19:00:56,26.07,7.71
2018-03-31 20:00:56,40.36,10.78
2018-03-31 21:00:56,55.07,5.88
2018-03-31 22:00:56,58.31,4.28
2018-03-31 23:00:56,48.68,4.03
2018-04-01 00:00:56,62.98,4.39
2018-04-01 01:00:56,57.71,4.03
2018-04-01 02:00:56,52.93,4.42
2018-04-01 03:00:56,56.36,4.2
2018-04-01 04:00:56,71.06,3.38
2018-04-01 05:00:56,31.63,3.3
2018-04-01 06:00:56,42.42,3.24
2018-04-01 07:00:56,45.05,3.49
2018-04-01 08:00:56,55.0,6.27
2018-04-01 09:00:56,59.34,13.47
2018-04-01 10:00:56,68.26,18.58
2018-04-01 11:00:56,55.9,13.83
2018-04-01 12:00:56,35.13,10.12
2018-04-01 13:00:56,31.84,8.21
2018-04-01 14:00:56,27.84,7.27
2018-04-01 15:00:56,26.46,6.27
2018-04-01 16:00:56,30.58,5.1
2018-04-01 17:00:56,32.0,5.34
2018-04-01 18:00:56,34.33,6.9
2018-04-01 19:00:56,44.37,11.25
2018-04-01 20:00:56,70.44,14.41
2018-04-01 21:00:56,128.1,13.26
2018-04-01 22:00:56,155.47,11.23
2018-04-01 23:00:56,107.66,13.48
2018-04-02 00:00:56,116.69,11.33
2018-04-02 01:00:56,95.5,7.7
2018-04-02 02:00:56,59.17,7.23
2018-04-02 03:00:56,65.81,5.72
2018-04-02 04:00:56,64.2,4.97
2018-04-02 05:00:56,37.13,4.4
2018-04-02 06:00:56,36.17,3.77
2018-04-02 07:00:56,36.67,4.17
2018-04-02 08:00:56,42.09,9.14
2018-04-02 09:00:56,83.57,18.83
2018-04-02 10:00:56,95.03,9.93
2018-04-02 11:00:56,39.34,6.6
2018-04-02 12:00:56,60.79,5.88
2018-04-02 13:00:56,105.74,7.81
2018-04-02 14:00:56,97.11,5.34
2018-04-02 15:00:56,36.12,6.49
2018-04-02 16:00:56,32.83,8.52
2018-04-02 17:00:56,29.41,7.24
2018-04-02 18:00:56,30.34,6.49
2018-04-02 19:00:56,33.66,6.96
2018-04-02 20:00:56,30.63,11.33
2018-04-02 21:00:56,34.66,6.81
2018-04-02 22:00:56,30.46,8.02
2018-04-02 23:00:56,40.13,7.64
2018-04-03 00:00:56,52.39,7.32
2018-04-03 01:00:56,45.71,4.12
2018-04-03 02:00:56,41.5,3.61
2018-04-03 03:00:56,31.83,4.65
2018-04-03 04:00:56,26.67,4.32
2018-04-03 05:00:56,21.87,2.67
2018-04-03 06:00:56,31.56,2.54
2018-04-03 07:00:56,43.6,2.9
2018-04-03 08:00:56,40.21,13.55
2018-04-03 09:00:56,74.65,16.58
2018-04-03 10:00:56,71.75,7.2
2018-04-03 11:00:56,32.35,7.41
2018-04-03 12:00:56,24.49,6.6
2018-04-03 13:00:56,30.38,0.0
2018-04-03 14:00:56,28.94,4.18
2018-04-03 15:00:56,31.63,3.54
2018-04-03 16:00:56,11.34,2.83
2018-04-03 17:00:56,16.71,2.59
2018-04-03 18:00:56,16.29,2.77
2018-04-03 19:00:56,18.46,4.36
2018-04-03 20:00:56,28.73,10.25
2018-04-03 21:00:56,39.44,4.66
2018-04-03 22:00:56,29.51,7.47
2018-04-03 23:00:56,45.02,0.0
2018-04-04 00:00:56,68.98,16.32
2018-04-04 01:00:56,83.06,14.75
2018-04-04 02:00:56,70.41,10.24
2018-04-04 03:00:56,54.94,8.95
2018-04-04 04:00:56,52.05,5.88
2018-04-04 05:00:56,53.19,6.19
2018-04-04 06:00:56,41.07,4.29
2018-04-04 07:00:56,36.93,4.51
2018-04-04 08:00:56,55.43,15.32
2018-04-04 09:00:56,87.39,34.45
2018-04-04 10:00:56,102.68,27.35
2018-04-04 11:00:56,96.67,15.55
2018-04-04 12:00:56,46.77,8.68
2018-04-04 13:00:56,31.12,8.36
2018-04-04 14:00:56,44.24,9.85
2018-04-04 15:00:56,44.64,10.35
2018-04-04 16:00:56,31.41,10.77
2018-04-04 17:00:56,39.35,8.41
2018-04-04 18:00:56,33.0,7.62
2018-04-04 19:00:56,35.35,11.96
2018-04-04 20:00:56,51.24,30.46
2018-04-04 21:00:56,76.29,13.12
2018-04-04 22:00:56,74.94,13.52
2018-04-04 23:00:56,81.29,19.26
2018-04-05 00:00:56,107.85,10.08
2018-04-05 01:00:56,95.14,7.96
2018-04-05 02:00:56,72.16,6.45
2018-04-05 03:00:56,65.43,4.96
2018-04-05 04:00:56,47.51,6.14
2018-04-05 05:00:56,59.55,4.09
2018-04-05 06:00:56,53.68,3.85
2018-04-05 07:00:56,47.71,4.55
2018-04-05 08:00:56,51.63,14.6
2018-04-05 09:00:56,82.97,31.47
2018-04-05 10:00:56,126.22,32.53
2018-04-05 11:00:56,94.66,16.68
